player_id,player_name,country,odds_to_win,odds_numeric,implied_prob,odds_swing,odds_rank,world_rank,previous_rank,fedex_rank,fedex_points,events_played,wins,top_10s,top_25s,cuts_made,sg_total,sg_total_rank,sg_ott,sg_ott_rank,sg_app,sg_app_rank,sg_arg,sg_arg_rank,sg_putt,sg_putt_rank,driving_distance,driving_accuracy,gir_pct,scrambling_pct,course_history,course_history_summary,recent_results,recent_form_summary,tournament_id,tournament_name,fetched_at
46046,Scottie Scheffler,,300,300,0.25,CONSTANT,1,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
28237,Rory McIlroy,,1100,1100,0.0833333333333333,UP,2,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
48081,Xander Schauffele,,1900,1900,0.05,UP,3,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
30911,Tommy Fleetwood,,1900,1900,0.05,UP,4,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
32839,Hideki Matsuyama,,2200,2200,0.0434782608695652,CONSTANT,5,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
35450,Patrick Cantlay,,2500,2500,0.0384615384615384,UP,6,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
50525,Collin Morikawa,,2500,2500,0.0384615384615384,UP,7,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
57366,Cameron Young,,3000,3000,0.032258064516129,DOWN,8,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
37455,Si Woo Kim,,3000,3000,0.032258064516129,UP,9,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
34098,Russell Henley,,3000,3000,0.032258064516129,DOWN,10,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
59095,Chris Gotterup,,3300,3300,0.0294117647058823,DOWN,11,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
47420,Jake Knapp,,3300,3300,0.0294117647058823,UP,12,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
40098,Matt Fitzpatrick,,3300,3300,0.0294117647058823,UP,13,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
37378,Min Woo Lee,,3300,3300,0.0294117647058823,UP,14,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
47504,Sam Burns,,3500,3500,0.0277777777777777,DOWN,15,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
34099,Harris English,,3500,3500,0.0277777777777777,UP,16,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
52955,Ludvig Åberg,,3500,3500,0.0277777777777777,CONSTANT,17,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
46442,Maverick McNealy,,4000,4000,0.024390243902439,DOWN,18,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
54591,Ben Griffin,,4000,4000,0.024390243902439,DOWN,19,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,R2026007,The Genesis Invitational,2026-02-17T21:30:47.212750
