tournament_id,tournament_name,course_id,course_name,course_code,course_par,course_yardage,is_host_course,hole_num,hole_par,hole_yards,scoring_avg,scoring_diff,eagles,birdies,pars,bogeys,double_bogeys,difficulty_rank,fetched_date,year
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,1,4,417,4.041,+0.041,1,41,197,50,1,9,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,2,4,415,4.261,+0.261,0,33,172,65,19,2,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,3,3,204,3.158,+0.158,0,28,193,66,4,3,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,4,4,429,4.282,+0.282,0,30,175,69,12,1,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,5,4,409,3.969,-0.031,0,61,192,27,8,13,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,6,3,179,2.852,-0.148,0,65,204,22,0,16,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,7,5,582,4.725,-0.275,5,113,140,25,6,17,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,8,4,368,3.88,-0.120,0,75,179,34,3,15,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,9,4,452,4.041,+0.041,0,35,212,41,3,9,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,10,4,418,4.155,+0.155,0,39,182,58,10,4,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,11,4,425,4.076,+0.076,0,40,195,50,6,7,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,12,3,223,3.014,+0.014,0,29,229,33,0,12,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,13,4,408,4.089,+0.089,1,56,164,58,10,6,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,14,4,442,4.137,+0.137,0,25,204,59,3,5,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,15,5,565,4.296,-0.704,12,191,79,8,1,18,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,16,4,407,3.945,-0.055,2,61,187,33,8,14,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,17,3,192,3.069,+0.069,0,34,206,48,3,8,2026-01-21,2024
R2024493,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,18,4,470,4.027,+0.027,0,35,219,32,4,11,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,1,4,373,4.0,0.000,0,23,113,17,3,7,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,2,4,382,3.865,-0.135,1,35,104,16,0,13,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,3,3,219,3.083,+0.083,0,22,100,33,1,4,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,4,5,623,5.032,+0.032,0,35,93,18,8,6,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,5,4,473,4.224,+0.224,0,12,108,27,7,2,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,6,4,452,3.923,-0.077,0,39,92,23,2,10,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,7,3,156,3.051,+0.051,0,19,115,17,5,5,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,8,5,529,4.59,-0.410,10,62,68,14,2,18,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,9,4,481,4.173,+0.173,0,15,101,38,2,3,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,10,4,327,3.673,-0.327,1,59,86,10,0,17,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,11,3,216,2.987,-0.013,0,20,118,18,0,8,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,12,4,409,4.244,+0.244,0,11,99,43,3,1,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,13,4,437,3.878,-0.122,1,35,106,10,4,12,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,14,5,550,4.782,-0.218,0,52,87,16,1,14,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,15,4,365,3.737,-0.263,0,48,101,7,0,15,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,16,3,158,2.904,-0.096,0,31,110,14,1,11,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,17,4,350,3.942,-0.058,0,29,110,14,3,9,2026-01-21,2024
R2024493,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,18,5,560,4.712,-0.288,6,54,79,13,4,16,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,1,4,405,3.971,-0.029,0,55,212,38,4,7,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,2,4,363,3.89,-0.110,0,64,217,26,2,12,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,3,3,180,2.942,-0.058,0,52,227,26,4,8,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,4,4,505,4.184,+0.184,0,38,195,61,12,2,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,5,3,205,3.023,+0.023,0,48,218,34,7,6,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,6,5,587,4.615,-0.385,1,142,145,17,4,17,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,7,3,167,2.786,-0.214,0,77,222,9,1,15,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,8,4,395,3.893,-0.107,0,77,194,33,4,10,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,9,4,486,4.223,+0.223,0,22,204,78,3,1,2026-01-21,2024
R2024527,ZOZO CHAMPIONSHIP,875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",True,10,4,400,3.871,-0.129,0,71,210,25,3,14,2026-01-21,2024
