tournament_id,tournament_name,course_id,course_name,course_code,course_par,course_yardage,is_host_course,hole_num,hole_par,hole_yards,scoring_avg,scoring_diff,eagles,birdies,pars,bogeys,double_bogeys,difficulty_rank,fetched_date
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,1,4,445,3.903,-0.097,0,45,160,21,1,9,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,2,4,371,3.758,-0.242,0,72,138,17,0,14,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,3,4,471,4.04,+0.040,0,28,166,29,4,6,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,4,3,170,2.877,-0.123,0,44,168,14,1,10,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,5,5,535,4.678,-0.322,5,105,91,12,12,17,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,6,3,227,3.115,+0.115,0,23,165,29,10,3,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,7,4,346,3.863,-0.137,0,73,123,23,6,11,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,8,5,559,4.449,-0.551,5,124,90,7,1,18,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,9,4,452,4.101,+0.101,0,34,146,40,4,5,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,10,4,405,3.965,-0.035,0,42,156,26,2,8,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,11,5,591,4.722,-0.278,0,85,126,10,6,15,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,12,4,363,3.806,-0.194,0,63,145,19,0,13,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,13,3,214,3.229,+0.229,0,16,158,43,8,1,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,14,4,389,3.855,-0.145,0,51,161,12,3,12,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,15,4,468,4.11,+0.110,0,30,146,47,4,4,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,16,5,600,4.683,-0.317,2,80,134,10,1,16,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,17,3,165,3.159,+0.159,0,33,154,17,21,2,2026-01-26
R2026002,The American Express,704,Pete Dye Stadium Course,SC,72,"7,210",True,18,4,439,4.0,0.000,0,41,154,24,7,7,2026-01-26
R2026002,The American Express,202,La Quinta Country Club,LQ,72,"7,060",False,1,4,382,3.774,-0.226,0,42,107,5,1,14,2026-01-26
R2026002,The American Express,202,La Quinta Country Club,LQ,72,"7,060",False,2,4,434,4.045,+0.045,0,30,98,20,5,2,2026-01-26
