tournament_id,tournament_name,course_id,course_name,course_code,course_par,course_yardage,is_host_course,hole_num,hole_par,hole_yards,scoring_avg,scoring_diff,eagles,birdies,pars,bogeys,double_bogeys,difficulty_rank,fetched_date,year
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,1,4,417,3.95,-0.050,0,53,222,33,2,6,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,2,4,415,3.97,-0.030,0,51,222,33,4,5,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,3,3,204,3.09,+0.090,0,26,237,40,7,1,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,4,4,429,3.95,-0.050,0,59,211,38,2,7,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,5,4,409,3.75,-0.250,2,102,189,7,10,16,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,6,3,179,2.86,-0.140,1,62,227,20,0,11,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,7,5,582,4.67,-0.330,0,132,152,21,5,17,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,8,4,368,3.75,-0.250,0,100,189,20,1,15,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,9,4,452,3.83,-0.170,0,69,225,16,0,13,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,10,4,418,3.97,-0.030,1,44,231,32,3,4,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,11,4,425,3.81,-0.190,0,79,213,17,2,14,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,12,3,223,3.06,+0.060,0,21,251,38,1,2,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,13,4,408,3.84,-0.160,0,72,221,14,4,12,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,14,4,442,4.05,+0.050,0,36,230,40,5,3,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,15,5,565,4.31,-0.690,20,183,100,8,0,18,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,16,4,407,3.91,-0.090,0,67,217,18,9,10,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,17,3,192,2.92,-0.080,0,54,229,27,1,8,2026-01-21,2023
R2023549,The RSM Classic,776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",True,18,4,470,3.91,-0.090,0,53,232,26,0,9,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,1,4,373,3.92,-0.080,0,29,109,17,0,10,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,2,4,382,3.68,-0.320,0,55,95,5,0,16,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,3,3,219,3.19,+0.190,0,10,109,32,4,1,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,4,5,623,5.07,+0.070,0,27,94,31,3,6,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,5,4,473,4.12,+0.120,0,19,106,25,5,5,2026-01-21,2023
R2023549,The RSM Classic,889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",False,6,4,452,4.16,+0.160,0,13,109,30,3,3,2026-01-21,2023
