tournament_id,tournament_name,course_id,course_name,course_code,course_par,course_yardage,is_host_course,hole_num,hole_par,hole_yards,scoring_avg,scoring_diff,eagles,birdies,pars,bogeys,double_bogeys,difficulty_rank,fetched_date
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,1,5,581,4.598,-0.402,11,169,210,21,2,18,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,2,4,385,3.831,-0.169,2,113,252,45,1,16,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,3,4,475,3.988,-0.012,0,68,285,57,3,9,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,4,3,248,3.148,+0.148,0,25,302,86,0,2,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,5,4,476,4.239,+0.239,0,40,249,107,14,1,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,6,4,410,3.956,-0.044,1,85,256,62,3,13,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,7,4,480,4.139,+0.139,0,55,248,88,11,3,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,8,3,194,2.955,-0.045,0,66,288,46,1,14,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,9,4,413,4.106,+0.106,0,66,239,73,17,4,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,10,4,407,4.066,+0.066,0,45,284,56,7,5,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,11,5,639,4.804,-0.196,2,123,219,37,7,17,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,12,4,457,4.026,+0.026,0,58,263,56,6,7,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,13,3,199,2.968,-0.032,0,69,259,47,5,11,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,14,4,456,3.981,-0.019,0,56,274,45,2,10,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,15,4,431,4.0,0.000,1,68,243,55,7,8,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,16,3,197,2.965,-0.035,2,65,253,47,4,12,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,17,4,399,4.052,+0.052,0,67,221,70,8,6,2026-05-31
R2026021,R2026021,021,Colonial Country Club,CC,70,"7,289",True,18,4,442,3.903,-0.097,0,79,240,42,1,15,2026-05-31
