event_id,event_name,year,event_completed,dg_id,player_name,fin_text,dg_win,dg_top3,dg_top5,dg_top10,dg_top20,dg_top30,dg_make_cut,dg_frl,dg_model,fetched_at
7,The Genesis Invitational,2020,2020-02-16,10091,"McIlroy, Rory",T5,0.1135,0.24725,0.3392,0.492175,0.673625,0.781375,0.911625,0.044575,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,19195,"Rahm, Jon",T17,0.086575,0.202775,0.288225,0.44355,0.628975,0.743925,0.900425,0.036075,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14139,"Thomas, Justin",CUT,0.0771,0.1893,0.2701,0.4146,0.60485,0.72535,0.893325,0.035075,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,19895,"Schauffele, Xander",T23,0.04065,0.11055,0.170625,0.290225,0.468475,0.59985,0.83915,0.022225,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,12422,"Johnson, Dustin",T10,0.03745,0.101,0.158225,0.27505,0.4515,0.582775,0.830525,0.022875,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,13562,"Matsuyama, Hideki",T5,0.03645,0.101125,0.158625,0.27785,0.454825,0.5876,0.83255,0.023025,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,6430,"Scott, Adam",1,0.034675,0.097925,0.151625,0.264925,0.43655,0.5681,0.823225,0.022225,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,15466,"Cantlay, Patrick",T17,0.0309,0.08805,0.13785,0.245825,0.42355,0.556775,0.821875,0.020475,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,5321,"Woods, Tiger",68,0.029725,0.0877,0.1387,0.246175,0.4164,0.5463,0.8133,0.021375,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,16243,"Koepka, Brooks",T43,0.02525,0.072125,0.114725,0.21295,0.37165,0.501175,0.791025,0.01785,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14838,"Reed, Patrick",T51,0.0251,0.07065,0.1146,0.21155,0.3718,0.50295,0.7926,0.0173,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,11676,"Finau, Tony",T51,0.02185,0.0648,0.106275,0.201525,0.359425,0.4898,0.787975,0.01575,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,6093,"Rose, Justin",T56,0.01845,0.058125,0.095325,0.181125,0.33325,0.4606,0.77515,0.015425,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,22085,"Morikawa, Collin",T26,0.016975,0.052925,0.086025,0.165575,0.30865,0.43295,0.75555,0.01495,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,17488,"Im, Sungjae",CUT,0.0139,0.045425,0.076475,0.1522,0.289175,0.411575,0.746,0.013725,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,9771,"Day, Jason",CUT,0.0135,0.043075,0.07425,0.1485,0.2855,0.40815,0.74615,0.012775,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,7108,"Casey, Paul",T37,0.01325,0.041075,0.068575,0.141925,0.27245,0.39375,0.7335,0.013075,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,18238,"Ancer, Abraham",T43,0.012575,0.039675,0.068325,0.1399,0.270875,0.39195,0.7318,0.012525,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,7334,"Watson, Bubba",CUT,0.011825,0.03705,0.062375,0.128675,0.250375,0.366325,0.712575,0.011,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,19841,"DeChambeau, Bryson",T5,0.01175,0.036175,0.060375,0.1247,0.248025,0.3614,0.7153,0.011775,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,7649,"Leishman, Marc",T43,0.010875,0.03485,0.0606,0.12545,0.2508,0.367725,0.7173,0.01195,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,5689,"Garcia, Sergio",T37,0.009925,0.03405,0.060925,0.124425,0.247825,0.3633,0.71345,0.0107,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,6892,"Howell III, Charles",T59,0.0089,0.029975,0.053075,0.11135,0.224575,0.33435,0.6996,0.010475,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,12337,"Kokrak, Jason",CUT,0.0088,0.0299,0.0523,0.10905,0.2271,0.3376,0.69385,0.010475,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,18417,"Scheffler, Scottie",T30,0.008625,0.02885,0.051525,0.110675,0.22535,0.3388,0.693925,0.009675,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,17576,"Conners, Corey",CUT,0.008525,0.02945,0.0516,0.1105,0.227825,0.340025,0.697525,0.009575,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,7820,"Palmer, Ryan",67,0.00795,0.027625,0.048175,0.101775,0.21015,0.3167,0.68035,0.010075,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,10419,"Noren, Alex",T59,0.007825,0.024675,0.04465,0.097775,0.204875,0.312225,0.6795,0.0096,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,18079,"Niemann, Joaquin",CUT,0.007675,0.02835,0.0512,0.107525,0.217575,0.3277,0.69055,0.0098,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,17646,"Fitzpatrick, Matt",T30,0.0075,0.027325,0.049275,0.105,0.2158,0.325525,0.685725,0.009925,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,13126,"Taylor, Nick",CUT,0.0072,0.023,0.04095,0.089825,0.194075,0.297,0.673025,0.008225,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,21554,"Poston, J.T.",T30,0.006625,0.02295,0.042325,0.09185,0.195275,0.301775,0.669775,0.0088,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14636,"Spieth, Jordan",T59,0.006575,0.023025,0.0408,0.091775,0.1938,0.2978,0.669525,0.009125,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14735,"Ortiz, Carlos",T26,0.0065,0.023325,0.042625,0.0936,0.2006,0.3047,0.674675,0.009725,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,6169,"Kuchar, Matt",T2,0.00595,0.020725,0.0391,0.087225,0.1905,0.29355,0.67005,0.00775,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,1547,"Mickelson, Phil",CUT,0.0058,0.024525,0.043325,0.092525,0.194075,0.300125,0.66595,0.0092,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,8825,"Harman, Brian",T47,0.0051,0.01765,0.032275,0.072425,0.161775,0.25825,0.633475,0.007575,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,13872,"Bradley, Keegan",CUT,0.00505,0.017625,0.0322,0.07255,0.163525,0.2583,0.6407,0.008025,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,15856,"Smith, Cameron",CUT,0.005,0.01845,0.03245,0.0764,0.1676,0.2606,0.63565,0.008125,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14502,"Cauley, Bud",T51,0.0049,0.017225,0.03205,0.077475,0.167725,0.26375,0.641075,0.007125,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14013,"Tringale, Cameron",T30,0.0049,0.017675,0.03095,0.070625,0.161525,0.2523,0.633675,0.00745,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,13831,"Knox, Russell",CUT,0.004825,0.01635,0.0304,0.069375,0.15645,0.250675,0.630875,0.00695,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,14704,"Putnam, Andrew",CUT,0.004825,0.016725,0.0304,0.0705,0.161375,0.254325,0.62785,0.0075,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,15330,"Griffin, Lanto",T37,0.00475,0.01625,0.03025,0.069025,0.15475,0.245975,0.622975,0.00785,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,20770,"Munoz, Sebastian",T26,0.00475,0.01725,0.03195,0.0719,0.1603,0.25435,0.6316,0.007925,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,7959,"Holmes, J.B.",T51,0.004725,0.016575,0.02985,0.070125,0.15635,0.249625,0.625175,0.007925,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
7,The Genesis Invitational,2020,2020-02-16,6283,"Sabbatini, Rory",T59,0.004675,0.016825,0.032475,0.073,0.1598,0.252575,0.6258,0.007675,baseline_history_fit,2026-04-18T18:24:34.552146+00:00
