dg_id,player_name,time_period,last_updated,fetched_at,50_100_fw_sg_per_shot,50_100_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_low_data_indicator,100_150_fw_sg_per_shot,100_150_fw_shot_count,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_low_data_indicator,150_200_fw_sg_per_shot,150_200_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_low_data_indicator,over_200_fw_sg_per_shot,over_200_fw_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_low_data_indicator,under_150_rgh_sg_per_shot,under_150_rgh_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_low_data_indicator,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_low_data_indicator,approach_skill_sg,approach_skill_proximity,approach_skill_shot_total
18417,"Scheffler, Scottie",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,0.105,214.0,0.89,0.107,0.972,14.289,0.0,0.058,639.0,0.862,0.086,0.97,18.54,0.0,0.066,888.0,0.763,0.059,0.973,27.002,0.0,0.072,477.0,0.499,0.082,0.973,40.508,0.0,0.056,249,0.585,0.088,0.948,37.245,0,0.076,264.0,0.401,0.068,0.973,55.216,0.0,0.06829,30.046,2731.0
15852,"Kraft, Kelly",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,-0.019,21.0,0.866,0.048,0.952,18.721,1.0,-0.041,80.0,0.789,0.013,0.975,22.772,1.0,0.063,114.0,0.756,0.079,0.939,27.557,1.0,0.033,56.0,0.495,0.018,0.946,43.118,1.0,-0.059,43,0.388,0.0,0.93,43.636,0,,,,,,,,-0.059,43.636,43.0
22736,"Rosenmueller, Thomas",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,-0.011,96.0,0.869,0.083,0.948,19.511,0.0,-0.019,225.0,0.793,0.071,0.929,22.586,0.0,0.061,313.0,0.724,0.08,0.974,28.241,0.0,0.012,162.0,0.468,0.043,0.957,45.095,0.0,-0.03,114,0.523,0.035,0.947,40.647,0,0.001,85.0,0.365,0.047,0.953,59.642,0.0,0.01243,32.968,995.0
19895,"Schauffele, Xander",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,0.043,135.0,0.848,0.126,0.941,16.531,0.0,0.009,497.0,0.815,0.066,0.946,20.649,0.0,0.057,758.0,0.754,0.086,0.97,27.467,0.0,0.054,390.0,0.524,0.069,0.964,40.861,0.0,0.041,269,0.588,0.056,0.967,36.977,0,0.027,269.0,0.392,0.063,0.952,58.134,0.0,0.04005,32.284,2318.0
7108,"Casey, Paul",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,-0.004,102.0,0.815,0.078,0.941,17.814,0.0,0.028,364.0,0.815,0.069,0.956,21.05,0.0,0.055,459.0,0.733,0.05,0.956,27.977,0.0,0.058,229.0,0.492,0.048,0.983,44.803,0.0,-0.066,146,0.536,0.027,0.897,42.549,0,0.064,124.0,0.381,0.032,0.984,53.478,0.0,0.03273,31.899,1424.0
13562,"Matsuyama, Hideki",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,0.083,182.0,0.863,0.126,0.945,14.658,0.0,0.04,637.0,0.819,0.086,0.954,19.956,0.0,0.053,884.0,0.725,0.077,0.968,27.115,0.0,0.062,467.0,0.498,0.073,0.968,39.848,0.0,0.009,300,0.556,0.067,0.947,38.07,0,-0.006,336.0,0.287,0.045,0.967,57.776,0.0,0.04172,31.644,2806.0
14796,"Hatton, Tyrrell",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,-0.013,143.0,0.823,0.098,0.958,17.466,0.0,0.026,477.0,0.819,0.073,0.95,20.443,0.0,0.052,546.0,0.727,0.086,0.96,28.491,0.0,0.03,315.0,0.483,0.051,0.959,44.443,0.0,0.013,202,0.571,0.089,0.955,37.033,0,0.02,160.0,0.4,0.069,0.95,57.55,0.0,0.02941,31.738,1843.0
17511,"Straka, Sepp",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,0.056,174.0,0.877,0.103,0.971,15.293,0.0,0.054,630.0,0.852,0.076,0.956,19.316,0.0,0.049,977.0,0.723,0.067,0.966,27.654,0.0,0.07,487.0,0.543,0.051,0.977,41.892,0.0,-0.027,203,0.484,0.054,0.941,40.78,0,0.005,286.0,0.35,0.045,0.965,57.795,0.0,0.04413,31.577,2757.0
17576,"Conners, Corey",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,-0.007,194.0,0.836,0.067,0.948,18.237,0.0,0.057,700.0,0.861,0.08,0.947,19.263,0.0,0.048,979.0,0.745,0.064,0.972,27.31,0.0,0.038,519.0,0.479,0.058,0.973,44.44,0.0,-0.028,221,0.509,0.041,0.955,41.241,0,0.007,223.0,0.317,0.054,0.969,64.87,0.0,0.03548,31.877,2836.0
18841,"Hovland, Viktor",last 24 months,2026-05-25 14:34:00 UTC,2026-05-26T12:25:41.631353+00:00,0.028,162.0,0.834,0.123,0.932,17.473,0.0,0.061,496.0,0.821,0.105,0.942,18.836,0.0,0.047,762.0,0.722,0.066,0.961,26.774,0.0,0.053,403.0,0.501,0.074,0.963,40.447,0.0,0.022,198,0.63,0.076,0.929,38.127,0,0.018,258.0,0.359,0.062,0.965,62.081,0.0,0.0443,31.786,2279.0
