dg_id,player_name,time_period,last_updated,fetched_at,50_100_fw_sg_per_shot,50_100_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_low_data_indicator,100_150_fw_sg_per_shot,100_150_fw_shot_count,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_low_data_indicator,150_200_fw_sg_per_shot,150_200_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_low_data_indicator,over_200_fw_sg_per_shot,over_200_fw_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_low_data_indicator,under_150_rgh_sg_per_shot,under_150_rgh_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_low_data_indicator,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_low_data_indicator,approach_skill_sg,approach_skill_proximity,approach_skill_shot_total
7108,"Casey, Paul",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.003,89.0,0.829,0.079,0.944,18.132,0.0,0.027,355.0,0.824,0.073,0.958,21.121,0.0,0.065,434.0,0.739,0.055,0.959,27.668,0.0,0.067,225.0,0.503,0.049,0.973,44.584,0.0,-0.087,133.0,0.534,0.023,0.887,44.319,0.0,0.072,119.0,0.4,0.034,0.983,49.911,0.0,0.03661,31.723,1355.0
22736,"Rosenmueller, Thomas",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.01,105.0,0.868,0.086,0.943,19.108,0.0,-0.013,260.0,0.778,0.081,0.931,22.143,0.0,0.059,352.0,0.732,0.074,0.977,28.425,0.0,0.015,193.0,0.469,0.036,0.964,44.793,0.0,-0.016,124.0,0.548,0.032,0.952,39.797,0.0,0.018,94.0,0.377,0.053,0.957,58.901,0.0,0.01679,32.7,1128.0
18841,"Hovland, Viktor",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.049,165.0,0.848,0.133,0.952,16.311,0.0,0.059,470.0,0.82,0.096,0.947,18.614,0.0,0.058,738.0,0.732,0.072,0.963,26.356,0.0,0.045,403.0,0.489,0.067,0.963,41.962,0.0,0.032,195.0,0.604,0.087,0.938,38.149,0.0,0.028,249.0,0.372,0.064,0.968,61.117,0.0,0.04953,31.738,2220.0
18417,"Scheffler, Scottie",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.092,209.0,0.89,0.1,0.967,14.786,0.0,0.053,638.0,0.854,0.085,0.967,18.758,0.0,0.053,883.0,0.743,0.05,0.967,27.143,0.0,0.064,468.0,0.496,0.073,0.97,40.76,0.0,0.039,243.0,0.58,0.074,0.938,37.149,0.0,0.076,252.0,0.396,0.067,0.98,53.1,0.0,0.05883,29.896,2693.0
18079,"Niemann, Joaquin",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.026,143.0,0.87,0.077,0.93,17.358,0.0,-0.027,452.0,0.804,0.04,0.951,21.754,0.0,0.05,492.0,0.743,0.075,0.959,29.093,0.0,0.061,294.0,0.51,0.058,0.963,41.108,0.0,0.049,216.0,0.62,0.097,0.935,34.072,0.0,0.057,158.0,0.434,0.063,0.956,50.238,0.0,0.03056,30.776,1755.0
14609,"Kim, Si Woo",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.031,248.0,0.862,0.081,0.927,16.112,0.0,0.023,653.0,0.769,0.096,0.928,21.05,0.0,0.049,1013.0,0.715,0.083,0.961,27.507,0.0,0.08,570.0,0.499,0.093,0.972,39.376,0.0,-0.023,267.0,0.484,0.071,0.94,39.395,0.0,-0.012,276.0,0.372,0.051,0.953,64.975,0.0,0.03584,31.88,3027.0
21943,"Lebioda, Hank",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.088,54.0,0.922,0.13,0.981,15.916,0.0,-0.009,206.0,0.797,0.068,0.927,23.069,0.0,0.047,285.0,0.764,0.06,0.975,29.778,0.0,-0.015,135.0,0.454,0.044,0.963,49.074,0.0,0.025,92.0,0.551,0.065,0.924,39.526,0.0,-0.047,111.0,0.337,0.009,0.937,62.211,0.0,0.01286,35.408,883.0
17536,"Spaun, J.J.",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.048,199.0,0.88,0.085,0.96,15.934,0.0,0.032,737.0,0.816,0.077,0.943,20.249,0.0,0.046,978.0,0.718,0.081,0.942,28.308,0.0,0.067,465.0,0.52,0.065,0.966,41.799,0.0,0.049,273.0,0.588,0.062,0.967,33.772,0.0,0.059,275.0,0.414,0.087,0.967,62.776,0.0,0.04745,31.329,2927.0
13562,"Matsuyama, Hideki",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.089,200.0,0.868,0.115,0.95,14.532,0.0,0.043,676.0,0.815,0.092,0.95,20.04,0.0,0.045,935.0,0.714,0.072,0.967,27.616,0.0,0.058,497.0,0.498,0.074,0.964,40.046,0.0,0.004,309.0,0.545,0.074,0.951,38.811,0.0,0.007,358.0,0.293,0.05,0.978,58.104,0.0,0.04084,31.923,2975.0
13900,"Lowry, Shane",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.068,182.0,0.853,0.126,0.951,14.759,0.0,0.044,567.0,0.838,0.078,0.952,19.349,0.0,0.044,758.0,0.72,0.074,0.956,28.033,0.0,0.039,392.0,0.512,0.074,0.954,44.113,0.0,0.058,199.0,0.6,0.08,0.965,34.892,0.0,0.034,252.0,0.391,0.06,0.976,58.161,0.0,0.04514,31.404,2350.0
17576,"Conners, Corey",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.019,193.0,0.82,0.067,0.943,18.785,0.0,0.048,718.0,0.851,0.074,0.954,19.287,0.0,0.044,968.0,0.747,0.067,0.971,27.977,0.0,0.043,518.0,0.506,0.056,0.975,43.973,0.0,-0.012,227.0,0.544,0.044,0.956,39.548,0.0,0.008,251.0,0.333,0.048,0.972,61.85,0.0,0.03303,31.943,2875.0
32319,"Koivun, Jackson",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.144,44.0,0.73,0.045,0.864,20.793,0.0,0.016,223.0,0.825,0.076,0.928,20.685,0.0,0.044,258.0,0.718,0.058,0.973,26.994,0.0,0.044,142.0,0.508,0.063,0.986,41.065,0.0,-0.008,65.0,0.455,0.092,0.969,42.813,0.0,-0.069,59.0,0.303,0.034,0.932,76.458,0.0,0.01295,32.386,791.0
22085,"Morikawa, Collin",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.087,165.0,0.902,0.115,0.964,14.446,0.0,0.052,579.0,0.834,0.093,0.953,18.781,0.0,0.041,781.0,0.706,0.076,0.954,28.829,0.0,0.059,420.0,0.476,0.069,0.976,42.914,0.0,0.032,169.0,0.601,0.065,0.941,37.616,0.0,0.014,195.0,0.38,0.046,0.969,60.644,0.0,0.04738,31.174,2309.0
19428,"Zalatoris, Will",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.005,76.0,0.868,0.079,0.961,17.291,0.0,0.024,235.0,0.846,0.077,0.962,21.25,0.0,0.039,337.0,0.74,0.065,0.95,29.53,0.0,0.016,165.0,0.435,0.042,0.952,47.348,0.0,0.027,109.0,0.642,0.073,0.954,36.209,0.0,0.047,115.0,0.373,0.052,0.983,55.714,0.0,0.02834,33.197,1037.0
11019,"Steele, Brendan",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.002,93.0,0.847,0.075,0.968,17.565,0.0,-0.012,406.0,0.785,0.062,0.938,22.129,0.0,0.037,439.0,0.698,0.073,0.945,29.752,0.0,0.029,243.0,0.496,0.053,0.959,45.274,0.0,-0.051,163.0,0.542,0.055,0.914,41.149,0.0,-0.013,125.0,0.319,0.048,0.952,60.314,0.0,0.0059,33.306,1469.0
19232,"Smyth, Trav",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,-0.109,28.0,0.838,0.036,0.857,20.478,1.0,-0.077,100.0,0.736,0.04,0.93,24.87,1.0,0.037,101.0,0.656,0.089,0.95,29.533,1.0,0.041,61.0,0.567,0.049,0.984,44.304,1.0,0.047,64.0,0.538,0.078,0.922,35.165,0.0,-0.04,55.0,0.292,0.036,0.927,62.417,0.0,0.00679,47.76,119.0
22985,"Smotherman, Austin",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.027,75.0,0.85,0.067,0.947,17.437,0.0,0.01,275.0,0.844,0.047,0.956,20.796,0.0,0.037,439.0,0.703,0.071,0.954,29.336,0.0,0.07,174.0,0.494,0.063,0.989,40.886,0.0,0.049,100.0,0.594,0.07,0.92,36.677,0.0,0.037,105.0,0.406,0.029,0.99,58.704,0.0,0.03594,31.55,1168.0
15466,"Cantlay, Patrick",last 24 months,2026-08-10 14:10:49 UTC,2026-08-11T11:07:06.829154+00:00,0.023,188.0,0.893,0.096,0.947,15.773,0.0,0.047,545.0,0.856,0.064,0.949,19.505,0.0,0.036,748.0,0.744,0.071,0.964,29.172,0.0,0.017,415.0,0.436,0.055,0.961,43.123,0.0,0.031,264.0,0.611,0.061,0.962,36.337,0.0,0.045,244.0,0.359,0.049,0.975,61.436,0.0,0.03456,32.402,2404.0
