event_name,site,dg_id,player_name,salary,proj_points_total,proj_points_scoring,proj_points_finish,proj_ownership,std_dev,value,r1_teetime,early_late_wave,last_updated,fetched_at
Zurich Classic of New Orleans,draftkings,17646,M. Fitzpatrick / A. Fitzpatrick,10500,112.11,102.86,9.25,,41.44,0.59,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,13900,Lowry / Koepka,10000,105.41,97.48,7.93,,41.61,0.33,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,23475,Novak / Griffin,9700,105.02,97.17,7.85,,41.57,0.5,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,29767,Gerard / Yellamaraju,9500,105.8,97.82,7.98,,41.51,0.7,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,24304,Vilips / Thorbjornsen,9400,98.74,92.1,6.64,,41.0,0.15,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,18554,Rai / Theegala,9200,102.3,94.91,7.39,,41.76,0.59,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,20706,Wallace / Penge,9100,100.11,93.21,6.89,,41.23,0.46,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,15310,Li / Smith,9000,100.94,93.86,7.08,,41.49,0.6,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,21944,Moore / Clark,8900,98.43,91.71,6.72,,41.43,0.45,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,26653,Eckroat / Thompson,8800,96.03,89.68,6.35,,41.42,0.31,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,28159,Meissner / McCarty,8700,99.33,92.44,6.88,,41.58,0.66,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,15651,Ventura / Reitan,8600,92.43,86.7,5.73,,40.72,0.13,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,18474,Smalley / Springer,8500,90.51,85.09,5.42,,40.35,0.02,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,15556,Hughes / Pendrith,8400,92.37,86.65,5.72,,40.81,0.25,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,19846,Bauchou / Stevens,8300,95.47,89.24,6.24,,41.14,0.59,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,29197,Brennan / Keefer,8200,99.45,92.53,6.92,,41.51,1.0,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,8820,Snedeker / Mitchell,8100,86.02,81.19,4.84,,39.58,-0.05,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,17881,Yu / T. Kim,8000,92.23,86.59,5.64,,40.35,0.5,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,11676,Finau / Greyserman,7900,87.21,82.14,5.07,,40.19,0.13,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,18424,Roy / McGreevy,7800,93.92,87.97,5.95,,40.85,0.78,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,10104,Power / Schmid,7700,87.76,82.69,5.08,,40.04,0.31,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,15980,Lipsky / Hoey,7600,89.05,83.82,5.23,,40.15,0.49,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,13764,Parry / Brown,7600,87.8,82.62,5.19,,40.45,0.38,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,23841,Neergaard-Petersen / Olesen,7500,84.91,80.27,4.64,,39.26,0.2,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,16394,Jaeger / Suber,7500,82.27,77.93,4.34,,38.69,-0.02,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,14704,Putnam / Smotherman,7500,91.23,85.7,5.53,,40.59,0.74,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,21883,Ewart / Jarvis,7400,88.3,83.17,5.12,,40.06,0.56,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
Zurich Classic of New Orleans,draftkings,21756,Cole / Lebioda,7400,84.39,79.77,4.62,,39.25,0.22,n/a,0,2026-04-20 18:35:43 UTC,2026-04-21T03:48:42.263162+00:00
