player_name_dg,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,country,am,pageviews,event_name,event_id,course_name,current_round,last_updated,fetched_at,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole
"Scheffler, Scottie",Scottie Scheffler,18417,46046,1,1,2,USA,0,6542,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:50,late,1,2026-04-17 10:05,early,1,2026-04-18 12:45,late,1
"Young, Cameron",Cameron Young,26651,57366,4,3,1,USA,0,4175,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 10:15,early,1,2026-04-17 13:50,late,1,2026-04-18 10:50,late,1
"Schauffele, Xander",Xander Schauffele,19895,48081,5,9,10,USA,0,4592,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:30,late,1,2026-04-17 09:45,early,1,2026-04-18 11:20,late,1
"Henley, Russell",Russell Henley,14578,34098,6,6,15,USA,0,5803,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:30,late,1,2026-04-17 09:45,early,1,2026-04-18 12:05,late,1
"Fitzpatrick, Matt",Matt Fitzpatrick,17646,40098,7,7,5,ENG,0,4937,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:50,late,1,2026-04-17 10:05,early,1,2026-04-18 14:00,late,1
"Fleetwood, Tommy",Tommy Fleetwood,12294,30911,8,5,14,ENG,0,4263,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:40,late,1,2026-04-17 09:55,early,1,2026-04-18 08:10,early,1
"Aberg, Ludvig",Ludvig Aberg,23950,52955,9,17,13,SWE,0,4012,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 10:05,early,1,2026-04-17 13:40,late,1,2026-04-18 13:40,late,1
"Morikawa, Collin",Collin Morikawa,22085,50525,10,8,4,USA,0,2936,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 13:20,late,1,2026-04-17 09:35,early,1,2026-04-18 12:45,late,1
"MacIntyre, Robert",Robert MacIntyre,23323,52215,11,12,17,SCO,0,2123,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 09:10,early,1,2026-04-17 12:45,late,1,2026-04-18 12:55,late,1
"Knapp, Jake",Jake Knapp,19396,47420,13,36,11,USA,0,3271,RBC Heritage,12,Harbour Town Golf Links,3,2026-04-18 00:40:27 UTC,2026-04-18T00:53:24.369143+00:00,2026-04-16 14:00,late,1,2026-04-17 10:15,early,1,2026-04-18 07:25,early,1
