player_name_dg,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,country,am,pageviews,event_name,event_id,course_name,current_round,last_updated,fetched_at,r1_teetime,r1_wave,r1_starthole
"Scheffler, Scottie",Scottie Scheffler,18417,46046,1,1,1,USA,0,1320,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 14:00,late,1
"McIlroy, Rory",Rory McIlroy,10091,28237,2,2,11,NIR,0,1220,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:54,late,1
"Burns, Sam",Sam Burns,19483,47504,3,9,8,USA,0,1089,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:24,late,1
"Fitzpatrick, Matt",Matt Fitzpatrick,17646,40098,4,4,2,ENG,0,735,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 14:00,late,1
"Fleetwood, Tommy",Tommy Fleetwood,12294,30911,5,7,9,ENG,0,866,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:12,late,1
"Cantlay, Patrick",Patrick Cantlay,15466,35450,6,26,19,USA,0,1356,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:06,early,1
"Clark, Wyndham",Wyndham Clark,23604,51766,7,5,3,USA,0,1587,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:48,late,1
"Schauffele, Xander",Xander Schauffele,19895,48081,8,11,12,USA,0,1163,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:54,late,1
"Morikawa, Collin",Collin Morikawa,22085,50525,9,10,7,USA,0,1243,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:24,late,1
"Aberg, Ludvig",Ludvig Aberg,23950,52955,10,17,10,SWE,0,694,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:12,late,1
"Kim, Si Woo",Si Woo Kim,14609,37455,11,13,5,KOR,0,716,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:36,late,1
"Henley, Russell",Russell Henley,14578,34098,12,6,14,USA,0,884,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:42,late,1
"Gotterup, Chris",Chris Gotterup,27774,59095,13,8,6,USA,0,826,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:36,late,1
"Matsuyama, Hideki",Hideki Matsuyama,13562,32839,14,24,16,JPN,0,715,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:30,late,1
"Young, Cameron",Cameron Young,26651,57366,15,3,4,USA,0,753,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 13:48,late,1
"Hovland, Viktor",Viktor Hovland,18841,46717,19,15,26,NOR,0,869,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:24,early,1
"Gerard, Ryan",Ryan Gerard,29767,59018,20,27,17,USA,0,501,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:18,early,1
"Spaun, J.J.",J.J. Spaun,17536,39324,21,16,22,USA,0,487,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:48,early,1
"MacIntyre, Robert",Robert MacIntyre,23323,52215,22,18,25,SCO,0,501,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:24,early,1
"Bridgeman, Jacob",Jacob Bridgeman,29433,60004,25,28,13,USA,0,501,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:42,late,1
"Rose, Justin",Justin Rose,6093,22405,27,14,27,ENG,0,608,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:12,early,1
"Kim, Tom",Tom Kim,24766,55182,29,29,29,KOR,0,551,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:00,early,1
"Scott, Adam",Adam Scott,6430,24502,31,51,28,AUS,0,634,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:12,early,1
"Smalley, Alex",Alex Smalley,18474,46340,33,46,23,USA,0,477,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:36,early,1
"Reitan, Kristoffer",Kristoffer Reitan,21407,49855,41,30,20,NOR,0,317,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:06,early,1
"Woodland, Gary",Gary Woodland,12577,31323,47,42,18,USA,0,659,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:18,early,1
"Lee, Min Woo",Min Woo Lee,16841,37378,48,31,21,AUS,0,361,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 11:48,early,1
"Bhatia, Akshay",Akshay Bhatia,26096,56630,50,33,15,USA,0,477,TOUR Championship,60,East Lake Golf Club,1,2026-08-25 11:01:05 UTC,2026-08-25T11:03:55.881564+00:00,2026-08-27 12:30,late,1
