player_name_dg,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,country,am,pageviews,event_name,event_id,course_name,current_round,last_updated,fetched_at,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole
"Scheffler, Scottie",Scottie Scheffler,18417,46046,1.0,1.0,1,USA,0,2347,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 09:58,early,1,2026-07-17 15:04,late,1
"McIlroy, Rory",Rory McIlroy,10091,28237,2.0,2.0,12,NIR,0,2269,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 15:15,late,1,2026-07-17 10:09,early,1
"Fitzpatrick, Matt",Matt Fitzpatrick,17646,40098,3.0,3.0,2,ENG,0,2615,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 15:15,late,1,2026-07-17 10:09,early,1
"Fleetwood, Tommy",Tommy Fleetwood,12294,30911,4.0,9.0,9,ENG,0,2391,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 10:09,early,1,2026-07-17 15:15,late,1
"Rahm, Jon",Jon Rahm,19195,46970,5.0,11.0,,ESP,0,1877,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 10:09,early,1,2026-07-17 15:15,late,1
"Burns, Sam",Sam Burns,19483,47504,6.0,18.0,10,USA,0,1973,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 14:31,late,1,2026-07-17 09:25,early,1
"Clark, Wyndham",Wyndham Clark,23604,51766,7.0,8.0,4,USA,0,2293,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 15:04,late,1,2026-07-17 09:58,early,1
"Morikawa, Collin",Collin Morikawa,22085,50525,8.0,7.0,6,USA,0,2411,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 14:42,late,1,2026-07-17 09:36,early,1
"Young, Cameron",Cameron Young,26651,57366,9.0,4.0,3,USA,0,1675,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 15:04,late,1,2026-07-17 09:58,early,1
"Kim, Si Woo",Si Woo Kim,14609,37455,10.0,21.0,7,KOR,0,2061,The Open Championship,100,Royal Birkdale Golf Club,1,2026-07-14 11:11:03 UTC,2026-07-14T11:13:05.084960+00:00,2026-07-16 10:20,early,1,2026-07-17 15:26,late,1
