player_name_dg,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,country,am,pageviews,event_name,event_id,course_name,current_round,last_updated,fetched_at
"McIlroy, Rory",Rory McIlroy,10091,28237,3,2,9,NIR,0,2037,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Young, Cameron",Cameron Young,26651,57366,4,3,3,USA,0,2664,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Fitzpatrick, Matt",Matt Fitzpatrick,17646,40098,5,4,2,ENG,0,1073,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Schauffele, Xander",Xander Schauffele,19895,48081,6,10,12,USA,0,1543,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Aberg, Ludvig",Ludvig Aberg,23950,52955,7,15,10,SWE,0,1550,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Fleetwood, Tommy",Tommy Fleetwood,12294,30911,9,7,17,ENG,0,797,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Kim, Si Woo",Si Woo Kim,14609,37455,10,20,6,KOR,0,941,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"MacIntyre, Robert",Robert MacIntyre,23323,52215,11,12,21,SCO,0,596,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Cantlay, Patrick",Patrick Cantlay,15466,35450,13,33,40,USA,0,563,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Matsuyama, Hideki",Hideki Matsuyama,13562,32839,14,16,20,JPN,0,641,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Burns, Sam",Sam Burns,19483,47504,15,31,24,USA,0,791,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"McNealy, Maverick",Maverick McNealy,18634,46442,16,28,43,USA,0,394,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Scott, Adam",Adam Scott,6430,24502,17,43,16,AUS,0,1732,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Knapp, Jake",Jake Knapp,19396,47420,18,36,14,USA,0,517,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Griffin, Ben",Ben Griffin,24968,54591,19,14,33,USA,0,817,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hovland, Viktor",Viktor Hovland,18841,46717,20,26,60,NOR,0,731,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Bhatia, Akshay",Akshay Bhatia,26096,56630,21,24,7,USA,0,518,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Fowler, Rickie",Rickie Fowler,12965,32102,22,52,30,USA,0,970,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Spaun, J.J.",J.J. Spaun,17536,39324,24,9,25,USA,0,554,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Noren, Alex",Alex Noren,10419,27349,25,18,46,SWE,0,361,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Gotterup, Chris",Chris Gotterup,27774,59095,26,11,8,USA,0,1105,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"English, Harris",Harris English,14577,34099,27,22,34,USA,0,594,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Straka, Sepp",Sepp Straka,17511,49960,29,13,11,AUT,0,860,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Lee, Min Woo",Min Woo Lee,16841,37378,30,27,13,AUS,0,775,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Spieth, Jordan",Jordan Spieth,14636,34046,31,50,37,USA,0,878,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Bridgeman, Jacob",Jacob Bridgeman,29433,60004,32,19,5,USA,0,388,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Rose, Justin",Justin Rose,6093,22405,34,5,15,ENG,0,551,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hojgaard, Nicolai",Nicolai Hojgaard,23602,52453,35,37,27,DEN,0,645,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Day, Jason",Jason Day,9771,28089,36,38,47,AUS,0,444,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Kitayama, Kurt",Kurt Kitayama,21891,48117,38,34,19,USA,0,640,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Bradley, Keegan",Keegan Bradley,13872,33141,39,30,76,USA,0,385,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Gerard, Ryan",Ryan Gerard,29767,59018,40,32,23,USA,0,326,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hall, Harry",Harry Hall,27194,57975,41,64,56,ENG,0,146,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Smalley, Alex",Alex Smalley,18474,46340,43,87,35,USA,0,737,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Taylor, Nick",Nick Taylor,13126,25493,44,60,52,CAN,0,234,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Stevens, Sam",Sam Stevens,25569,55893,46,46,45,USA,0,357,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Theegala, Sahith",Sahith Theegala,23014,51634,47,75,26,USA,0,377,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"McCarty, Matt",Matt McCarty,28635,59141,48,45,31,USA,0,315,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Conners, Corey",Corey Conners,17576,39997,49,49,69,CAN,0,413,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Thomas, Justin",Justin Thomas,14139,33448,51,17,67,USA,0,752,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Woodland, Gary",Gary Woodland,12577,31323,54,47,22,USA,0,773,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Fox, Ryan",Ryan Fox,11889,29936,55,55,58,NZL,0,714,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Berger, Daniel",Daniel Berger,17606,40026,59,40,32,USA,0,319,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Reitan, Kristoffer",Kristoffer Reitan,21407,49855,60,48,54,NOR,0,547,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Kim, Michael",Michael Kim,17543,39975,61,41,51,USA,0,273,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Fitzpatrick, Alex",Alex Fitzpatrick,25362,55721,62,120,39,ENG,0,785,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Coody, Pierceson",Pierceson Coody,28309,59836,64,56,38,USA,0,404,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hisatsune, Ryo",Ryo Hisatsune,22760,51287,65,58,29,JPN,0,285,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Putnam, Andrew",Andrew Putnam,14704,34256,67,84,49,USA,0,201,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Harman, Brian",Brian Harman,8825,27644,71,53,62,USA,0,207,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Cauley, Bud",Bud Cauley,14502,34021,75,65,50,USA,0,236,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"McCarthy, Denny",Denny McCarthy,19870,47993,76,94,94,USA,0,288,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Poston, J.T.",J.T. Poston,21554,49771,77,80,117,USA,0,185,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Homa, Max",Max Homa,17538,39977,82,118,61,USA,0,728,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Wallace, Matt",Matt Wallace,20706,48887,84,69,66,ENG,0,200,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Yellamaraju, Sudarshan",Sudarshan Yellamaraju,29925,60386,86,111,36,CAN,0,459,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Castillo, Ricky",Ricky Castillo,27819,59440,93,86,44,USA,0,208,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Pendrith, Taylor",Taylor Pendrith,17780,40250,96,83,88,CAN,0,471,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Rodgers, Patrick",Patrick Rodgers,16283,36699,100,73,41,USA,0,179,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Novak, Andrew",Andrew Novak,23475,51997,102,54,64,USA,0,167,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Glover, Lucas",Lucas Glover,7399,25900,114,90,109,USA,0,249,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hughes, Mackenzie",Mackenzie Hughes,15556,35506,137,138,129,CAN,0,203,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Im, Sungjae",Sungjae Im,17488,39971,149,77,104,KOR,0,315,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Echavarria, Nico",Nico Echavarria,22833,51349,163,44,28,COL,0,151,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Finau, Tony",Tony Finau,11676,29725,170,117,78,USA,0,291,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Blanchet, Chandler",Chandler Blanchet,24956,54788,175,106,74,USA,0,142,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Lipsky, David",David Lipsky,15980,36326,182,91,55,USA,0,95,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Potgieter, Aldrich",Aldrich Potgieter,27900,63343,187,74,48,RSA,0,513,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Simpson, Webb",Webb Simpson,11049,29221,190,441,154,USA,0,146,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Hoge, Tom",Tom Hoge,15575,35532,210,116,73,USA,0,138,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Vegas, Jhonattan",Jhonattan Vegas,13508,27064,212,112,110,VEN,0,208,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
"Campbell, Brian",Brian Campbell,18628,46443,294,101,142,USA,0,153,Truist Championship,480,Quail Hollow Club,1,2026-05-05 11:00:57 UTC,2026-05-05T11:04:12.251136+00:00
