player_name_dg,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,country,am,pageviews,event_name,event_id,course_name,current_round,last_updated,fetched_at
"Young, Cameron",Cameron Young,26651,57366,6.0,3.0,3,USA,0,1432,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Matsuyama, Hideki",Hideki Matsuyama,13562,32839,18.0,24.0,24,JPN,0,1720,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Gerard, Ryan",Ryan Gerard,29767,59018,21.0,25.0,16,USA,0,1629,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Griffin, Ben",Ben Griffin,24968,54591,23.0,20.0,36,USA,0,1370,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Thomas, Justin",Justin Thomas,14139,33448,24.0,22.0,40,USA,0,1106,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"McNealy, Maverick",Maverick McNealy,18634,46442,25.0,44.0,50,USA,0,605,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Koivun, Jackson",Jackson Koivun,32319,66701,26.0,70.0,70,USA,0,1612,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Bradley, Keegan",Keegan Bradley,13872,33141,34.0,45.0,72,USA,0,767,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Fitzpatrick, Alex",Alex Fitzpatrick,25362,55721,37.0,68.0,19,ENG,0,1024,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Rai, Aaron",Aaron Rai,18554,46414,40.0,19.0,35,ENG,0,1419,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"English, Harris",Harris English,14577,34099,44.0,36.0,49,USA,0,615,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Noren, Alex",Alex Noren,10419,27349,45.0,27.0,48,SWE,0,744,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Kim, Tom",Tom Kim,24766,55182,46.0,33.0,34,KOR,0,1374,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Cauley, Bud",Bud Cauley,14502,34021,49.0,42.0,33,USA,0,792,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Meissner, Mac",Mac Meissner,28159,59143,50.0,85.0,71,USA,0,1121,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Wallace, Matt",Matt Wallace,20706,48887,52.0,62.0,80,ENG,0,631,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Mitchell, Keith",Keith Mitchell,17365,39546,53.0,72.0,47,USA,0,358,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Smalley, Alex",Alex Smalley,18474,46340,54.0,46.0,25,USA,0,780,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Harman, Brian",Brian Harman,8825,27644,56.0,60.0,63,USA,0,845,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Kohles, Ben",Ben Kohles,16395,36884,57.0,108.0,95,USA,0,1219,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Taylor, Nick",Nick Taylor,13126,25493,58.0,73.0,61,CAN,0,502,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Kim, Michael",Michael Kim,17543,39975,59.0,51.0,59,USA,0,784,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Thompson, Davis",Davis Thompson,27364,58168,60.0,123.0,81,USA,0,1238,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
"Poston, J.T.",J.T. Poston,21554,49771,62.0,35.0,29,USA,0,740,Wyndham Championship,13,Sedgefield Country Club,1,2026-08-04 12:01:00 UTC,2026-08-04T12:09:11.179825+00:00
