event_name,current_round,course_key,course_code,round_num,hole,par,yardage,avg_score,vs_par,birdies,pars,bogeys,doubles_or_worse,eagles_or_better,players_thru,last_update,fetched_at
RBC Heritage,4,012,HT,1,1,4,422,4.122,0.122,11,53,16,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,2,5,550,4.512,-0.488,42,33,4,1,2,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,3,4,469,4.134,0.134,8,57,15,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,4,3,200,3.122,0.122,14,50,13,5,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,5,5,569,4.573,-0.427,41,37,2,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,6,4,431,3.817,-0.183,23,51,8,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,7,3,217,3.098,0.098,13,48,21,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,8,4,473,4.11,0.11,11,54,11,5,1,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,9,4,332,3.659,-0.341,28,48,4,0,2,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,10,4,451,4.061,0.061,10,59,11,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,11,4,436,3.939,-0.061,19,52,9,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,12,4,430,3.927,-0.073,18,53,10,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,13,4,373,3.939,-0.061,16,55,11,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,14,3,192,3.11,0.11,7,65,7,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,15,5,588,4.805,-0.195,24,49,6,2,1,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,16,4,434,3.793,-0.207,21,58,2,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,17,3,198,2.951,-0.049,15,56,11,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,1,18,4,478,4.049,0.049,8,63,10,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,1,4,422,3.963,-0.037,12,63,5,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,2,5,550,4.598,-0.402,39,37,6,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,3,4,469,3.951,-0.049,12,62,8,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,4,3,200,3.073,0.073,10,58,12,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,5,5,569,4.634,-0.366,36,38,6,1,1,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,6,4,431,3.902,-0.098,20,51,10,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,7,3,217,3.073,0.073,8,61,12,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,8,4,473,4.024,0.024,12,58,10,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,9,4,332,3.707,-0.293,28,50,4,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,10,4,451,3.915,-0.085,15,59,8,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,11,4,436,4.049,0.049,13,54,13,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,12,4,430,3.829,-0.171,25,46,11,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,13,4,373,3.951,-0.049,17,54,9,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,14,3,192,3.122,0.122,9,56,15,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,15,5,588,4.72,-0.28,33,41,6,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,16,4,434,3.744,-0.256,24,52,5,0,1,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,17,3,198,3.073,0.073,10,59,10,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,2,18,4,478,4.037,0.037,10,59,13,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,1,4,422,3.829,-0.171,20,56,6,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,2,5,550,4.415,-0.585,45,32,1,1,3,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,3,4,469,4.061,0.061,6,66,9,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,4,3,200,3.195,0.195,6,57,16,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,5,5,569,4.415,-0.585,47,31,1,1,2,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,6,4,431,3.78,-0.22,27,47,7,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,7,3,217,3.061,0.061,11,56,14,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,8,4,473,3.963,-0.037,13,59,10,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,9,4,332,3.646,-0.354,35,41,6,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,10,4,451,3.951,-0.049,16,55,10,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,11,4,436,4.073,0.073,9,58,15,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,12,4,430,3.988,-0.012,19,46,16,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,13,4,373,4.024,0.024,21,41,17,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,14,3,192,2.915,-0.085,13,64,4,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,15,5,588,4.549,-0.451,36,35,7,0,4,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,16,4,434,3.976,-0.024,12,61,8,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,17,3,198,3.0,0.0,9,65,7,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,3,18,4,478,4.024,0.024,16,52,12,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,1,4,422,3.976,-0.024,15,55,11,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,2,5,550,4.537,-0.463,40,35,4,1,2,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,3,4,469,3.976,-0.024,16,53,12,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,4,3,200,2.976,-0.024,13,59,9,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,5,5,569,4.561,-0.439,36,36,4,2,4,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,6,4,431,3.915,-0.085,17,55,10,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,7,3,217,3.073,0.073,10,58,12,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,8,4,473,4.146,0.146,7,59,13,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,9,4,332,3.841,-0.159,23,50,8,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,10,4,451,3.927,-0.073,17,56,8,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,11,4,436,3.927,-0.073,16,57,8,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,12,4,430,3.866,-0.134,16,61,5,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,13,4,373,3.976,-0.024,14,56,12,0,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,14,3,192,3.28,0.28,10,50,14,8,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,15,5,588,4.78,-0.22,29,44,8,1,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,16,4,434,3.963,-0.037,18,52,10,2,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,17,3,198,3.122,0.122,12,51,16,3,0,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
RBC Heritage,4,012,HT,4,18,4,478,4.378,0.378,4,49,21,7,1,82,2026-04-19 6:00 PM,2026-04-21T03:49:08.218197+00:00
