player_name,dg_id,position,total,thru,round,sg_ott,sg_app,sg_arg,sg_putt,sg_t2g,sg_total,driving_dist,driving_acc,round_param,event_name,last_updated,fetched_at
"Clark, Wyndham",23604,3,-11,18,-5,-0.58,4.68,1.95,0.02,6.04,6.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Fleetwood, Tommy",12294,T4,-10,18,-5,1.29,-0.8,3.05,2.52,3.54,6.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Gerard, Ryan",29767,T1,-12,18,-5,0.32,2.94,-0.92,3.72,2.34,6.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Spaun, J.J.",17536,T12,-4,18,-5,0.49,3.04,0.08,2.44,3.61,6.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Taylor, Nick",13126,T43,7,18,-4,1.26,3.17,0.78,-0.15,5.2,5.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Burns, Sam",19483,T4,-10,18,-3,0.48,2.83,0.04,0.71,3.34,4.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Rose, Justin",6093,T12,-4,18,-3,1.46,1.79,0.6,0.21,3.85,4.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Poston, J.T.",21554,T1,-12,18,-2,-1.24,4.79,0.4,-0.9,3.95,3.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Fox, Ryan",11889,T27,0,18,-2,-2.33,3.69,1.44,0.25,2.8,3.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Finau, Tony",11676,T29,1,18,-2,1.03,-0.49,0.75,1.76,1.29,3.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Cantlay, Patrick",15466,T17,-3,18,-2,-1.02,2.82,-0.6,1.85,1.2,3.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Lowry, Shane",13900,T22,-1,18,-2,0.19,2.11,-0.81,1.57,1.49,3.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"McNealy, Maverick",18634,T10,-5,18,-1,-1.95,1.1,2.46,0.44,1.62,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Pendrith, Taylor",17780,T43,7,18,-1,1.23,0.19,-1.01,1.64,0.41,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Hisatsune, Ryo",22760,52,16,18,-1,0.37,-0.26,0.25,1.69,0.37,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Noren, Alex",10419,9,-6,18,-1,0.5,1.16,0.57,-0.17,2.23,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"English, Harris",14577,T17,-3,18,-1,-0.56,-1.4,0.66,3.35,-1.29,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Spieth, Jordan",14636,CUT,6,18,-1,0.61,0.55,0.1,0.79,1.27,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Aberg, Ludvig",23950,39,5,18,-1,1.73,-0.77,-1.1,2.2,-0.15,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Bradley, Keegan",13872,T19,-2,18,-1,-1.17,2.71,0.26,0.26,1.8,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Novak, Andrew",23475,CUT,6,18,-1,1.09,-0.57,-0.3,1.84,0.22,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"McIlroy, Rory",10091,T12,-4,18,-1,-0.21,0.41,1.85,-0.0,2.06,2.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Matsuyama, Hideki",13562,T43,7,18,0,0.38,-0.38,1.34,-0.28,1.34,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Schauffele, Xander",19895,T29,1,18,0,0.22,0.57,0.73,-0.46,1.52,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Berger, Daniel",17606,CUT,9,18,0,0.54,1.19,-0.26,-0.41,1.47,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Woodland, Gary",12577,T36,4,18,0,1.45,-1.27,0.54,0.34,0.72,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Fitzpatrick, Alex",25362,T6,-8,18,0,2.25,1.95,-0.51,-2.64,3.69,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Kitayama, Kurt",21891,T22,-1,18,0,-0.92,-0.56,1.41,1.11,-0.06,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Henley, Russell",14578,T22,-1,18,0,0.33,-0.23,-0.83,1.79,-0.73,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Cole, Eric",21756,8,-7,18,0,0.25,-0.4,1.85,-0.64,1.7,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Scott, Adam",6430,T12,-4,18,0,0.02,-0.38,2.16,-0.74,1.79,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Kim, Si Woo",14609,T10,-5,18,0,0.16,0.08,0.25,0.56,0.5,1.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Young, Cameron",26651,T46,8,18,1,0.01,0.02,-0.25,0.27,-0.22,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Glover, Lucas",7399,T46,8,18,1,1.85,-0.05,-0.31,-1.44,1.5,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Scheffler, Scottie",18417,T12,-4,18,1,1.38,-2.66,1.18,0.15,-0.1,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Echavarria, Nico",22833,T40,6,18,1,-0.07,1.56,-1.45,0.02,0.03,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Yellamaraju, Sudarshan",29925,T40,6,18,1,1.49,0.95,0.09,-2.47,2.53,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Rai, Aaron",18554,T19,-2,18,1,-0.19,2.25,-0.04,-1.96,2.02,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Cauley, Bud",14502,T22,-1,18,1,-0.09,0.43,-0.86,0.57,-0.52,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Bhatia, Akshay",26096,CUT,9,18,1,0.1,1.06,-0.34,-0.77,0.82,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"McCarthy, Denny",19870,T34,3,18,1,-0.01,-1.28,-0.52,1.87,-1.81,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Im, Sungjae",17488,T32,2,18,1,0.47,0.13,-0.98,0.43,-0.37,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Hall, Harry",27194,T29,1,18,1,-0.99,1.68,-0.66,0.03,0.02,0.06,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Hojgaard, Nicolai",23602,CUT,8,18,2,-0.06,0.04,0.07,-0.99,0.05,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Conners, Corey",17576,53,18,18,2,0.41,-0.5,-1.9,1.05,-1.99,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Griffin, Ben",24968,CUT,7,18,2,-0.93,0.85,1.42,-2.29,1.34,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Day, Jason",9771,CUT,6,18,2,-0.12,-3.02,1.34,0.86,-1.81,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Lee, Min Woo",16841,CUT,8,18,2,1.0,-2.43,0.7,-0.21,-0.73,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Gotterup, Chris",27774,T27,0,18,2,-0.35,0.17,-0.47,-0.3,-0.64,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Rodgers, Patrick",16283,T49,9,18,2,-2.43,1.0,0.54,-0.06,-0.89,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Straka, Sepp",17511,T40,6,18,2,1.01,-1.08,-0.67,-0.2,-0.75,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Thomas, Justin",14139,T19,-2,18,2,0.74,-2.38,0.98,-0.28,-0.66,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
"Theegala, Sahith",23014,T32,2,18,2,-1.65,-1.49,-0.13,2.32,-3.26,-0.94,,,1,the Memorial Tournament presented by Workday,2026-06-07 21:58:32 UTC,2026-06-08T01:07:06.002891+00:00
