player_name,dg_id,position,total,thru,round,sg_ott,sg_app,sg_arg,sg_putt,sg_t2g,sg_total,driving_dist,driving_acc,round_param,event_name,last_updated,fetched_at
"Cauley, Bud",14502,1,-17.0,18.0,-5.0,0.7075,0.3525,0.7550000000000001,1.6824999999999999,1.8175,3.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Fitzpatrick, Matt",17646,2,-15.0,18.0,-6.0,0.4225,1.2349999999999999,0.16999999999999998,1.1724999999999999,1.83,3.0,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Hovland, Viktor",18841,3,-14.0,18.0,-5.0,0.38,1.6175000000000002,-0.455,1.2049999999999998,1.545,2.75,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Stanger, Jimmy",23048,T4,-13.0,18.0,-3.0,0.7825000000000001,-0.6950000000000001,-0.035,2.45,0.04999999999999993,2.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Garnett, Brice",11451,T4,-13.0,18.0,-2.0,0.5974999999999999,0.73,-0.3825,1.5575,0.9450000000000001,2.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Svensson, Jesper",26850,T4,-13.0,18.0,-2.0,1.1500000000000001,0.16249999999999995,0.635,0.5575000000000001,1.9449999999999998,2.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Suber, Jackson",29279,T4,-13.0,18.0,0.0,1.6625,1.15,0.04750000000000004,-0.35750000000000004,2.86,2.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Yellamaraju, Sudarshan",29925,T8,-12.0,18.0,-2.0,0.9425000000000001,1.3125,-0.2275,0.22499999999999998,2.025,2.25,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Fox, Ryan",11889,T8,-12.0,18.0,-2.0,0.505,1.1124999999999998,-0.27749999999999997,0.9100000000000001,1.3424999999999998,2.25,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Potgieter, Aldrich",27900,T8,-12.0,18.0,-5.0,0.165,0.32249999999999995,0.6675,1.1,1.15,2.25,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Anderson, Matthew",26617,T11,-11.0,18.0,-3.0,-0.8424999999999999,0.8425,0.19249999999999995,1.81,0.19000000000000006,2.0,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Bridgeman, Jacob",29433,T11,-11.0,18.0,-2.0,0.007499999999999958,1.1925,0.0024999999999999953,0.805,1.1975,2.0,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Fleetwood, Tommy",12294,T11,-11.0,18.0,0.0,0.8200000000000001,0.8924999999999998,-0.07500000000000001,0.3700000000000001,1.63,2.0,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Clark, Wyndham",23604,T11,-11.0,18.0,0.0,0.1775,-0.31500000000000006,1.325,0.8099999999999999,1.19,2.0,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Ghim, Doug",24550,T15,-10.0,18.0,-3.0,1.385,-0.17499999999999993,0.037500000000000006,0.5025,1.2475,1.7500000000000002,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"MacIntyre, Robert",23323,T15,-10.0,18.0,-1.0,0.4225,0.8975,0.31499999999999995,0.11250000000000003,1.6350000000000002,1.75,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Horschel, Billy",11276,T15,-10.0,18.0,0.0,-0.525,1.49,0.15000000000000002,0.6349999999999999,1.115,1.75,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Phillips, Chandler",27164,T15,-10.0,18.0,-4.0,0.2625,-0.4074999999999999,0.31500000000000006,1.575,0.1775,1.75,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Kim, Tom",24766,T15,-10.0,18.0,-4.0,-0.5825,0.7849999999999999,0.9099999999999999,0.635,1.115,1.75,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Skinns, David",10873,T20,-9.0,18.0,0.0,-0.21749999999999997,0.7525,0.155,0.81,0.69,1.5000000000000002,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Pavon, Matthieu",19960,T20,-9.0,18.0,-4.0,0.675,0.7825,0.042499999999999996,-2.7755575615628914e-17,1.5,1.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
"Van Rooyen, Erik",17550,T20,-9.0,18.0,-4.0,-0.32249999999999995,0.1,0.44,1.28,0.22000000000000006,1.5,,,event_avg,RBC Canadian Open,2026-06-14 22:23:36 UTC,2026-06-15T01:00:06.956910+00:00
