player_name,dg_id,position,total,thru,round,sg_ott,sg_app,sg_arg,sg_putt,sg_t2g,sg_total,driving_dist,driving_acc,round_param,event_name,last_updated,fetched_at
"Burns, Sam",19483,T37,-2,18,-7,1.55,1.61,0.63,2.7,3.78,6.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Lee, Min Woo",16841,T14,-7,18,-7,1.85,1.5,0.22,2.92,3.57,6.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Fowler, Rickie",12965,T2,-13,18,-6,0.58,0.65,2.17,2.08,3.4,5.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Smotherman, Austin",22985,T19,-5,18,-5,0.31,2.07,-0.83,2.94,1.55,4.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Hughes, Mackenzie",15556,T52,1,18,-5,0.68,0.72,0.15,2.94,1.55,4.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Coody, Pierceson",28309,T24,-4,18,-5,1.6,1.33,1.19,0.37,4.11,4.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Smalley, Alex",18474,T17,-6,18,-5,0.97,2.15,0.16,1.21,3.28,4.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Aberg, Ludvig",23950,T8,-10,18,-5,0.72,2.17,0.12,1.47,3.02,4.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Rodgers, Patrick",16283,T24,-4,18,-4,-1.36,-0.54,-0.03,5.42,-1.93,3.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"McIlroy, Rory",10091,T19,-5,18,-4,0.4,0.92,0.6,1.56,1.92,3.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"McNealy, Maverick",18634,T37,-2,18,-4,0.0,-0.22,2.66,1.05,2.44,3.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Hall, Harry",27194,T8,-10,18,-4,0.75,2.46,-2.21,2.49,0.99,3.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Bradley, Keegan",13872,T19,-5,18,-4,0.96,3.13,-0.73,0.13,3.35,3.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"McCarthy, Denny",19870,T48,0,18,-3,-1.96,1.84,1.61,1.0,1.49,2.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Potgieter, Aldrich",27900,T48,0,18,-3,0.69,-0.31,0.78,1.33,1.16,2.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Hojgaard, Nicolai",23602,T2,-13,18,-3,-0.41,1.24,0.25,1.41,1.07,2.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Harman, Brian",8825,T31,-3,18,-2,0.95,-1.3,-0.0,1.84,-0.35,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Novak, Andrew",23475,T24,-4,18,-2,-0.23,-0.29,2.63,-0.63,2.11,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Scott, Adam",6430,T24,-4,18,-2,0.11,-0.58,2.07,-0.12,1.6,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Simpson, Webb",11049,T48,0,18,-2,-0.24,2.0,-0.27,-0.0,1.49,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Gerard, Ryan",29767,T65,4,18,-2,-1.6,2.87,-1.31,1.53,-0.04,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Reitan, Kristoffer",21407,1,-15,18,-2,0.75,1.99,-0.44,-0.81,2.3,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Cantlay, Patrick",15466,T10,-9,18,-2,0.21,0.94,0.0,0.34,1.14,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Woodland, Gary",12577,T17,-6,18,-2,2.28,1.05,-0.63,-1.22,2.7,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Gotterup, Chris",27774,T14,-7,18,-2,0.13,0.84,-0.45,0.97,0.52,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Fleetwood, Tommy",12294,T5,-11,18,-2,1.03,1.54,0.07,-1.15,2.64,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Spaun, J.J.",17536,T5,-11,18,-2,1.39,1.47,2.09,-3.46,4.94,1.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Im, Sungjae",17488,T5,-11,18,-1,-0.29,-1.93,1.57,1.13,-0.64,0.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Berger, Daniel",17606,T45,-1,18,-1,0.89,0.51,-1.86,0.95,-0.46,0.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
"Pendrith, Taylor",17780,T37,-2,18,-1,-0.57,1.0,1.16,-1.11,1.59,0.49,,,4,Truist Championship,2026-05-10 22:13:50 UTC,2026-05-11T01:00:34.134798+00:00
