event_name,round,last_updated,group,teetime,start_hole,p1_dg_id,p1_name,p1_odds,p2_dg_id,p2_name,p2_odds,p3_dg_id,p3_name,p3_odds
RBC Heritage,4,,1,2026-04-19 06:55,1,11676,"Finau, Tony",+127,17780,"Pendrith, Taylor",+118,-1,Tie,+887
RBC Heritage,4,,2,2026-04-19 07:04,1,11276,"Horschel, Billy",+173,14139,"Thomas, Justin",-113,-1,Tie,+877
RBC Heritage,4,,3,2026-04-19 07:13,1,13508,"Vegas, Jhonattan",+173,22985,"Smotherman, Austin",-114,-1,Tie,+892
RBC Heritage,4,,4,2026-04-19 07:22,1,17538,"Homa, Max",+174,19396,"Knapp, Jake",-114,-1,Tie,+879
RBC Heritage,4,,5,2026-04-19 07:31,1,18628,"Campbell, Brian",+171,27819,"Castillo, Ricky",-111,-1,Tie,+850
RBC Heritage,4,,6,2026-04-19 07:40,1,9771,"Day, Jason",+100,17543,"Kim, Michael",+152,-1,Tie,+860
RBC Heritage,4,,7,2026-04-19 07:49,1,19870,"McCarthy, Denny",+114,22465,"Penge, Marco",+135,-1,Tie,+844
RBC Heritage,4,,8,2026-04-19 07:58,1,24342,"Higgo, Garrick",+152,29770,"Mouw, William",-101,-1,Tie,+888
RBC Heritage,4,,9,2026-04-19 08:07,1,22833,"Echavarria, Nico",+157,26649,"Thorbjornsen, Michael",-103,-1,Tie,+865
RBC Heritage,4,,10,2026-04-19 08:16,1,12294,"Fleetwood, Tommy",-128,21554,"Poston, J.T.",+197,-1,Tie,+875
RBC Heritage,4,,11,2026-04-19 08:30,1,10419,"Noren, Alex",+103,27194,"Hall, Harry",+151,-1,Tie,+819
RBC Heritage,4,,12,2026-04-19 08:40,1,23602,"Hojgaard, Nicolai",+101,29925,"Yellamaraju, Sudarshan",+149,-1,Tie,+878
RBC Heritage,4,,13,2026-04-19 08:50,1,15575,"Hoge, Tom",+218,27774,"Gotterup, Chris",-146,-1,Tie,+989
RBC Heritage,4,,14,2026-04-19 09:00,1,15980,"Lipsky, David",+190,22760,"Hisatsune, Ryo",-124,-1,Tie,+894
