name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Burns, Sam","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+140,-114,+1860
"Burns, Sam","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,null,null,null,null,null,null,null,null,null,+127,-127,null
"Thomas, Justin","Cantlay, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+130,-160,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+172,-140,+1965
"Thomas, Justin","Cantlay, Patrick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+130,-170,null,null,null,null,null,null,null,null,null,null,+159,-159,null
"Fleetwood, Tommy","Fitzpatrick, Matt",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+132,-106,+1748
"Fleetwood, Tommy","Fitzpatrick, Matt",void,72-hole match,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,-105,-115,null,null,null,null,null,null,null,+119,-119,null
"Gotterup, Chris","Bridgeman, Jacob",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+153,-125,+1914
"Gotterup, Chris","Bridgeman, Jacob",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+140,-140,null
"Kim, Si Woo","McNealy, Maverick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+138,+1770
"Kim, Si Woo","McNealy, Maverick",void,72-hole match,null,null,null,-135,+113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-125,+125,null
"Day, Jason","Lowry, Shane",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,+119,+1852
"Day, Jason","Lowry, Shane",void,72-hole match,null,null,null,null,null,null,-122,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Knapp, Jake","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+138,-113,+1955
"Knapp, Jake","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+126,-126,null
"Scheffler, Scottie","Schauffele, Xander",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-260,+200,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-163,+201,+2016
"Scheffler, Scottie","Schauffele, Xander",void,72-hole match,-195,+154,null,-203,+165,null,null,null,null,null,null,null,-250,+187,null,null,null,null,null,null,null,-275,+200,null,-209,+172,null,-220,+170,null,-225,+163,null,-186,+186,null
"Spieth, Jordan","Hovland, Viktor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+126,-102,+1795
"Spieth, Jordan","Hovland, Viktor",void,72-hole match,null,null,null,-102,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Straka, Sepp","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,+103,+1804
"Straka, Sepp","Griffin, Ben",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Henley, Russell","Young, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,+117,+1876
"Henley, Russell","Young, Cameron",void,72-hole match,-122,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-118,null,null,null,null,-110,-120,null,-115,-105,null,null,null,null,null,null,null,-106,+106,null
"Lipsky, David","Valimaki, Sami",void,72-hole match,+122,-153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,+113,-113,null
"Wallace, Matt","Penge, Marco",void,72-hole match,-125,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-132,+132,null
"Smith, Jordan","Smotherman, Austin",void,72-hole match,-141,+111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+108,null,null,null,null,null,null,null,-122,+122,null
"Poston, J.T.","Stevens, Sam",void,72-hole match,-107,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+111,-111,null
"Glover, Lucas","Finau, Tony",void,72-hole match,+131,-165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+132,-159,null,null,null,null,null,null,null,+115,-115,null
