p1_name,p2_name,p1_dg_id,p2_dg_id,ties,book,p1_odds,p2_odds,p1_prob,p2_prob,p1_novig,p2_novig,is_dg_model,is_sharp,event_name,last_updated
"Lowry, Shane","Koepka, Brooks",13900,16243,void,bet365,-120,+100,0.545455,0.5,0.521739,0.478261,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Lowry, Shane","Koepka, Brooks",13900,16243,void,bovada,-130,+110,0.565217,0.47619,0.542744,0.457256,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Lowry, Shane","Koepka, Brooks",13900,16243,void,datagolf,-121,+121,0.547511,0.452489,0.547511,0.452489,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Van Rooyen, Erik","Neergaard-Petersen, Rasmus",17550,23841,void,bet365,+115,-135,0.465116,0.574468,0.447406,0.552594,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Van Rooyen, Erik","Neergaard-Petersen, Rasmus",17550,23841,void,bovada,+125,-150,0.444444,0.6,0.425532,0.574468,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Van Rooyen, Erik","Neergaard-Petersen, Rasmus",17550,23841,void,datagolf,+150,-150,0.4,0.6,0.4,0.6,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Yu, Kevin","Kim, Tom",17881,24766,void,bet365,+100,-120,0.5,0.545455,0.478261,0.521739,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Yu, Kevin","Kim, Tom",17881,24766,void,betcris,-104,-126,0.509804,0.557522,0.477646,0.522354,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Yu, Kevin","Kim, Tom",17881,24766,void,bovada,+100,-120,0.5,0.545455,0.478261,0.521739,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Yu, Kevin","Kim, Tom",17881,24766,void,datagolf,+100,-100,0.5,0.5,0.5,0.5,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Fitzpatrick, Alex","Hall, Harry",25362,27194,void,bet365,-120,+100,0.545455,0.5,0.521739,0.478261,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Fitzpatrick, Alex","Hall, Harry",25362,27194,void,betcris,-112,-118,0.528302,0.541284,0.493931,0.506069,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Fitzpatrick, Alex","Hall, Harry",25362,27194,void,bovada,-120,+100,0.545455,0.5,0.521739,0.478261,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Fitzpatrick, Alex","Hall, Harry",25362,27194,void,datagolf,-111,+111,0.526066,0.473934,0.526066,0.473934,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Finau, Tony","Mitchell, Keith",11676,17365,void,bet365,-116,-105,0.537037,0.512195,0.511838,0.488162,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Finau, Tony","Mitchell, Keith",11676,17365,void,betonline,-104,-116,0.509804,0.537037,0.486993,0.513007,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Finau, Tony","Mitchell, Keith",11676,17365,void,bovada,-115,-105,0.534884,0.512195,0.510834,0.489166,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Finau, Tony","Mitchell, Keith",11676,17365,void,datagolf,-100,+100,0.5,0.5,0.5,0.5,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Finau, Tony","Mitchell, Keith",11676,17365,void,unibet,-120,-107,0.545455,0.516908,0.513435,0.486565,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Hovland, Viktor","Ghim, Doug",18841,24550,void,bet365,-141,+120,0.585062,0.454545,0.562772,0.437228,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Hovland, Viktor","Ghim, Doug",18841,24550,void,bovada,-145,+120,0.591837,0.454545,0.565603,0.434397,False,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Hovland, Viktor","Ghim, Doug",18841,24550,void,datagolf,-123,+123,0.55157,0.44843,0.55157,0.44843,True,False,RBC Canadian Open,2026-06-14 13:31:00 UTC
"Pendrith, Taylor","Potgieter, Aldrich",17780,27900,void,bet365,-120,+100,0.545455,0.5,0.521739,0.478261,False,True,RBC Canadian Open,2026-06-14 13:31:00 UTC
