market,player_name,dg_id,book,odds_american,implied_prob,is_dg_model,is_sharp,event_name,last_updated
win,"Scheffler, Scottie",18417,pinnacle,+345,0.224719,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,caesars,+310,0.243902,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,unibet,+300,0.25,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,bet365,+333,0.230947,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,draftkings,+345,0.224719,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,betcris,+341,0.226757,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,pointsbet,+350,0.222222,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,fanduel,+310,0.243902,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,betmgm,+333,0.230947,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,bovada,+350,0.222222,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Scheffler, Scottie",18417,datagolf,+449,0.182149,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,pinnacle,+874,0.102669,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,caesars,+800,0.111111,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,unibet,+800,0.111111,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,bet365,+750,0.117647,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,draftkings,+780,0.113636,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,betcris,+859,0.104275,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,pointsbet,+1000,0.090909,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,fanduel,+950,0.095238,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,betmgm,+850,0.105263,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,bovada,+900,0.1,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"McIlroy, Rory",10091,datagolf,+1049,0.087032,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,pinnacle,+1135,0.080972,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,caesars,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,unibet,+1000,0.090909,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,bet365,+900,0.1,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,draftkings,+1225,0.075472,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,betcris,+1061,0.086133,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,pointsbet,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,fanduel,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,betmgm,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,bovada,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Schauffele, Xander",19895,datagolf,+1087,0.084246,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,pinnacle,+1473,0.063573,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,caesars,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,unibet,+1400,0.066667,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,bet365,+1600,0.058824,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,draftkings,+1375,0.067797,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,betcris,+2024,0.047081,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,pointsbet,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,fanduel,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,betmgm,+1600,0.058824,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,bovada,+2200,0.043478,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Aberg, Ludvig",23950,datagolf,+2016,0.047259,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,pinnacle,+1795,0.05277,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,caesars,+1200,0.076923,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,unibet,+1400,0.066667,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,bet365,+1400,0.066667,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,draftkings,+1600,0.058824,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,betcris,+1845,0.051414,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,pointsbet,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,fanduel,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,betmgm,+1600,0.058824,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,bovada,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Cantlay, Patrick",15466,datagolf,+2184,0.043783,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,pinnacle,+2254,0.042481,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,caesars,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,unibet,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,bet365,+2000,0.047619,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,draftkings,+1550,0.060606,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,betcris,+2275,0.042105,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,pointsbet,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,fanduel,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,betmgm,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,bovada,+2500,0.038462,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Young, Cameron",26651,datagolf,+2386,0.040225,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,pinnacle,+1781,0.053163,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,caesars,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,unibet,+1400,0.066667,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,bet365,+1600,0.058824,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,draftkings,+2050,0.046512,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,betcris,+1845,0.051414,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,pointsbet,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,fanduel,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,betmgm,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,bovada,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Morikawa, Collin",22085,datagolf,+2410,0.039841,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,pinnacle,+1768,0.053533,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,caesars,+1400,0.066667,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,unibet,+1600,0.058824,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,bet365,+1800,0.052632,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,draftkings,+1475,0.063492,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,betcris,+1897,0.050075,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,pointsbet,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,fanduel,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,betmgm,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,bovada,+1800,0.052632,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Burns, Sam",19483,datagolf,+2539,0.037893,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,pinnacle,+2402,0.039968,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,caesars,+2200,0.043478,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,unibet,+1600,0.058824,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,bet365,+2000,0.047619,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,draftkings,+1850,0.051282,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,betcris,+2398,0.040032,False,True,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,pointsbet,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,fanduel,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,betmgm,+2000,0.047619,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,bovada,+2500,0.038462,False,False,TOUR Championship,2026-08-26 11:00:55 UTC
win,"Fleetwood, Tommy",12294,datagolf,+2546,0.037793,True,False,TOUR Championship,2026-08-26 11:00:55 UTC
