dg_id,player_name,country,country_code,amateur
32153,"Abbate, Ryan",United States,USA,0
14794,"Abbott, Jamie",England,ENG,0
23950,"Aberg, Ludvig",Sweden,SWE,0
8863,"Abou El Ela, Issa",Egypt,EGY,1
24555,"Abreu, Alexandre",Portugal,POR,0
21644,"Acikalin, Leon",Turkey,TUR,0
27455,"Ackerman, Derek",United States,USA,0
34024,"Adam, Cameron",Scotland,SCO,0
7612,"Adamonis, Brad",United States,USA,0
34884,"Adams, Collin",United States,USA,0
34444,"Adams, Matthew",United States,USA,0
30736,"Adrounie, Tom",United States,USA,0
24573,"Africa, Keelan",South Africa,RSA,0
20400,"Agren, Jonathan",Sweden,SWE,0
25686,"Aguado, Camilo",Colombia,COL,0
8135,"Aguilar, Felipe",Chile,CHI,0
19557,"Aguilar, Mario Galiano",Spain,ESP,0
22897,"Ahlawat, Veer",India,IND,0
11852,"Ahlers, Jaco",South Africa,RSA,0
11897,"Ahokas, Antti",Finland,FIN,0
7679,"Aiken, Thomas",South Africa,RSA,0
30618,"Akana, Blaze",United States,USA,1
11530,"Akesson, Bjorn",Sweden,SWE,0
32652,"Akina, Kihei",United States,USA,1
8749,"Akope, Deo",Uganda,UGA,0
15726,"Akutsu, Mikiya",Japan,JPN,0
17056,"Al Kaabi, Saleh",Qatar,QAT,1
23074,"Al Kurdi, Shergo",Saudi Arabia,KSA,0
11985,"Al Mulla, Othman",Saudi Arabia,KSA,0
14407,"Al Musharrekh, Ahmed",United Arab Emirates,UAE,0
22704,"Al Musharrekh, Hassin",United Arab Emirates,UAE,0
18024,"Al Rumhy, Azzan",Oman,OMA,1
22606,"Al Sharif, Saud",Saudi Arabia,KSA,0
30586,"Al Zayed, Ahmed",Bahrain,BRN,0
15960,"Al-Shahrani, Ali",Qatar,QAT,0
29601,"Albano, Jr., Anthony",United States,USA,0
25305,"Albers, Anton",Germany,GER,0
24341,"Albertse, Louis",South Africa,RSA,0
21235,"Albertson, Anders",United States,USA,0
16496,"Albertus, Max",Netherlands,NED,0
14002,"Alexander, Tyson",United States,USA,0
29152,"Alford, Ryan",United States,USA,0
30582,"Alkaabi, Khalifa",Bahrain,BRN,0
4871,"Alker, Steven",New Zealand,NZL,0
26093,"Alkowari, Ali",Bahrain,BRN,1
24543,"Alkuwari, Jaham",Qatar,QAT,1
18778,"Allan, James",England,ENG,0
5697,"Allan, Stephen",Australia,AUS,0
4949,"Allenby, Robert",Australia,AUS,0
27560,"Alligood, Andrew",United States,USA,0
12547,"Alvarado, Benjamin",Chile,CHI,0
19461,"Alvarez, Felipe",Colombia,COL,0
28592,"Amat, Bastien",France,FRA,0
10058297,"Amin, Paresh",unknown,unknown,0
18286,"Amm, David",Zimbabwe,ZIM,0
14459,"An, Byeong Hun",Korea - Republic of,KOR,0
32006,"Anand, Vinamra",India,IND,1
18238,"Ancer, Abraham",Mexico,MEX,0
20158,"Andersen, Jeppe Kristian",Denmark,DEN,0
23540,"Andersen, Mason",United States,USA,0
29828,"Anderson, Cole",United States,USA,0
12131,"Anderson, Mark",United States,USA,0
26617,"Anderson, Matthew",Canada,CAN,0
