event_name,model,team_id,team_name,p1_dg_id,p2_dg_id,win,top_5,top_10,top_20,make_cut,sample_size,last_updated,fetched_at
Zurich Classic of New Orleans,baseline,17646,M. Fitzpatrick / A. Fitzpatrick,17646,25362,0.07725,0.2789,0.43845,0.63225,0.772,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,29767,Gerard / Yellamaraju,29767,29925,0.0553,0.2149,0.35535,0.55975,0.72535,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,13900,Lowry / Koepka,13900,16243,0.0527,0.20815,0.34815,0.5486,0.7238,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,23475,Novak / Griffin,23475,24968,0.0485,0.19065,0.3262,0.53195,0.711,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,18554,Rai / Theegala,18554,23014,0.0409,0.17245,0.3059,0.5077,0.692,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,20706,Wallace / Penge,20706,22465,0.03615,0.15215,0.2725,0.46255,0.65875,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15310,Li / Smith,15310,18586,0.03575,0.16365,0.2921,0.4864,0.6755,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,29197,Brennan / Keefer,29197,32457,0.0354,0.15195,0.27085,0.4606,0.6556,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,21944,Moore / Clark,21944,23604,0.0345,0.143,0.2586,0.4517,0.64925,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,24304,Vilips / Thorbjornsen,24304,26649,0.0333,0.14995,0.27515,0.4663,0.6644,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,28159,Meissner / McCarty,28159,28635,0.032,0.14415,0.27035,0.469,0.6677,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,26653,Eckroat / Thompson,26653,27364,0.0262,0.1272,0.23675,0.4276,0.6332,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,19846,Bauchou / Stevens,19846,25569,0.0244,0.125,0.2349,0.42735,0.63945,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15651,Ventura / Reitan,15651,21407,0.02435,0.11525,0.2177,0.40065,0.6171,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,18424,Roy / McGreevy,18424,23505,0.02285,0.1164,0.2183,0.4028,0.61965,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15556,Hughes / Pendrith,15556,17780,0.02255,0.1071,0.2049,0.38635,0.6052,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,17881,Yu / T. Kim,17881,24766,0.02055,0.10015,0.197,0.3823,0.60815,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,18474,Smalley / Springer,18474,21995,0.0186,0.09455,0.1845,0.35935,0.5824,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,11676,Finau / Greyserman,11676,23465,0.01775,0.09005,0.17835,0.34905,0.57925,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,14704,Putnam / Smotherman,14704,22985,0.01625,0.09085,0.1879,0.3691,0.59555,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15980,Lipsky / Hoey,15980,23504,0.01535,0.08525,0.1758,0.3451,0.58165,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,21883,Ewart / Jarvis,21883,26947,0.0149,0.08465,0.1709,0.34545,0.5769,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,13764,Parry / Brown,13764,20766,0.01395,0.08095,0.1665,0.33715,0.5715,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,10104,Power / Schmid,10104,20722,0.0136,0.07625,0.16005,0.32375,0.56075,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,8820,Snedeker / Mitchell,8820,17365,0.01315,0.07675,0.16295,0.3241,0.56545,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,19729,Kanaya / Mouw,19729,29770,0.01295,0.0726,0.15385,0.3187,0.552,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,32152,Brown / Clanton,32152,32330,0.0124,0.06635,0.14205,0.29395,0.5347,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,23841,Neergaard-Petersen / Olesen,23841,25611,0.01225,0.06575,0.1399,0.3003,0.5415,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,24956,Blanchet / VanDerLaan,24956,25319,0.01135,0.0653,0.14315,0.29785,0.5416,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,22002,Dumont De Chassart / Chatfield,22002,30620,0.0099,0.05915,0.13435,0.29345,0.5342,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,17550,Van Rooyen / Bezuidenhout,17550,18103,0.0097,0.057,0.1296,0.28645,0.53055,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15470,Hossler / Ryder,15470,16715,0.00935,0.0596,0.13045,0.2812,0.5224,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,16394,Jaeger / Suber,16394,29279,0.0092,0.05295,0.1222,0.2665,0.5132,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,21756,Cole / Lebioda,21756,21943,0.00875,0.05625,0.12795,0.2824,0.52725,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,16757,Dou / Wu,16757,25002,0.00875,0.05885,0.1256,0.2784,0.5251,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,25475,Nyholm / Svensson,25475,26850,0.0083,0.05245,0.1145,0.24695,0.4959,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,23656,Car. Young / Phillips,23656,27164,0.00775,0.04475,0.1034,0.2392,0.48315,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,13965,Hadwin / Svensson,13965,13997,0.00745,0.0447,0.1016,0.23375,0.48195,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,12423,Kirk / Kizzire,12423,13470,0.00665,0.04185,0.09785,0.22925,0.47565,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,17639,Blair / Fishburn,17639,25094,0.00645,0.04435,0.1036,0.2415,0.48355,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,17723,Lower / Ramey,17723,19840,0.0064,0.04265,0.09855,0.23165,0.47455,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,23482,Sigg / Whaley,23482,25908,0.00635,0.04605,0.10705,0.2498,0.49955,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,6169,Kuchar / Higgo,6169,24342,0.00615,0.0396,0.09305,0.2237,0.47385,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,21889,Kang / Ghim,21889,24550,0.00615,0.04075,0.09975,0.2353,0.4797,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,11276,Horschel / Hoge,11276,15575,0.00605,0.04575,0.10585,0.2435,0.4898,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,24343,Lamprecht / Shipley,24343,32055,0.006,0.04075,0.0937,0.2164,0.4604,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,8480,Streelman / Dahmen,8480,14509,0.00595,0.0361,0.0874,0.21515,0.4615,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,19960,Pavon / Couvra,19960,27811,0.00585,0.04465,0.1016,0.2332,0.48125,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,17381,Silverman / Champ,17381,23542,0.00525,0.03655,0.08725,0.20865,0.44835,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,15330,Griffin / Kohles,15330,16395,0.00525,0.0342,0.0819,0.1976,0.44175,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,20954,Hirata / Nakajima,20954,21074,0.00465,0.0324,0.0808,0.19785,0.43895,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,23048,Stanger / Walker,23048,25003,0.00445,0.02975,0.0697,0.1704,0.4119,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,10873,Skinns / Mullinax,10873,18761,0.00445,0.0323,0.07525,0.191,0.4367,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,11451,Garnett / Hodges,11451,25157,0.0044,0.03205,0.07665,0.1931,0.44255,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
Zurich Classic of New Orleans,baseline,28270,Dunlap / Sargent,28270,30814,0.0041,0.0229,0.0591,0.15155,0.39355,150,2026-04-20 17:13:55  UTC,2026-04-22T12:47:57.848405+00:00
