dg_id,player_name,datagolf_rank,dg_skill_estimate,owgr_rank,country,am,primary_tour,last_updated
18417,"Scheffler, Scottie",1,2.95656992564758,1,USA,0,PGA,2026-04-20 13:09:21 UTC
19195,"Rahm, Jon",2,2.18855006598022,20,ESP,0,LIV,2026-04-20 13:09:21 UTC
10091,"McIlroy, Rory",3,2.0793422912835,2,NIR,0,PGA,2026-04-20 13:09:21 UTC
17646,"Fitzpatrick, Matt",4,1.96490266864175,3,ENG,0,PGA,2026-04-20 13:09:21 UTC
19895,"Schauffele, Xander",5,1.89838934653903,9,USA,0,PGA,2026-04-20 13:09:21 UTC
26651,"Young, Cameron",6,1.87177704368874,4,USA,0,PGA,2026-04-20 13:09:21 UTC
14578,"Henley, Russell",7,1.78391654193212,8,USA,0,PGA,2026-04-20 13:09:21 UTC
23950,"Aberg, Ludvig",8,1.7049609557496,14,SWE,0,PGA,2026-04-20 13:09:21 UTC
22085,"Morikawa, Collin",9,1.68733370184727,6,USA,0,PGA,2026-04-20 13:09:21 UTC
12294,"Fleetwood, Tommy",10,1.60882781379307,7,ENG,0,PGA,2026-04-20 13:09:21 UTC
13562,"Matsuyama, Hideki",11,1.538700852365,15,JPN,0,PGA,2026-04-20 13:09:21 UTC
14609,"Kim, Si Woo",12,1.49967494639276,26,KOR,0,PGA,2026-04-20 13:09:21 UTC
23323,"MacIntyre, Robert",13,1.48745020946696,12,SCO,0,PGA,2026-04-20 13:09:21 UTC
19483,"Burns, Sam",14,1.45725838699889,29,USA,0,PGA,2026-04-20 13:09:21 UTC
15466,"Cantlay, Patrick",15,1.44683581440404,31,USA,0,PGA,2026-04-20 13:09:21 UTC
18634,"McNealy, Maverick",16,1.37214897428419,30,USA,0,PGA,2026-04-20 13:09:21 UTC
14577,"English, Harris",17,1.29786512633843,18,USA,0,PGA,2026-04-20 13:09:21 UTC
19396,"Knapp, Jake",18,1.25683127002028,37,USA,0,PGA,2026-04-20 13:09:21 UTC
29433,"Bridgeman, Jacob",19,1.25061030022022,19,USA,0,PGA,2026-04-20 13:09:21 UTC
18841,"Hovland, Viktor",20,1.24816002272136,25,NOR,0,PGA,2026-04-20 13:09:21 UTC
19841,"DeChambeau, Bryson",21,1.23443864358467,28,USA,0,LIV,2026-04-20 13:09:21 UTC
6093,"Rose, Justin",22,1.22829272586125,5,ENG,0,PGA,2026-04-20 13:09:21 UTC
27774,"Gotterup, Chris",23,1.22586444564319,11,USA,0,PGA,2026-04-20 13:09:21 UTC
26096,"Bhatia, Akshay",24,1.21383559275965,24,USA,0,PGA,2026-04-20 13:09:21 UTC
17536,"Spaun, J.J.",25,1.15548529169983,10,USA,0,PGA,2026-04-20 13:09:21 UTC
6430,"Scott, Adam",26,1.13430394983984,53,AUS,0,PGA,2026-04-20 13:09:21 UTC
12965,"Fowler, Rickie",27,1.13352492457115,56,USA,0,PGA,2026-04-20 13:09:21 UTC
24968,"Griffin, Ben",28,1.12876208130234,16,USA,0,PGA,2026-04-20 13:09:21 UTC
13900,"Lowry, Shane",29,1.10929098626105,35,IRL,0,PGA,2026-04-20 13:09:21 UTC
10419,"Noren, Alex",30,1.09220941965002,21,SWE,0,PGA,2026-04-20 13:09:21 UTC
16841,"Lee, Min Woo",31,1.08051490070273,32,AUS,0,PGA,2026-04-20 13:09:21 UTC
14636,"Spieth, Jordan",32,1.06038721333999,51,USA,0,PGA,2026-04-20 13:09:21 UTC
9771,"Day, Jason",33,1.03698318505732,38,AUS,0,PGA,2026-04-20 13:09:21 UTC
23602,"Hojgaard, Nicolai",34,1.02238509730135,36,DEN,0,PGA,2026-04-20 13:09:21 UTC
17511,"Straka, Sepp",35,0.997496820031302,13,AUT,0,PGA,2026-04-20 13:09:21 UTC
13872,"Bradley, Keegan",36,0.991019805557154,27,USA,0,PGA,2026-04-20 13:09:21 UTC
29767,"Gerard, Ryan",37,0.979174220007662,33,USA,0,PGA,2026-04-20 13:09:21 UTC
14838,"Reed, Patrick",38,0.934128995934233,22,USA,0,EURO,2026-04-20 13:09:21 UTC
14796,"Hatton, Tyrrell",39,0.90812763448313,23,ENG,0,LIV,2026-04-20 13:09:21 UTC
27194,"Hall, Harry",40,0.904457888245998,63,ENG,0,PGA,2026-04-20 13:09:21 UTC
23014,"Theegala, Sahith",41,0.894443458002941,74,USA,0,PGA,2026-04-20 13:09:21 UTC
21891,"Kitayama, Kurt",42,0.867559297097471,34,USA,0,PGA,2026-04-20 13:09:21 UTC
21362,"Hillier, Daniel",43,0.827124914064941,90,NZL,0,EURO,2026-04-20 13:09:21 UTC
14181,"Detry, Thomas",44,0.819561354063573,62,BEL,0,LIV,2026-04-20 13:09:21 UTC
28984,"Puig, David",45,0.808304288366765,61,ESP,0,LIV,2026-04-20 13:09:21 UTC
13126,"Taylor, Nick",46,0.788415461546875,67,CAN,0,PGA,2026-04-20 13:09:21 UTC
