p1_name,p2_name,p1_dg_id,p2_dg_id,ties,book,p1_odds,p2_odds,p1_prob,p2_prob,p1_novig,p2_novig,is_dg_model,is_sharp,event_name,last_updated
"Thorbjornsen, Michael","Brennan, Michael",26649,29197,separate bet offered,bet365,-111,-111,0.526066,0.526066,0.5,0.5,False,True,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Thorbjornsen, Michael","Brennan, Michael",26649,29197,separate bet offered,datagolf,+100,+119,0.5,0.456621,0.522673,0.477327,True,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Thorbjornsen, Michael","Brennan, Michael",26649,29197,void,bovada,-115,-115,0.534884,0.534884,0.5,0.5,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Thorbjornsen, Michael","Brennan, Michael",26649,29197,void,datagolf,-109,+109,0.521531,0.478469,0.521531,0.478469,True,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,separate bet offered,bet365,-133,+110,0.570815,0.47619,0.545188,0.454812,False,True,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,separate bet offered,datagolf,-111,+133,0.526066,0.429185,0.55071,0.44929,True,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,betcris,-144,+114,0.590164,0.46729,0.558099,0.441901,False,True,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,betmgm,-125,+100,0.555556,0.5,0.526316,0.473684,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,betonline,-132,+110,0.568966,0.47619,0.544383,0.455617,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,bovada,-130,+100,0.565217,0.5,0.530612,0.469388,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,datagolf,-123,+123,0.55157,0.44843,0.55157,0.44843,True,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,draftkings,-156,+118,0.609375,0.458716,0.570527,0.429473,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Burns, Sam","Clark, Wyndham",19483,23604,void,unibet,-143,+110,0.588477,0.47619,0.552733,0.447267,False,False,RBC Canadian Open,2026-06-11 10:33:00 UTC
"Cole, Eric","Hall, Harry",21756,27194,separate bet offered,bet365,-133,+110,0.570815,0.47619,0.545188,0.454812,False,True,RBC Canadian Open,2026-06-11 10:33:00 UTC
