course_key,course_name,calendar_year,event_name,par,avg_score,rounds,champion
13th beach gc beach course,13th beach gc beach course,2020,ISPS Handa Vic Open,72,71.56,254,"Woo Lee, Min"
13th beach gc beach course,13th beach gc beach course,2019,ISPS Handa Vic Open,72,71.28,271,"Law, David"
13th beach gc creek course,13th beach gc creek course,2020,ISPS Handa Vic Open,72,69.75,144,"Woo Lee, Min"
13th beach gc creek course,13th beach gc creek course,2019,ISPS Handa Vic Open,72,69.54,156,"Law, David"
abu dhabi gc,abu dhabi gc,2021,Abu Dhabi HSBC Championship,72,71.76,392,"Hatton, Tyrrell"
abu dhabi gc,abu dhabi gc,2020,Abu Dhabi HSBC Championship presented by EGA,72,71.2,410,"Westwood, Lee"
abu dhabi gc,abu dhabi gc,2019,Abu Dhabi HSBC Championship presented by EGA,72,71.11,406,"Lowry, Shane"
abu dhabi gc,abu dhabi gc,2018,Abu Dhabi HSBC Championship presented by EGA,72,70.77,392,"Fleetwood, Tommy"
abu dhabi gc,abu dhabi gc,2017,Abu Dhabi HSBC Championship,72,71.19,398,"Fleetwood, Tommy"
adriatic golf club cervia,adriatic golf club cervia,2024,Italian Open presented by Regione Emilia-Romagna,71,71.02,446,"Siem, Marcel"
al hamra gc,al hamra gc,2025,Ras Al Khaimah Championship,72,71.44,419,"Del Rey, Alejandro"
al hamra gc,al hamra gc,2024,Ras Al Khaimah Championship,72,70.27,419,"Olesen, Thorbjorn"
al hamra gc,al hamra gc,2023,Ras Al Khaimah Championship,72,71.09,402,"Gavins, Daniel"
al hamra gc,al hamra gc,2022,Ras al Khaimah Classic ,72,70.49,822,"Fox, Ryan"
al mouj golf,al mouj golf,2020,Oman Open,72,72.08,444,"Valimaki, Sami"
al mouj golf,al mouj golf,2019,Oman Open,72,73.99,422,"Kitayama, Kurt"
al mouj golf,al mouj golf,2018,NBO Oman Open,72,72.29,412,"Luiten, Joost"
albatross golf resort,albatross golf resort,2023,D+D Real Czech Masters,72,70.46,445,"Clements, Todd"
albatross golf resort,albatross golf resort,2022,D+D Real Czech Masters,72,71.06,323,"Kieffer, Maximilian"
albatross golf resort,albatross golf resort,2021,D+D Real Czech Masters,72,72.13,393,"Veerman, Johannes"
albatross golf resort,albatross golf resort,2019,D+D Real Czech Masters,72,71.11,451,"Pieters, Thomas"
albatross golf resort,albatross golf resort,2018,D+D Real Czech Masters,72,70.83,452,"Pavan, Andrea"
albatross golf resort,albatross golf resort,2017,D+D REAL Czech Masters,72,73.0,448,"Porteous, Haydn"
amata spring cc,amata spring cc,2023,Thailand Classic,72,70.68,411,"Olesen, Thorbjorn"
argentario gc,argentario gc,2025,Italian Open,70,70.62,475,"Saddier, Adrien"
australian golf club,australian golf club,2023,ISPS Handa Australian Open,71,71.27,290,"Niemann, Joaquin"
ballyliffin gc,ballyliffin gc,2018,Dubai Duty Free Irish Open hosted by the Rory Foundation,72,72.55,456,"Knox, Russell"
barsebäck g&cc,barsebäck g&cc,2017,Nordea Masters,73,73.87,452,"Paratore, Renato"
bernardus golf,bernardus golf,2023,KLM Open,72,72.57,472,"Larrazabal, Pablo"
bernardus golf,bernardus golf,2022,Dutch Open,72,72.51,440,"Perez, Victor"
bernardus golf,bernardus golf,2021,Dutch Open,72,71.37,441,"Broberg, Kristoffer"
blackstone course mission hills,blackstone course mission hills,2026,Hainan Classic presented by MAEXTRO,72,71.53,258,"Gumberg, Jordan"
blackstone course mission hills,blackstone course mission hills,2025,Hainan Classic,72,72.15,457,"Penge, Marco"
blair atholl golf & equestrian estate,blair atholl golf & equestrian estate,2023,Investec South African Open Championship,72,72.9,452,"Burmester, Dean"
blair atholl golf & equestrian estate,blair atholl golf & equestrian estate,2022,Investec South African Open Championship,72,71.78,460,"Lawrence, Thriston"
brabazon course at the belfry,brabazon course at the belfry,2026,Husqvarna British Masters hosted by Sir Nick Faldo,72,71.77,453,"Dean, Joe"
brabazon course at the belfry,brabazon course at the belfry,2025,Betfred British Masters hosted by Sir Nick Faldo,72,72.4,451,"Noren, Alex"
brabazon course at the belfry,brabazon course at the belfry,2024,Betfred British Masters hosted by Sir Nick Faldo,72,72.89,469,"Moller, Niklas Norgaard"
brabazon course at the belfry,brabazon course at the belfry,2023,Betfred British Masters,72,72.71,468,"Hillier, Daniel"
brabazon course at the belfry,brabazon course at the belfry,2022,Betfred British Masters hosted by Danny Willett,72,72.68,447,"Olesen, Thorbjorn"
brabazon course at the belfry,brabazon course at the belfry,2021,Betfred British Masters hosted by Danny Willett,72,72.37,455,"Bland, Richard"
brabazon course at the belfry,brabazon course at the belfry,2020,ISPS HANDA UK Championship,72,72.4,391,"Hojgaard, Rasmus"
carnoustie,carnoustie,2025,Alfred Dunhill Links Championship,72,72.67,166,"Macintyre, Robert"
carnoustie,carnoustie,2024,Alfred Dunhill Links Championship,72,71.07,168,"Hatton, Tyrrell"
carnoustie,carnoustie,2023,Alfred Dunhill Links Championship,72,71.81,154,"Fitzpatrick, Matthew"
carnoustie,carnoustie,2022,Alfred Dunhill Links Championship,72,73.41,167,"Fox, Ryan"
carnoustie,carnoustie,2021,Alfred Dunhill Links Championship,72,73.42,168,"Willett, Danny"
carnoustie,carnoustie,2019,Alfred Dunhill Links Championship,72,71.11,168,"Perez, Victor"
carnoustie,carnoustie,2018,Alfred Dunhill Links Championship,72,73.11,168,"Bjerregaard, Lucas"
carnoustie,carnoustie,2017,Alfred Dunhill Links Championship,72,72.52,166,"Hatton, Tyrrell"
castlerock gc,castlerock gc,2023,ISPS Handa World Invitational presented by AVIV Clinics,71,72.1,137,"Brown, Daniel"
celtic manor resort,celtic manor resort,2022,Cazoo Open supported by Gareth Bale,71,73.19,448,"Shinkwin, Callum"
celtic manor resort,celtic manor resort,2021,Cazoo Open supported by Gareth Bale,71,71.54,400,"Elvira Mijares, Ignacio"
celtic manor resort,celtic manor resort,2020,ISPS HANDA Wales Open,71,71.24,822,"Langasque, Romain"
centro nacional de golf,centro nacional de golf,2018,Open de España,72,70.43,460,"Rahm, Jon"
chervò golf club,chervò golf club,2020,Italian Open,72,69.75,359,"McGowan, Ross"
circolo golf torino,circolo golf torino,2026,DS Automobiles 83° Open d’Italia,71,69.75,461,"Lopez-Chacarra, Eugenio"
close house gc,close house gc,2020,Betfred British Masters hosted by Lee Westwood,71,70.59,401,"Paratore, Renato"
close house gc,close house gc,2017,British Masters supported by Sky Sports,70,69.06,395,"Dunne, Paul"
club at steyn city,club at steyn city,2023,Jonsson Workwear Open,72,70.04,468,"Bachem, Nick"
club at steyn city,club at steyn city,2022,Steyn City Championship,72,70.0,454,"Norris, Shaun"
club de campo villa de madrid,club de campo villa de madrid,2025,Open de España presented by Madrid,71,70.84,409,"Penge, Marco"
club de campo villa de madrid,club de campo villa de madrid,2024,acciona Open de España presented by Madrid,71,71.61,422,"Hidalgo, Angel"
club de campo villa de madrid,club de campo villa de madrid,2023,acciona Open de España presented by Madrid,71,69.74,410,"Pavon, Matthieu"
club de campo villa de madrid,club de campo villa de madrid,2022,acciona Open de España presented by Madrid,71,70.08,397,"Rahm, Jon"
club de campo villa de madrid,club de campo villa de madrid,2021,ACCIONA Open de España,71,69.39,417,"Cabrera Bello, Rafa"
club de campo villa de madrid,club de campo villa de madrid,2019,Mutuactivos Open de España,71,70.67,409,"Rahm, Jon"
crans-sur-sierre gc,crans-sur-sierre gc,2026,Omega European Masters,70,69.0,447,"Lawrence, Thriston"
crans-sur-sierre gc,crans-sur-sierre gc,2025,Omega European Masters,70,68.92,443,"Lawrence, Thriston"
crans-sur-sierre gc,crans-sur-sierre gc,2024,Omega European Masters,70,70.42,472,"Wallace, Matt"
crans-sur-sierre gc,crans-sur-sierre gc,2023,Omega European Masters,70,69.03,461,"Aberg, Ludvig"
crans-sur-sierre gc,crans-sur-sierre gc,2022,Omega European Masters,70,69.04,463,"Lawrence, Thriston"
crans-sur-sierre gc,crans-sur-sierre gc,2021,Omega European Masters,70,70.25,457,"Hojgaard, Rasmus"
crans-sur-sierre gc,crans-sur-sierre gc,2019,Omega European Masters,70,69.58,462,"Soderberg, Sebastian"
crans-sur-sierre gc,crans-sur-sierre gc,2018,Omega European Masters,70,70.41,441,"Fitzpatrick, Matthew"
crans-sur-sierre gc,crans-sur-sierre gc,2017,Omega European Masters,70,70.3,463,"Fitzpatrick, Matthew"
delhi gc,delhi gc,2025,DP World India Championship,72,70.95,401,"Fleetwood, Tommy"
diamond cc,diamond cc,2021,Austrian Golf Open,72,73.03,427,"Catlin, John"
diamond cc,diamond cc,2020,Austrian Open,72,72.29,433,"Warren, Marc"
diamond cc,diamond cc,2018,Shot Clock Masters,72,72.42,366,"Korhonen, Mikko"
diamond cc,diamond cc,2017,LYONESS OPEN powered by ORGANIC+,72,73.14,439,"Frittelli, Dylan"
dlf g&cc player course,dlf g&cc player course,2026,Hero Indian Open,72,74.81,403,"Fitzpatrick, Alex"
dlf g&cc player course,dlf g&cc player course,2025,Hero Indian Open,72,75.62,406,"Lopez-Chacarra, Eugenio"
dlf g&cc player course,dlf g&cc player course,2024,Hero Indian Open,72,72.37,420,"Nakajima, Keita"
dlf g&cc player course,dlf g&cc player course,2023,Hero Indian Open,72,73.71,368,"Siem, Marcel"
dlf g&cc player course,dlf g&cc player course,2019,Hero Indian Open,72,73.71,420,"Gallacher, Stephen"
dlf g&cc player course,dlf g&cc player course,2018,Hero Indian Open,72,74.49,407,"Wallace, Matt"
dlf g&cc player course,dlf g&cc player course,2017,Hero Indian Open,72,75.29,411,"Chawrasia, S.S.P."
doha gc,doha gc,2026,Qatar Masters,72,71.68,422,"Reed, Patrick"
doha gc,doha gc,2025,Commercial Bank Qatar Masters,72,72.19,410,"Li, Haotong"
doha gc,doha gc,2024,Commercial Bank Qatar Masters,72,72.19,429,"Hoshino, Rikuya"
doha gc,doha gc,2023,Commercial Bank Qatar Masters,72,70.94,388,"Valimaki, Sami"
doha gc,doha gc,2022,Commercial Bank Qatar Masters,72,72.68,424,"Ferguson, Ewen"
doha gc,doha gc,2019,Commercial Bank Qatar Masters,72,71.78,431,"Harding, Justin"
doha gc,doha gc,2018,Commercial Bank Qatar Masters,72,70.58,432,"Pepperell, Eddie"
doha gc,doha gc,2017,Commercial Bank Qatar Masters,72,71.14,391,"Wang, Jeunghun"
dom pedro victoria golf course,dom pedro victoria golf course,2022,Portugal Masters,71,68.76,381,"Smith, Jordan"
dom pedro victoria golf course,dom pedro victoria golf course,2021,Portugal Masters,71,70.71,341,"Pieters, Thomas"
dom pedro victoria golf course,dom pedro victoria golf course,2020,Portugal Masters,71,70.71,403,"Coetzee, George"
dom pedro victoria golf course,dom pedro victoria golf course,2019,Portugal Masters,71,70.23,391,"Brown, Steven"
dom pedro victoria golf course,dom pedro victoria golf course,2018,Portugal Masters,71,69.69,464,"Lewis, Tom"
dom pedro victoria golf course,dom pedro victoria golf course,2017,Portugal Masters,71,69.95,435,"Bjerregaard, Lucas"
dubai creek resort,dubai creek resort,2026,Dubai Invitational,71,71.55,233,"Elvira Mijares, Ignacio"
dubai creek resort,dubai creek resort,2024,Dubai Invitational,71,70.38,240,"Fleetwood, Tommy"
dundonald links,dundonald links,2017,Aberdeen Asset Management Scottish Open,72,72.31,439,"Cabrera Bello, Rafa"
durban country club,durban country club,2025,Investec South African Open Championship,72,71.47,374,"Naidoo, Dylan"
