event_key,event_name,calendar_year,course_name,champion
aberdeen asset management scottish open,Aberdeen Asset Management Scottish Open,2017,dundonald links,"Cabrera Bello, Rafa"
aberdeen standard investments scottish open,Aberdeen Standard Investments Scottish Open,2020,renaissance club,"Rai, Aaron"
aberdeen standard investments scottish open,Aberdeen Standard Investments Scottish Open,2019,renaissance club,"Wiesberger, Bernd"
aberdeen standard investments scottish open,Aberdeen Standard Investments Scottish Open,2018,gullane gc,"Stone, Brandon"
abrdn scottish open,abrdn Scottish Open,2021,renaissance club,"Woo Lee, Min"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2025,yas links,"Rai, Aaron"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2024,yas links,"Waring, Paul"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2023,yas links,"Perez, Victor"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2022,yas links,"Pieters, Thomas"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2021,abu dhabi gc,"Hatton, Tyrrell"
abu dhabi hsbc championship,Abu Dhabi HSBC Championship,2017,abu dhabi gc,"Fleetwood, Tommy"
abu dhabi hsbc championship presented by ega,Abu Dhabi HSBC Championship presented by EGA,2020,abu dhabi gc,"Westwood, Lee"
abu dhabi hsbc championship presented by ega,Abu Dhabi HSBC Championship presented by EGA,2019,abu dhabi gc,"Lowry, Shane"
abu dhabi hsbc championship presented by ega,Abu Dhabi HSBC Championship presented by EGA,2018,abu dhabi gc,"Fleetwood, Tommy"
acciona open de españa,ACCIONA Open de España,2021,club de campo villa de madrid,"Cabrera Bello, Rafa"
acciona open de españa presented by madrid,acciona Open de España presented by Madrid,2024,club de campo villa de madrid,"Hidalgo, Angel"
acciona open de españa presented by madrid,acciona Open de España presented by Madrid,2023,club de campo villa de madrid,"Pavon, Matthieu"
acciona open de españa presented by madrid,acciona Open de España presented by Madrid,2022,club de campo villa de madrid,"Rahm, Jon"
afrasia bank mauritius open,AfrAsia Bank Mauritius Open,2025,la reserve gc,"Schaper, Jayden Trey"
afrasia bank mauritius open,AfrAsia Bank Mauritius Open,2024,mont choisy le golf,"Parry, John"
