course_key,dg_id,player_name,rounds,avg_vs_par,avg_sg,best_finish,last_year
ballyliffin gc,18059,"Suri, Julian",4,-0.75,1.12,27,2018
ballyliffin gc,14975,"Otaegui, Adrian",4,-0.5,0.87,28,2018
ballyliffin gc,14400,"Ford, Charlie",4,1.75,-1.38,75,2018
ballyliffin gc,8163,"Moriarty, Colm",2,2.0,-1.08,,2018
ballyliffin gc,11619,"Bjerregaard, Lucas",2,2.0,-1.08,,2018
ballyliffin gc,3523,"Clarke, Darren",2,3.5,-2.58,,2018
ballyliffin gc,14795,"Canter, Laurie",2,4.0,-3.08,,2018
le golf national,5689,"Garcia, Sergio",4,-1.0,2.68,8,2018
le golf national,14016,"Campillo, Jorge",16,-0.5,1.03,8,2024
le golf national,15680,"Winther, Jeff",16,-2.13,2.56,2,2024
le golf national,8135,"Aguilar, Felipe",8,0.75,0.75,37,2018
le golf national,6239,"Havret, Gregory",16,0.81,-0.09,23,2024
le golf national,7084,"Donaldson, Jamie",16,-0.31,1.39,6,2022
le golf national,6255,"Rumford, Brett",6,2.17,-0.65,61,2018
le golf national,5769,"Norris, Jason",2,2.5,0.78,,2018
le golf national,6866,"Slattery, Lee",8,2.38,-0.8,32,2019
le golf national,7070,"Fraser, Marcus",4,3.0,-0.77,,2018
le golf national,12213,"Hebert, Benjamin",10,2.1,-0.77,16,2022
le golf national,5725,"Bjorn, Thomas",10,3.9,-2.44,69,2022
le golf national,12897,"Brooks, Daniel",6,3.33,-1.35,38,2018
golf club gut laerchenhof,12988,"Elvira Mijares, Ignacio",4,-1.5,2.47,9,2018
golf club gut laerchenhof,5718,"Howell, David",4,-0.5,1.47,26,2018
golf club gut laerchenhof,16156,"Liu, Yanwei",2,3.5,-1.09,,2018
golf club gut laerchenhof,23782,"McBride, Paul",2,3.5,-1.09,,2018
golf club gut laerchenhof,22210,"Thomson, Jonathan",2,4.0,-1.59,,2018
golf club gut laerchenhof,16549,"Paratore, Renato",2,5.0,-2.59,,2018
golf club gut laerchenhof,10223,"Einhaus, Sean",2,7.5,-5.09,,2018
diamond cc,11658,"Carlsson, Johan",8,-2.0,2.47,6,2018
diamond cc,10073,"Gagli, Lorenzo",14,-0.64,1.27,15,2021
diamond cc,15164,"Lewis, Tom",6,0.5,0.24,30,2018
diamond cc,7024,"Choi, Jinho",4,-0.75,0.97,35,2018
diamond cc,11981,"McGowan, Ross",6,0.67,-0.51,38,2020
diamond cc,19030,"Evans, Ryan",10,0.4,-0.02,38,2020
diamond cc,6391,"Brier, Markus",8,1.5,-0.94,59,2020
diamond cc,13344,"Baldwin, Matthew",14,0.14,0.5,23,2021
diamond cc,12295,"Hanson, Chris",4,4.5,-3.16,,2018
gardagolf cc,4052,"Westwood, Lee",4,-4.25,2.53,5,2018
gardagolf cc,18244,"Shinkwin, Callum",4,-4.0,2.28,8,2018
gardagolf cc,18586,"Smith, Jordan",4,-4.0,2.28,8,2018
gardagolf cc,13944,"Pieters, Thomas",4,-3.75,2.03,14,2018
gardagolf cc,6850,"Hanson, Peter",3,-0.33,-1.14,,2018
gardagolf cc,16499,"Heisele, Sebastian",2,-1.5,0.15,,2018
gardagolf cc,22089,"Syme, Connor",2,-1.5,0.15,,2018
gardagolf cc,5647,"Gallacher, Stephen",2,-1.0,-0.36,,2018
gardagolf cc,6929,"Ilonen, Mikko",2,-1.0,-0.36,,2018
gardagolf cc,5928,"Foster, Mark B.",2,0.0,-1.36,,2018
gardagolf cc,13885,"Pigem, Carlos",2,4.5,-5.86,,2018
wentworth golf club,9396,"Fisher, Ross",30,-1.17,0.73,8,2026
wentworth golf club,7046,"Tanihara, Hideto",10,-0.6,0.97,3,2019
wentworth golf club,12530,"Green, Gavin",20,0.95,-1.32,48,2025
wentworth golf club,18737,"Neil, Bradley",4,0.0,-0.24,58,2018
wentworth golf club,15229,"Stone, Brandon",22,0.05,-0.56,38,2026
wentworth golf club,6867,"Drysdale, David",16,0.75,-0.91,49,2022
wentworth golf club,12734,"Scrivener, Jason",21,0.0,-0.41,25,2026
wentworth golf club,19704,"Connelly, Austin",2,6.0,-5.95,,2018
rinkven international gc,15337,"Linard, Thomas",2,-1.5,2.4,18,2018
rinkven international gc,11198,"Mivis, Christopher",10,2.0,-1.98,31,2024
rinkven international gc,5784,"Jacquelin, Raphael",8,0.5,-0.21,52,2022
rinkven international gc,14614,"Lee, Soomin",2,1.5,-0.6,86,2018
rinkven international gc,12177,"Pavan, Andrea",12,-0.92,0.59,24,2025
rinkven international gc,18735,"Chesters, Ashley",8,-0.5,0.79,37,2022
rinkven international gc,7679,"Aiken, Thomas",10,-0.1,-0.0,41,2025
