week,team_name,weekly_rank,weekly_earnings
current,TimmyD,25,310000
current,HUBBERS,2,2330000
current,GOLOWORGOHOME,3,1900000
current,Buck Foursome,16,740000
current,Andrew Sisson,T-11,1005000
current,Team OGG,6,1645000
current,NLA Boys,26,265000
current,Davemc410,23,345000
current,SMETHPORT GOLFER,24,318000
current,Wildcats,22,447000
current,Birdie Bandits,5,1690000
current,Chest Rockwell,14,940000
current,GoForeYourself,T-27,0
current,JoeBuckYourself,T-7,1588000
current,WineTime,10,1260000
current,Rmr617,15,783000
current,EagleEash,1,2545000
current,Green Jackets,18,620000
current,Dimpled Balls,21,473000
current,Yanks His Putz,19,529000
current,MacDaddy,T-11,1005000
current,Jlemoine,9,1535000
current,CARL SPACKLER,T-7,1588000
current,COMER,4,1740000
current,Danny Noonan,20,518000
current,Caddyshark,13,1003000
current,MikeKett,17,630000
current,Good Good?,T-27,0
