player_name,times_used,util_pct
Aberg,19,22.6
Berger,10,11.9
Bezuidenhout,1,1.2
Bhatia,10,11.9
"Bradley, K",2,2.4
Bridgeman,15,17.9
"Brown, B",1,1.2
Burns,8,9.5
Cantlay,14,16.7
"Clark, W",4,4.8
Cole,1,1.2
Conners,7,8.3
"Coody, Pier",4,4.8
"Day, J",6,7.1
Echavarria,1,1.2
English,1,1.2
Finau,1,1.2
"Fitzpatrick, M",27,32.1
Fleetwood,24,28.6
Fowler,6,7.1
Gerard,15,17.9
Gotterup,11,13.1
"Griffin, B",8,9.5
Henley,15,17.9
Hisatsune,10,11.9
"Hojgaard, N",24,28.6
"Hojgaard, R",6,7.1
Homa,2,2.4
Horschel,1,1.2
Hovland,23,27.4
Jaeger,2,2.4
"Kim, SW",25,29.8
Kitayama,6,7.1
Knapp,11,13.1
"Koepka, B",8,9.5
"Lee, MW",8,9.5
Lowry,19,22.6
MacIntyre,1,1.2
Matsuyama,20,23.8
McGreevy,1,1.2
McIlroy,17,20.2
McNealy,21,25.0
Mitchell,2,2.4
Morikawa,11,13.1
Novak,1,1.2
Poston,2,2.4
Power,3,3.6
"Putnam, A",1,1.2
Rai,1,1.2
Rodgers,1,1.2
Rose,15,17.9
Ryder,1,1.2
Schauffele,24,28.6
Scheffler,25,29.8
Scott,3,3.6
Smalley,1,1.2
Smotherman,3,3.6
Spaun,2,2.4
Spieth,5,6.0
Straka,4,4.8
"Taylor, N",5,6.0
Theegala,8,9.5
"Thomas, J",15,17.9
Thorbjornsen,7,8.3
van Rooyen,1,1.2
"Young, Cam",14,16.7
