week,tournament,date,player,finish,earnings,week_total
1,Waste Management Phoenix Open,2026-02-05,Ben Griffin,T28,26,596
1,Waste Management Phoenix Open,2026-02-05,Chris Gotterup,1,500,596
1,Waste Management Phoenix Open,2026-02-05,Pierceson Coody,T10,70,596
2,AT&T Pebble Beach Pro-Am,2026-02-12,Maverick McNealy,T29,31,91
2,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,T24,40,91
2,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,T37,20,91
3,The Genesis Invitational,2026-02-19,Hideki Matsuyama,T28,32,73
3,The Genesis Invitational,2026-02-19,Viktor Hovland,T41,19,73
3,The Genesis Invitational,2026-02-19,Patrick Cantlay,T37,22,73
4,Cognizant Classic,2026-02-26,Ryan Gerard,T23,33,125
4,Cognizant Classic,2026-02-26,Michael Thorbjornsen,CUT,0,125
4,Cognizant Classic,2026-02-26,Nicolai Højgaard,T6,92,125
5,Arnold Palmer Invitational presented by Mastercard,2026-03-05,Rory McIlroy,WD,0,571
5,Arnold Palmer Invitational presented by Mastercard,2026-03-05,Russell Henley,T6,233,571
5,Arnold Palmer Invitational presented by Mastercard,2026-03-05,Ludvig Åberg,T3,338,571
6,THE PLAYERS Championship,2026-03-12,Scottie Scheffler,T22,271250,4771250
6,THE PLAYERS Championship,2026-03-12,Adam Scott,T43,0,4771250
6,THE PLAYERS Championship,2026-03-12,Cameron Young,1,4500000,4771250
7,Valspar Championship,2026-03-19,Matt Fitzpatrick,?,0,0
7,Valspar Championship,2026-03-19,Justin Thomas,?,0,0
7,Valspar Championship,2026-03-19,Sahith Theegala,?,0,0
