Week,Tournament,year,WRP,Starter #1,Earnings,Starter #2,Earnings,Starter #3,Earnings,Total Earnings
1,AT&T Pebble Beach Pro-Am,2024,6th,Aberg,"$2,160,000",Fleetwood,"$106,625",NO SHOW,$0,"$2,266,625"
2,Waste Management Phoenix Open,2024,24th,Fowler,$0,Matsuyama,"$82,133","Thomas, J","$187,000","$269,133"
3,The Genesis Invitational,2024,17th,Finau,"$251,400",Homa,"$329,000",Hovland,"$251,400","$831,800"
4,Mexico Open,2024,T-21st,"Hojgaard, N","$19,467",Mitchell,"$99,549",Pendrith,$0,"$119,016"
5,Cognizant Classic,2024,T-10th,An,"$87,750",Jaeger,$0,Lowry,"$344,250","$432,000"
6,Arnold Palmer Invitational,2024,12th,"Bradley, K","$88,375",Burns,"$123,500",Zalatoris,"$920,000","$1,131,875"
7,THE PLAYERS Championship,2024,2nd,"Clark, W","$1,891,667","Day, J","$119,286",Scheffler,"$4,500,000","$6,510,953"
8,Valspar Championship,2024,T-7th,Harman,$0,Schauffele,"$298,725","Taylor, N","$18,060","$316,785"
9,Houston Open,2024,8th,Hughes,"$166,075",Noren,"$211,575",Theegala,"$65,065","$442,715"
10,Valero Texas Open,2024,4th,Bhatia,"$1,656,000",Conners,"$67,735",Horschel,$0,"$1,723,735"
11,The Masters,2024,T-8th,"Koepka, B","$57,200",Rahm,"$57,200",Scheffler,"$3,600,000","$3,714,400"
12,RBC Heritage,2024,9th,Cantlay,"$1,160,000","Fitzpatrick, M","$136,500","Young, Cam","$43,600","$1,340,100"
13,Zurich Classic of New Orleans,2024,14th,"Fitzpatrick, A","$69,070",Hadwin,"$122,375",Kitayama,"$23,763","$215,208"
14,The CJ Cup Byron Nelson,2024,7th,Hughes*,"$33,725",Noren,"$655,500",Scott,"$52,293","$741,518"
15,Wells Fargo Championship,2024,20th,"Clark, W","$53,420",Homa,"$601,000",Lowry,"$53,420","$707,840"
16,PGA Championship,2024,T-3rd,"Koepka, B","$113,962",McIlroy,"$359,943",Schauffele,"$3,330,000","$3,803,905"
17,Charles Schwab Challenge,2024,9th,Horschel,"$70,866",Morikawa,"$445,900",Rose,"$51,961","$568,727"
18,RBC Canadian Open,2024,T-8th,Conners,"$340,750",Noren,$0,Theegala,$0,"$340,750"
19,The Memorial Tournament,2024,23rd,Fleetwood,"$259,500",Hovland,"$329,000","Thomas, J","$106,500","$695,000"
20,U.S. Open,2024,9th,DeChambeau,"$4,300,000",Morikawa,"$351,370",Scheffler,"$72,305","$4,723,675"
21,Travelers Championship,2024,22nd,Aberg,"$144,000",Burns,"$44,750",Matsuyama,"$183,500","$372,250"
22,Rocket Mortgage Classic,2024,T-14th,Fowler,"$48,583","Kim, Tom",$0,"Young, Cam","$300,150","$348,733"
23,John Deere Classic,2024,18th,"Day, J","$83,600",Im,"$171,600",Straka,"$17,200","$272,400"
24,Genesis Scottish Open,2024,T-14th,Aberg,"$318,525",Fleetwood,"$56,790","Lee, MW","$18,540","$393,855"
25,The Open Championship,2024,17th,DeChambeau,$0,"Koepka, B","$57,200",McIlroy,$0,"$57,200"
26,3M Open,2024,2nd,Bhatia,"$17,415",McNealy,"$477,900",Poston,$0,"$495,315"
27,Wyndham Championship,2024,T-6th,Davis,$0,Horschel,"$249,245",Im,"$31,995","$281,240"
28,FedEx St. Jude Invitational,2024,T-1st,Cantlay,"$405,000",Hovland,"$1,760,000",Matsuyama,"$3,600,000","$5,765,000"
29,BMW Championship,2024,2nd,Burns,"$1,503,333",Cantlay,"$344,111",Finau,"$344,111","$2,191,555"
30,TOUR Championship,2024,13th,"Bradley, K","$235,000",McIlroy,"$545,000",Schauffele,"$841,666","$1,621,666"
