Week,Tournament,Year,WRP,Starter #1,Earnings,Starter #2,Earnings,Starter #3,Earnings,Total Earnings
1,AT&T Pebble Beach Pro-Am,2025,8th,"Day, J","$368,500",McNealy,"$66,375","Thomas, J","$48,600","$483,475"
2,Waste Management Phoenix Open,2025,18th,Im,"$20,792",Matsuyama,"$69,197","Taylor, N","$69,197","$159,186"
3,The Genesis Invitational,2025,6th,Aberg,"$4,000,000",Hovland,$0,Morikawa,"$270,714","$4,270,714"
4,Mexico Open,2025,10th,Bhatia,"$204,750",Dahmen,"$245,000",Kitayama,$0,"$449,750"
5,Cognizant Classic,2025,T-10th,Berger,"$73,271",Lowry,"$184,986",Straka,"$184,986","$443,243"
6,Arnold Palmer Invitational,2025,4th,Cantlay,"$126,000",Fleetwood,"$451,250",Henley,"$4,000,000","$4,577,250"
7,THE PLAYERS Championship,2025,T-7th,"Clark, W",$0,McIlroy,"$4,500,000",Scheffler,"$240,250","$4,740,250"
8,Valspar Championship,2025,9th,Burns,$0,Conners,"$245,775",Glover,"$245,775","$491,550"
9,Texas Children's Houston Open,2025,27th,Finau,"$51,911",Rai,$0,Spaun,$0,"$51,911"
10,Valero Texas Open,2025,5th,"Bradley, K","$26,809",Cauley,"$304,000",Woodland,"$37,525","$368,334"
11,The Masters,2025,14th,Aberg,"$703,500",DeChambeau,"$798,000",Schauffele,"$588,000","$2,089,500"
12,RBC Heritage,2025,T-6th,Cantlay,"$364,000",Poston,"$480,000",Spieth,"$226,056","$1,070,056"
13,Zurich Classic of New Orleans,2025,5th,Hoge,"$18,124","Hojgaard, R","$542,800",Lowry,"$69,092","$630,016"
14,The CJ Cup Byron Nelson,2025,T-14th,An,"$21,978",Im,"$52,800","Kim, SW","$136,719","$211,497"
15,Truist Championship,2025,15th,Fleetwood,"$826,667",McNealy,"$42,500",Morikawa,"$270,500","$1,139,667"
16,PGA Championship,2025,T-19th,DeChambeau,"$1,418,667",McIlroy,"$49,190","Thomas, J",$0,"$1,467,857"
17,Charles Schwab Challenge,2025,T-14th,English,"$22,262",Riley,$0,Spieth,"$42,334","$64,596"
18,The Memorial Tournament,2025,1st,Cantlay,"$415,000","Fitzpatrick, M","$114,857",Scheffler,"$4,000,000","$4,529,857"
19,RBC Canadian Open,2025,T-3rd,Burns,"$1,068,200",Conners,"$64,353",Pendrith,"$64,353","$1,196,906"
20,U.S. Open,2025,T-4th,DeChambeau,$0,Rahm,"$615,786",Scheffler,"$615,786","$1,231,572"
21,Travelers Championship,2025,T-25th,VACANT,$0,VACANT,$0,VACANT,$0,$0
22,Rocket Classic,2025,T-17th,"Bradley, K","$36,000",Davis,$0,"Griffin, B","$172,000","$208,000"
23,John Deere Classic,2025,15th,"Griffin, B",$0,Kirk,"$18,396",Thorbjornsen,"$91,980","$110,376"
24,Genesis Scottish Open,2025,15th,Aberg,"$233,400",Fleetwood,"$52,950","Thomas, J","$80,625","$366,975"
25,The Open Championship,2025,T-19th,Hovland,"$40,280",Rahm,"$86,517",Schauffele,"$451,833","$578,630"
26,3M Open,2025,6th,Finau,$0,Fowler,"$50,591",Gotterup,"$220,500","$271,091"
27,Wyndham Championship,2025,5th,"Fitzpatrick, M","$257,617","Griffin, B","$198,850","Hojgaard, N","$19,106","$475,573"
28,FedEx St. Jude Invitational,2025,T-18th,"Clark, W","$45,800","Fitzpatrick, M","$111,167",Henley,"$281,000","$437,967"
29,BMW Championship,2025,T-22nd,Rose,"$146,000",Spaun,"$213,000","Young, Cam","$520,000","$879,000"
30,TOUR Championship,2025,4th,Burns,"$628,333",Henley,"$1,780,000",McIlroy,"$200,999","$2,609,332"
