year,stat_type,player_id,player_name,rank,country,average,total_rounds
2025,driving-distance,34024,Rory MCILROY,1,NIR,323.1786,44
2025,driving-distance,42143,Nicolai HØJGAARD,2,DEN,323.1389,42
2025,driving-distance,43143,Wilco NIENABER,3,RSA,321.1711,41
2025,driving-distance,41330,Mikael LINDBERG,4,SWE,319.4118,89
2025,driving-distance,42054,Marco PENGE,5,ENG,319.2616,93
2025,driving-distance,42144,Rasmus HØJGAARD,6,DEN,317.6563,44
2025,driving-distance,38379,Niklas NORGAARD,7,DEN,316.6852,33
2025,driving-distance,41208,Jon RAHM,8,ESP,312.2143,26
2025,driving-distance,41662,Min Woo LEE,9,AUS,312.1842,29
2025,driving-distance,101547,Angel AYORA,10,ESP,310.3846,113
2025,driving-distance,40516,Ivan CANTERO,11,ESP,309.4563,87
2025,driving-distance,43801,Freddy SCHOTT,12,GER,309.1935,67
2025,driving-distance,42866,Ludvig ÅBERG,13,SWE,309.1316,28
2025,driving-distance,41686,Kristoffer REITAN,14,NOR,309.1075,111
2025,driving-distance,30717,Adam SCOTT,15,AUS,307.8611,28
2025,driving-distance,42880,Danny LIST,16,AUS,307.7432,38
2025,driving-distance,41268,Alejandro DEL REY,17,ESP,307.2746,73
2025,driving-distance,100565,Joel MOSCATEL,18,ESP,307.039,82
2025,driving-distance,38108,Haotong LI,19,CHN,306.9396,93
2025,driving-distance,38956,Grant FORREST,20,SCO,306.8519,83
2025,driving-distance,35122,Ryan FOX,21,NZL,306.7045,30
2025,driving-distance,43333,Daniel HILLIER,22,NZL,306.6467,97
2025,driving-distance,39474,Matt FITZPATRICK,23,ENG,306.5968,43
2025,driving-distance,36519,Thorbjørn OLESEN,24,DEN,306.4844,38
2025,driving-distance,42213,Robin WILLIAMS,25,RSA,306.4518,91
2025,driving-distance,35676,Björn ÅKESSON,26,SWE,306.3448,67
2025,driving-distance,105948,Ryggs JOHNSTON,27,USA,306.2414,92
2025,driving-distance,41824,Richard MANSELL,28,ENG,306.1928,87
2025,driving-distance,101057,Dan ERICKSON,29,USA,305.8889,45
2025,driving-distance,102397,Rasmus NEERGAARD-PETERSEN,30,DEN,305.8493,80
2025,driving-distance,37017,Thomas DETRY,31,BEL,305.7813,40
2025,driving-distance,100418,Sam BAIRSTOW,32,ENG,305.6623,81
2025,driving-distance,37990,Brandon STONE,33,RSA,305.6067,77
2025,driving-distance,41246,Hamish BROWN,34,DEN,305.5615,75
2025,driving-distance,40872,Sami VÄLIMÄKI,35,FIN,305.4063,18
2025,driving-distance,37624,Laurie CANTER,36,ENG,305.3309,76
2025,driving-distance,40882,Ugo COUSSAUD,37,FRA,305.2637,95
2025,driving-distance,35371,Tommy FLEETWOOD,38,ENG,305.1296,41
