year,stat_type,player_id,player_name,rank,country,average,total_rounds
2025,strokes-gained-approach-the-green,42781,Michael KIM,1,USA,1.0448,24
2025,strokes-gained-approach-the-green,37626,Tyrrell HATTON,2,ENG,0.9258,25
2025,strokes-gained-approach-the-green,36489,Shane LOWRY,3,IRL,0.911,26
2025,strokes-gained-approach-the-green,38108,Haotong LI,4,CHN,0.8698,91
2025,strokes-gained-approach-the-green,34932,John PARRY,5,ENG,0.8379,103
2025,strokes-gained-approach-the-green,35371,Tommy FLEETWOOD,6,ENG,0.8374,31
2025,strokes-gained-approach-the-green,39583,Aaron RAI,7,ENG,0.8059,26
2025,strokes-gained-approach-the-green,40874,Oliver LINDELL,8,FIN,0.7564,102
2025,strokes-gained-approach-the-green,34085,Joost LUITEN,9,NED,0.6904,95
2025,strokes-gained-approach-the-green,37990,Brandon STONE,10,RSA,0.6856,77
2025,strokes-gained-approach-the-green,35122,Ryan FOX,11,NZL,0.674,22
2025,strokes-gained-approach-the-green,39474,Matt FITZPATRICK,12,ENG,0.6588,31
2025,strokes-gained-approach-the-green,35509,Benjamin HEBERT,13,FRA,0.6488,68
2025,strokes-gained-approach-the-green,1941,Justin ROSE,14,ENG,0.6018,16
2025,strokes-gained-approach-the-green,101155,Dan BRADBURY,15,ENG,0.5813,72
2025,strokes-gained-approach-the-green,36452,Marcus ARMITAGE,16,ENG,0.5768,77
2025,strokes-gained-approach-the-green,30715,Richard STERNE,17,RSA,0.5352,69
2025,strokes-gained-approach-the-green,102397,Rasmus NEERGAARD-PETERSEN,18,DEN,0.5239,73
2025,strokes-gained-approach-the-green,30717,Adam SCOTT,19,AUS,0.5218,18
2025,strokes-gained-approach-the-green,36519,Thorbjørn OLESEN,20,DEN,0.5044,32
2025,strokes-gained-approach-the-green,101251,Martin COUVRA,21,FRA,0.4929,89
2025,strokes-gained-approach-the-green,101547,Angel AYORA,22,ESP,0.4701,106
2025,strokes-gained-approach-the-green,34772,Richie RAMSAY,22,SCO,0.4703,70
2025,strokes-gained-approach-the-green,32412,Thomas AIKEN,24,RSA,0.4559,73
2025,strokes-gained-approach-the-green,41226,Connor SYME,25,SCO,0.4536,81
2025,strokes-gained-approach-the-green,42143,Nicolai HØJGAARD,26,DEN,0.4487,36
2025,strokes-gained-approach-the-green,43682,Jayden SCHAPER,26,RSA,0.4487,89
2025,strokes-gained-approach-the-green,106152,Davis BRYANT,28,USA,0.4463,55
2025,strokes-gained-approach-the-green,38119,Andy SULLIVAN,29,ENG,0.426,98
2025,strokes-gained-approach-the-green,39791,Thriston LAWRENCE,30,RSA,0.4232,48
2025,strokes-gained-approach-the-green,39790,Christiaan BEZUIDENHOUT,31,RSA,0.4197,16
2025,strokes-gained-approach-the-green,42199,Jannik DE BRUYN,32,GER,0.3958,70
