year,stat_type,player_id,player_name,rank,country,average,total_rounds
2025,strokes-gained-around-the-green,39474,Matt FITZPATRICK,1,ENG,0.7718,31
2025,strokes-gained-around-the-green,42154,MK KIM,2,KOR,0.5956,48
2025,strokes-gained-around-the-green,38439,Patrick REED,3,USA,0.5657,37
2025,strokes-gained-around-the-green,37816,Matthias SCHWAB,4,AUT,0.4717,67
2025,strokes-gained-around-the-green,41208,Jon RAHM,5,ESP,0.4542,14
2025,strokes-gained-around-the-green,43682,Jayden SCHAPER,6,RSA,0.4384,89
2025,strokes-gained-around-the-green,100259,Elvis SMYLIE,7,AUS,0.4236,74
2025,strokes-gained-around-the-green,42794,Alex FITZPATRICK,7,ENG,0.4237,82
2025,strokes-gained-around-the-green,34024,Rory MCILROY,9,NIR,0.4187,32
2025,strokes-gained-around-the-green,35122,Ryan FOX,10,NZL,0.4133,22
2025,strokes-gained-around-the-green,39583,Aaron RAI,10,ENG,0.4134,26
2025,strokes-gained-around-the-green,42866,Ludvig ÅBERG,12,SWE,0.3866,20
2025,strokes-gained-around-the-green,36168,Tapio PULKKANEN,12,FIN,0.3874,70
2025,strokes-gained-around-the-green,36452,Marcus ARMITAGE,14,ENG,0.3558,77
2025,strokes-gained-around-the-green,39790,Christiaan BEZUIDENHOUT,15,RSA,0.3511,16
2025,strokes-gained-around-the-green,32013,Shaun NORRIS,16,RSA,0.3431,47
2025,strokes-gained-around-the-green,33337,Pablo LARRAZÁBAL,17,ESP,0.3295,67
2025,strokes-gained-around-the-green,43143,Wilco NIENABER,18,RSA,0.3292,38
2025,strokes-gained-around-the-green,35329,Andrea PAVAN,19,ITA,0.3156,91
2025,strokes-gained-around-the-green,36867,Jorge CAMPILLO,20,ESP,0.3042,107
2025,strokes-gained-around-the-green,38428,Zander LOMBARD,21,RSA,0.3025,65
2025,strokes-gained-around-the-green,39271,Guido MIGLIOZZI,22,ITA,0.2965,70
2025,strokes-gained-around-the-green,41227,Robert MACINTYRE,23,SCO,0.2831,28
2025,strokes-gained-around-the-green,38119,Andy SULLIVAN,24,ENG,0.2731,98
2025,strokes-gained-around-the-green,35703,Marcel SCHNEIDER,25,GER,0.2687,91
2025,strokes-gained-around-the-green,40874,Oliver LINDELL,26,FIN,0.2496,102
2025,strokes-gained-around-the-green,34907,Lucas BJERREGAARD,27,DEN,0.2494,64
2025,strokes-gained-around-the-green,31575,Alex NOREN,28,SWE,0.2451,20
2025,strokes-gained-around-the-green,101583,Wenyi DING,29,CHN,0.2439,91
2025,strokes-gained-around-the-green,34932,John PARRY,30,ENG,0.2431,102
2025,strokes-gained-around-the-green,43417,Brandon WU,31,USA,0.2421,66
2025,strokes-gained-around-the-green,37017,Thomas DETRY,32,BEL,0.2388,32
2025,strokes-gained-around-the-green,25994,Edoardo MOLINARI,33,ITA,0.2347,33
2025,strokes-gained-around-the-green,39466,Clément SORDET,34,FRA,0.2243,61
2025,strokes-gained-around-the-green,37606,Adrien SADDIER,35,FRA,0.2235,85
2025,strokes-gained-around-the-green,33676,Bernd WIESBERGER,36,AUT,0.2206,86
2025,strokes-gained-around-the-green,31690,Niklas LEMKE,37,SWE,0.2204,65
2025,strokes-gained-around-the-green,42648,Calum HILL,37,SCO,0.2199,83
2025,strokes-gained-around-the-green,39075,Romain LANGASQUE,39,FRA,0.2166,88
2025,strokes-gained-around-the-green,37259,Kiradech APHIBARNRAT,40,THA,0.2153,74
2025,strokes-gained-around-the-green,104063,Kazuma KOBORI,41,NZL,0.2123,86
2025,strokes-gained-around-the-green,43545,Jeong weon KO,42,FRA,0.2106,89
2025,strokes-gained-around-the-green,35509,Benjamin HEBERT,43,FRA,0.2001,68
2025,strokes-gained-around-the-green,43142,Deon GERMISHUYS,44,RSA,0.1985,63
2025,strokes-gained-around-the-green,38857,Jordan SMITH,45,ENG,0.1849,95
2025,strokes-gained-around-the-green,33674,Julien GUERRIER,45,FRA,0.1852,84
2025,strokes-gained-around-the-green,37804,Francesco LAPORTA,47,ITA,0.1784,88
2025,strokes-gained-around-the-green,43831,Brandon ROBINSON THOMPSON,48,ENG,0.173,89
2025,strokes-gained-around-the-green,37793,Adrian OTAEGUI,49,UAE,0.1691,88
2025,strokes-gained-around-the-green,42599,Matthew JORDAN,50,ENG,0.1585,76
2025,strokes-gained-around-the-green,42600,David MICHELUZZI,51,AUS,0.158,62
2025,strokes-gained-around-the-green,100552,Tom VAILLANT,52,FRA,0.1566,79
2025,strokes-gained-around-the-green,100976,Yuto KATSURAGAWA,53,JPN,0.1515,59
2025,strokes-gained-around-the-green,30717,Adam SCOTT,54,AUS,0.1459,18
2025,strokes-gained-around-the-green,35371,Tommy FLEETWOOD,55,ENG,0.1432,31
2025,strokes-gained-around-the-green,41420,Nicolai VON DELLINGSHAUSEN,56,GER,0.14,93
2025,strokes-gained-around-the-green,37990,Brandon STONE,57,RSA,0.138,77
2025,strokes-gained-around-the-green,41662,Min Woo LEE,58,AUS,0.1348,19
2025,strokes-gained-around-the-green,36421,Darius VAN DRIEL,59,NED,0.1337,84
2025,strokes-gained-around-the-green,36519,Thorbjørn OLESEN,59,DEN,0.1345,32
2025,strokes-gained-around-the-green,40516,Ivan CANTERO,61,ESP,0.1293,80
2025,strokes-gained-around-the-green,101059,Albert Boneta,62,ESP,0.1253,30
2025,strokes-gained-around-the-green,42213,Robin WILLIAMS,63,RSA,0.1189,87
2025,strokes-gained-around-the-green,39617,Matt WALLACE,64,ENG,0.1131,28
2025,strokes-gained-around-the-green,41824,Richard MANSELL,65,ENG,0.111,85
2025,strokes-gained-around-the-green,38296,Jeff WINTHER,66,DEN,0.1087,76
2025,strokes-gained-around-the-green,42734,Alexander George FRANCES,67,DEN,0.0961,39
2025,strokes-gained-around-the-green,102397,Rasmus NEERGAARD-PETERSEN,68,DEN,0.0933,73
2025,strokes-gained-around-the-green,40882,Ugo COUSSAUD,69,FRA,0.083,95
2025,strokes-gained-around-the-green,40647,Yannik PAUL,70,GER,0.0759,70
2025,strokes-gained-around-the-green,41268,Alejandro DEL REY,71,ESP,0.0707,71
2025,strokes-gained-around-the-green,101547,Angel AYORA,72,ESP,0.0652,106
2025,strokes-gained-around-the-green,106152,Davis BRYANT,73,USA,0.0634,55
2025,strokes-gained-around-the-green,36489,Shane LOWRY,74,IRL,0.059,26
2025,strokes-gained-around-the-green,35853,Jason SCRIVENER,74,AUS,0.0593,77
2025,strokes-gained-around-the-green,37626,Tyrrell HATTON,76,ENG,0.0491,25
2025,strokes-gained-around-the-green,40915,Daniel BROWN,77,ENG,0.0396,78
2025,strokes-gained-around-the-green,101251,Martin COUVRA,78,FRA,0.0377,89
2025,strokes-gained-around-the-green,43801,Freddy SCHOTT,79,GER,0.0366,66
2025,strokes-gained-around-the-green,42143,Nicolai HØJGAARD,80,DEN,0.0361,36
2025,strokes-gained-around-the-green,39127,Jacques KRUYSWIJK,80,RSA,0.0362,71
2025,strokes-gained-around-the-green,41858,Frederic LACROIX,82,FRA,0.0289,72
2025,strokes-gained-around-the-green,1941,Justin ROSE,83,ENG,0.0244,16
2025,strokes-gained-around-the-green,41432,Callum TARREN,84,ENG,0.0201,62
2025,strokes-gained-around-the-green,41246,Hamish BROWN,85,DEN,0.0192,69
2025,strokes-gained-around-the-green,34085,Joost LUITEN,86,NED,0.0144,95
2025,strokes-gained-around-the-green,39609,Nathan KIMSEY,87,ENG,0.0081,60
2025,strokes-gained-around-the-green,40780,Troy MERRITT,88,USA,0.0036,48
2025,strokes-gained-around-the-green,40148,Viktor HOVLAND,89,NOR,0.0031,18
2025,strokes-gained-around-the-green,39035,Joe DEAN,90,ENG,0.0023,75
