year,stat_type,player_id,player_name,rank,country,average,total_rounds
2025,strokes-gained-total,34024,Rory MCILROY,1,NIR,2.6835,32
2025,strokes-gained-total,39474,Matt FITZPATRICK,2,ENG,2.3719,31
2025,strokes-gained-total,35371,Tommy FLEETWOOD,3,ENG,1.9915,31
2025,strokes-gained-total,31575,Alex NOREN,4,SWE,1.787,20
2025,strokes-gained-total,37626,Tyrrell HATTON,5,ENG,1.7148,25
2025,strokes-gained-total,42054,Marco PENGE,6,ENG,1.6511,86
2025,strokes-gained-total,42144,Rasmus HØJGAARD,7,DEN,1.638,32
2025,strokes-gained-total,42866,Ludvig ÅBERG,8,SWE,1.6285,20
2025,strokes-gained-total,41662,Min Woo LEE,9,AUS,1.5564,19
2025,strokes-gained-total,41227,Robert MACINTYRE,10,SCO,1.5424,28
2025,strokes-gained-total,102397,Rasmus NEERGAARD-PETERSEN,11,DEN,1.448,73
2025,strokes-gained-total,1941,Justin ROSE,12,ENG,1.3924,16
2025,strokes-gained-total,36489,Shane LOWRY,13,IRL,1.3286,26
2025,strokes-gained-total,42143,Nicolai HØJGAARD,14,DEN,1.2962,36
2025,strokes-gained-total,25994,Edoardo MOLINARI,15,ITA,1.2803,33
2025,strokes-gained-total,38108,Haotong LI,16,CHN,1.2533,91
2025,strokes-gained-total,34932,John PARRY,17,ENG,1.1999,103
2025,strokes-gained-total,42781,Michael KIM,18,USA,1.1959,24
2025,strokes-gained-total,38857,Jordan SMITH,19,ENG,1.1695,95
2025,strokes-gained-total,41208,Jon RAHM,20,ESP,1.1601,14
2025,strokes-gained-total,101547,Angel AYORA,20,ESP,1.1604,106
2025,strokes-gained-total,39790,Christiaan BEZUIDENHOUT,22,RSA,1.146,16
2025,strokes-gained-total,40148,Viktor HOVLAND,23,NOR,1.1156,18
2025,strokes-gained-total,41686,Kristoffer REITAN,24,NOR,1.1087,107
2025,strokes-gained-total,39583,Aaron RAI,25,ENG,1.1021,26
2025,strokes-gained-total,43682,Jayden SCHAPER,26,RSA,1.0998,89
2025,strokes-gained-total,34085,Joost LUITEN,27,NED,1.0935,95
2025,strokes-gained-total,37606,Adrien SADDIER,28,FRA,1.0238,85
2025,strokes-gained-total,36519,Thorbjørn OLESEN,29,DEN,0.9537,32
2025,strokes-gained-total,100617,Keita NAKAJIMA,30,JPN,0.9435,75
2025,strokes-gained-total,37804,Francesco LAPORTA,31,ITA,0.937,88
2025,strokes-gained-total,35122,Ryan FOX,31,NZL,0.9372,22
2025,strokes-gained-total,40915,Daniel BROWN,33,ENG,0.9288,78
2025,strokes-gained-total,41282,Tom MCKIBBIN,34,NIR,0.8881,42
2025,strokes-gained-total,40874,Oliver LINDELL,35,FIN,0.8585,102
2025,strokes-gained-total,38439,Patrick REED,36,USA,0.8484,37
2025,strokes-gained-total,37624,Laurie CANTER,37,ENG,0.8333,68
2025,strokes-gained-total,105456,Jacob Skov OLESEN,38,DEN,0.7875,88
2025,strokes-gained-total,38119,Andy SULLIVAN,39,ENG,0.7856,98
2025,strokes-gained-total,36452,Marcus ARMITAGE,40,ENG,0.7796,77
2025,strokes-gained-total,43333,Daniel HILLIER,41,NZL,0.7706,96
2025,strokes-gained-total,40872,Sami VÄLIMÄKI,42,FIN,0.7319,16
2025,strokes-gained-total,35703,Marcel SCHNEIDER,43,GER,0.7287,91
2025,strokes-gained-total,100259,Elvis SMYLIE,44,AUS,0.711,74
2025,strokes-gained-total,38379,Niklas NORGAARD,45,DEN,0.7055,27
2025,strokes-gained-total,37017,Thomas DETRY,46,BEL,0.6666,32
2025,strokes-gained-total,39617,Matt WALLACE,47,ENG,0.6531,28
2025,strokes-gained-total,37259,Kiradech APHIBARNRAT,48,THA,0.635,74
2025,strokes-gained-total,43831,Brandon ROBINSON THOMPSON,49,ENG,0.6166,90
2025,strokes-gained-total,101583,Wenyi DING,50,CHN,0.6006,91
2025,strokes-gained-total,32013,Shaun NORRIS,51,RSA,0.5935,47
2025,strokes-gained-total,43332,Eugenio CHACARRA,52,ESP,0.5771,68
2025,strokes-gained-total,40946,Ewen FERGUSON,53,SCO,0.5674,82
2025,strokes-gained-total,35329,Andrea PAVAN,54,ITA,0.5641,91
2025,strokes-gained-total,39466,Clément SORDET,55,FRA,0.5581,61
2025,strokes-gained-total,39513,Andreas HALVORSEN,56,NOR,0.5395,59
2025,strokes-gained-total,37990,Brandon STONE,57,RSA,0.5311,77
2025,strokes-gained-total,33674,Julien GUERRIER,58,FRA,0.5269,84
2025,strokes-gained-total,31690,Niklas LEMKE,59,SWE,0.5236,65
2025,strokes-gained-total,40882,Ugo COUSSAUD,60,FRA,0.5205,95
2025,strokes-gained-total,42599,Matthew JORDAN,61,ENG,0.5169,77
2025,strokes-gained-total,101251,Martin COUVRA,62,FRA,0.5059,89
2025,strokes-gained-total,30717,Adam SCOTT,63,AUS,0.4871,18
2025,strokes-gained-total,100552,Tom VAILLANT,64,FRA,0.4603,79
2025,strokes-gained-total,41858,Frederic LACROIX,65,FRA,0.4592,72
2025,strokes-gained-total,37579,Joakim LAGERGREN,66,SWE,0.4564,88
2025,strokes-gained-total,104063,Kazuma KOBORI,66,NZL,0.4556,86
2025,strokes-gained-total,42411,Todd CLEMENTS,68,ENG,0.4545,86
2025,strokes-gained-total,36867,Jorge CAMPILLO,69,ESP,0.4444,107
2025,strokes-gained-total,43885,Ben SCHMIDT,70,ENG,0.4206,84
2025,strokes-gained-total,100418,Sam BAIRSTOW,71,ENG,0.4087,77
2025,strokes-gained-total,38296,Jeff WINTHER,72,DEN,0.3839,76
2025,strokes-gained-total,39791,Thriston LAWRENCE,73,RSA,0.3815,48
2025,strokes-gained-total,42648,Calum HILL,74,SCO,0.3807,83
2025,strokes-gained-total,34772,Richie RAMSAY,75,SCO,0.3482,70
2025,strokes-gained-total,39075,Romain LANGASQUE,76,FRA,0.3314,88
2025,strokes-gained-total,42794,Alex FITZPATRICK,77,ENG,0.3298,82
2025,strokes-gained-total,36484,Jens DANTORP,78,SWE,0.3066,80
2025,strokes-gained-total,36077,Ashun WU,79,CHN,0.3005,28
2025,strokes-gained-total,41824,Richard MANSELL,80,ENG,0.2858,85
2025,strokes-gained-total,41268,Alejandro DEL REY,81,ESP,0.2666,71
2025,strokes-gained-total,101155,Dan BRADBURY,82,ENG,0.2662,72
2025,strokes-gained-total,30715,Richard STERNE,83,RSA,0.2654,69
2025,strokes-gained-total,43957,Casey JARVIS,84,RSA,0.1948,90
2025,strokes-gained-total,43801,Freddy SCHOTT,85,GER,0.1849,66
2025,strokes-gained-total,32111,Rafa CABRERA BELLO,86,ESP,0.1827,93
2025,strokes-gained-total,41420,Nicolai VON DELLINGSHAUSEN,87,GER,0.1824,93
2025,strokes-gained-total,39271,Guido MIGLIOZZI,88,ITA,0.181,70
2025,strokes-gained-total,37073,Jack SENIOR,89,ENG,0.1777,82
2025,strokes-gained-total,38956,Grant FORREST,90,SCO,0.1728,83
2025,strokes-gained-total,40721,Johannes VEERMAN,91,USA,0.1505,72
2025,strokes-gained-total,39127,Jacques KRUYSWIJK,92,RSA,0.141,71
2025,strokes-gained-total,34771,Scott JAMIESON,93,SCO,0.1325,73
2025,strokes-gained-total,106152,Davis BRYANT,94,USA,0.1313,55
2025,strokes-gained-total,100976,Yuto KATSURAGAWA,95,JPN,0.1261,59
2025,strokes-gained-total,40063,Ricardo GOUVEIA,96,POR,0.1018,84
2025,strokes-gained-total,35853,Jason SCRIVENER,97,AUS,0.0986,77
2025,strokes-gained-total,40516,Ivan CANTERO,98,ESP,0.0885,80
2025,strokes-gained-total,39609,Nathan KIMSEY,99,ENG,0.0663,60
2025,strokes-gained-total,43327,Manuel ELVIRA,100,ESP,0.0447,92
2025,strokes-gained-total,37793,Adrian OTAEGUI,101,UAE,0.0392,88
2025,strokes-gained-total,35509,Benjamin HEBERT,102,FRA,0.0354,68
2025,strokes-gained-total,43883,David RAVETTO,103,FRA,0.0286,83
2025,strokes-gained-total,36078,Nacho ELVIRA,104,ESP,0.0215,99
2025,strokes-gained-total,39593,Sebastian SÖDERBERG,105,SWE,0.0137,66
2025,strokes-gained-total,41330,Mikael LINDBERG,106,SWE,0.0107,86
2025,strokes-gained-total,36421,Darius VAN DRIEL,107,NED,0.006,84
2025,strokes-gained-total,43010,Aaron COCKERILL,108,CAN,-0.0017,89
2025,strokes-gained-total,39925,Marcus KINHULT,109,SWE,-0.0087,73
2025,strokes-gained-total,41684,Sean CROCKER,110,USA,-0.0336,72
2025,strokes-gained-total,41226,Connor SYME,111,SCO,-0.0674,81
2025,strokes-gained-total,34563,Fabrizio ZANOTTI,111,PAR,-0.0665,76
2025,strokes-gained-total,40780,Troy MERRITT,113,USA,-0.1006,48
2025,strokes-gained-total,33676,Bernd WIESBERGER,114,AUT,-0.106,86
2025,strokes-gained-total,36168,Tapio PULKKANEN,115,FIN,-0.1116,70
2025,strokes-gained-total,35166,Dylan FRITTELLI,116,RSA,-0.1161,61
2025,strokes-gained-total,3467,Marcel SIEM,117,GER,-0.1171,73
2025,strokes-gained-total,1402,Darren FICHARDT,118,RSA,-0.1688,45
