year,stat_type,player_id,player_name,rank,country,average,total_rounds
2026,driving-accuracy,41662,Min Woo LEE,1,AUS,0.8017,8
2026,driving-accuracy,104063,Kazuma KOBORI,2,NZL,0.7677,14
2026,driving-accuracy,38258,Joel GIRRBACH,3,SUI,0.7546,19
2026,driving-accuracy,106152,Davis BRYANT,4,USA,0.7345,16
2026,driving-accuracy,42832,Jordan GUMBERG,5,USA,0.73,14
2026,driving-accuracy,42213,Robin WILLIAMS,6,RSA,0.7235,12
2026,driving-accuracy,100259,Elvis SMYLIE,7,AUS,0.7153,10
2026,driving-accuracy,40063,Ricardo GOUVEIA,8,POR,0.7071,14
2026,driving-accuracy,41686,Kristoffer REITAN,9,NOR,0.6964,4
2026,driving-accuracy,101595,Jack BUCHANAN,10,AUS,0.6831,10
2026,driving-accuracy,36932,Andrew JOHNSTON,10,ENG,0.6831,10
2026,driving-accuracy,102397,Rasmus NEERGAARD-PETERSEN,12,DEN,0.68,14
2026,driving-accuracy,40650,Daniel YOUNG,13,SCO,0.6761,15
2026,driving-accuracy,38575,Michael HOLLICK,14,RSA,0.676,23
2026,driving-accuracy,42794,Alex FITZPATRICK,15,ENG,0.6721,22
2026,driving-accuracy,1402,Darren FICHARDT,16,RSA,0.6714,10
2026,driving-accuracy,39609,Nathan KIMSEY,17,ENG,0.6692,19
2026,driving-accuracy,37841,Eddie PEPPERELL,18,ENG,0.6667,16
2026,driving-accuracy,100554,David PUIG,18,ESP,0.6667,14
2026,driving-accuracy,34610,James MORRISON,20,ENG,0.6654,19
2026,driving-accuracy,105484,Daniel RODRIGUES,21,POR,0.6614,18
2026,driving-accuracy,35853,Jason SCRIVENER,22,AUS,0.6563,18
2026,driving-accuracy,43010,Aaron COCKERILL,23,CAN,0.6503,13
2026,driving-accuracy,43333,Daniel HILLIER,24,NZL,0.65,24
2026,driving-accuracy,37791,Alexander LEVY,24,FRA,0.65,6
2026,driving-accuracy,37073,Jack SENIOR,24,ENG,0.65,20
2026,driving-accuracy,33676,Bernd WIESBERGER,27,AUT,0.6447,16
2026,driving-accuracy,39790,Christiaan BEZUIDENHOUT,28,RSA,0.6392,7
2026,driving-accuracy,101468,Connor MCKINNEY,29,AUS,0.6364,14
2026,driving-accuracy,100976,Yuto KATSURAGAWA,30,JPN,0.6357,20
2026,driving-accuracy,102497,Clement CHARMASSON,31,FRA,0.6349,18
2026,driving-accuracy,40892,Stefano MAZZOLI,32,ITA,0.6313,14
2026,driving-accuracy,35358,Sebastian GARCIA,33,ESP,0.6276,17
2026,driving-accuracy,37259,Kiradech APHIBARNRAT,34,THA,0.6272,16
2026,driving-accuracy,41282,Tom MCKIBBIN,35,NIR,0.625,12
2026,driving-accuracy,100418,Sam BAIRSTOW,36,ENG,0.6241,20
2026,driving-accuracy,100024,Filippo CELLI,37,ITA,0.6235,12
