year,stat_type,player_id,player_name,rank,country,average,total_rounds
2026,strokes-gained-off-the-tee,42213,Robin WILLIAMS,1,RSA,0.926,12
2026,strokes-gained-off-the-tee,34024,Rory MCILROY,2,NIR,0.8669,12
2026,strokes-gained-off-the-tee,41330,Mikael LINDBERG,3,SWE,0.8544,19
2026,strokes-gained-off-the-tee,104066,Rocco REPETTO TAYLOR,4,ESP,0.8376,19
2026,strokes-gained-off-the-tee,37990,Brandon STONE,5,RSA,0.813,17
2026,strokes-gained-off-the-tee,101155,Dan BRADBURY,6,ENG,0.7655,21
2026,strokes-gained-off-the-tee,40516,Ivan CANTERO,7,ESP,0.7081,14
2026,strokes-gained-off-the-tee,43333,Daniel HILLIER,8,NZL,0.7052,24
2026,strokes-gained-off-the-tee,101547,Angel AYORA,9,ESP,0.6914,25
2026,strokes-gained-off-the-tee,100554,David PUIG,10,ESP,0.6883,14
2026,strokes-gained-off-the-tee,41268,Alejandro DEL REY,11,ESP,0.6692,21
2026,strokes-gained-off-the-tee,42160,Benjamin FOLLETT-SMITH,12,ZIM,0.6615,17
2026,strokes-gained-off-the-tee,41282,Tom MCKIBBIN,13,NIR,0.6489,12
2026,strokes-gained-off-the-tee,39791,Thriston LAWRENCE,14,RSA,0.6294,13
2026,strokes-gained-off-the-tee,43883,David RAVETTO,15,FRA,0.6052,21
2026,strokes-gained-off-the-tee,34932,John PARRY,16,ENG,0.5871,11
2026,strokes-gained-off-the-tee,42832,Jordan GUMBERG,17,USA,0.5752,14
2026,strokes-gained-off-the-tee,43682,Jayden SCHAPER,18,RSA,0.5341,27
2026,strokes-gained-off-the-tee,43332,Eugenio CHACARRA,19,ESP,0.5264,23
2026,strokes-gained-off-the-tee,41948,Anthony QUAYLE,20,AUS,0.5236,12
2026,strokes-gained-off-the-tee,38017,Daniel VAN TONDER,21,RSA,0.5161,17
2026,strokes-gained-off-the-tee,37017,Thomas DETRY,22,BEL,0.5148,10
2026,strokes-gained-off-the-tee,35371,Tommy FLEETWOOD,23,ENG,0.5099,8
2026,strokes-gained-off-the-tee,41684,Sean CROCKER,24,USA,0.4838,16
2026,strokes-gained-off-the-tee,39609,Nathan KIMSEY,25,ENG,0.4679,19
2026,strokes-gained-off-the-tee,41662,Min Woo LEE,26,AUS,0.4627,8
2026,strokes-gained-off-the-tee,43010,Aaron COCKERILL,27,CAN,0.4612,13
2026,strokes-gained-off-the-tee,39925,Marcus KINHULT,28,SWE,0.4557,14
2026,strokes-gained-off-the-tee,40148,Viktor HOVLAND,29,NOR,0.4545,8
2026,strokes-gained-off-the-tee,101251,Martin COUVRA,29,FRA,0.4555,21
2026,strokes-gained-off-the-tee,36519,Thorbjørn OLESEN,29,DEN,0.4551,12
2026,strokes-gained-off-the-tee,38956,Grant FORREST,32,SCO,0.3935,22
2026,strokes-gained-off-the-tee,35122,Ryan FOX,33,NZL,0.3912,16
2026,strokes-gained-off-the-tee,38439,Patrick REED,34,USA,0.389,16
2026,strokes-gained-off-the-tee,37624,Laurie CANTER,35,ENG,0.3845,10
2026,strokes-gained-off-the-tee,101569,Jonathan BROOMHEAD,36,RSA,0.3803,17
