year,stat_type,player_id,player_name,rank,country,average,total_rounds
2026,strokes-gained-putting,43682,Jayden SCHAPER,1,RSA,1.2814,27
2026,strokes-gained-putting,42648,Calum HILL,2,SCO,1.0655,21
2026,strokes-gained-putting,32013,Shaun NORRIS,3,RSA,1.0146,15
2026,strokes-gained-putting,104063,Kazuma KOBORI,4,NZL,0.9633,14
2026,strokes-gained-putting,41662,Min Woo LEE,5,AUS,0.9524,8
2026,strokes-gained-putting,100554,David PUIG,6,ESP,0.8622,14
2026,strokes-gained-putting,101583,Wenyi DING,7,CHN,0.8542,16
2026,strokes-gained-putting,43333,Daniel HILLIER,8,NZL,0.8488,24
2026,strokes-gained-putting,105456,Jacob Skov OLESEN,9,DEN,0.7821,22
2026,strokes-gained-putting,37579,Joakim LAGERGREN,10,SWE,0.7167,20
2026,strokes-gained-putting,38428,Zander LOMBARD,11,RSA,0.6749,15
2026,strokes-gained-putting,34610,James MORRISON,12,ENG,0.6511,19
2026,strokes-gained-putting,39075,Romain LANGASQUE,13,FRA,0.6254,16
2026,strokes-gained-putting,35703,Marcel SCHNEIDER,14,GER,0.615,15
2026,strokes-gained-putting,36078,Nacho ELVIRA,15,ESP,0.6125,21
2026,strokes-gained-putting,40721,Johannes VEERMAN,16,USA,0.6061,20
2026,strokes-gained-putting,100418,Sam BAIRSTOW,17,ENG,0.592,20
2026,strokes-gained-putting,35329,Andrea PAVAN,18,ITA,0.5649,17
2026,strokes-gained-putting,38439,Patrick REED,19,USA,0.556,16
2026,strokes-gained-putting,39466,Clément SORDET,20,FRA,0.5529,10
2026,strokes-gained-putting,39862,JC RITCHIE,21,RSA,0.5508,17
2026,strokes-gained-putting,37017,Thomas DETRY,22,BEL,0.5459,10
2026,strokes-gained-putting,100023,Gregorio DE LEO,23,ITA,0.5416,18
2026,strokes-gained-putting,103310,Joshua BERRY,24,ENG,0.522,14
2026,strokes-gained-putting,41948,Anthony QUAYLE,25,AUS,0.5198,12
2026,strokes-gained-putting,42600,David MICHELUZZI,26,AUS,0.4755,14
2026,strokes-gained-putting,100837,Quim VIDAL,27,ESP,0.4733,16
2026,strokes-gained-putting,42958,Mike TOOROP,28,NED,0.4703,10
