Week,Tournament,year,WRP,Starter #1,Earnings,Starter #2,Earnings,Starter #3,Earnings,Total Earnings,
1,AT&T Pebble Beach Pro-Am,2022,6th,Cantlay,"$391,500",McNealy,"$43,548",Power,"$237,075","$672,123",
2,Waste Management Phoenix Open,2022,7th,Fowler,$0,Mitchell,"$198,850",Scheffler,"$1,476,000","$1,674,850",
3,The Genesis Invitational,2022,8th,Homa,"$303,000","Johnson, D",$0,Scott,"$540,000","$843,000",
4,The Honda Classic,2022,T-3rd,Berger,"$392,000",Fleetwood,$0,Horschel,"$106,533","$498,533",
5,Arnold Palmer Invitational,2022,15th,Leishman,"$24,720",Matsuyama,"$131,400",Zalatoris,"$53,400","$209,520",
6,THE PLAYERS Championship,2022,T-15th,McIlroy,"$100,111",Morikawa,$0,Schauffele,$0,"$100,111",
7,Valspar Championship,2022,2nd,Burns,"$1,404,000",Kisner,"$41,600",Oosthuizen,"$17,004","$1,462,604",
8,WGC Match Play Championship,2022,11th,Hovland,"$133,875","Koepka, B","$386,000",Poulter*,"$58,239","$578,114",
9,Valero Texas Open,2022,9th,Conners,"$41,925","Kim, SW*","$158,670",Kirk,"$41,925","$242,520",
10,The Masters,2022,14th,"Koepka, B",$0,Spieth,$0,"Thomas, J","$450,000","$450,000",
11,RBC Heritage,2022,14th,"Fitzpatrick, M",$0,Lowry,"$330,857","Smith, Cam",$0,"$330,857",
12,Zurich Classic of New Orleans,2022,T-6th,Burns,"$489,700",Leishman,"$24,112",Palmer,"$40,048","$553,860",
13,Mexico Championship,2022,T-13th,Ancer,"$23,287",Na,"$23,287",Woodland,"$60,955","$107,529",
14,Wells Fargo Championship,2022,4th,Conners,"$98,100",Kuchar,"$23,490",McIlroy,"$369,000","$490,590",
15,AT&T Byron Nelson,2022,T-6th,"Day, J","$21,635",Spieth,"$991,900",Zalatoris,$0,"$1,013,535",
16,PGA Championship,2022,17th,Morikawa,"$27,925",Rahm,"$32,146",Spieth,"$61,607","$121,678",
17,Charles Schwab Challenge,2022,16th,Fleetwood,"$41,832",Harman,$0,"Thomas, J",$0,"$41,832",
18,The Memorial Tournament,2022,11th,Lowry,"$68,520",Rahm,"$303,000",Schauffele,"$142,800","$514,320",
19,RBC Canadian Open,2022,T-3rd,McIlroy,"$1,566,000","Smith, Cam","$22,568",Varner III,"$160,515","$1,749,083",
20,U.S. Open,2022,1st,"Fitzpatrick, M","$3,150,000",Scheffler,"$1,557,687","Thomas, J","$75,916","$4,783,603",
21,Travelers Championship,2022,T-11th,Cantlay,"$159,775",Niemann,$0,Wise,$0,"$159,775",
22,John Deere Classic,2022,T-2nd,Glover,$0,Poston,"$1,278,000",Theegala,"$97,803","$1,375,803",
23,Genesis Scottish Open,2022,T-6th,Fleetwood,"$362,000",Homa,"$104,900",Matsuyama,$0,"$466,900",
24,The Open Championship,2022,12th,Morikawa,$0,Schauffele,"$165,583",Scheffler,"$120,286","$285,869",
25,3M Open,2022,12th,"Kim, Tom","$55,875",Long,"$103,313",Theegala,$0,"$159,188",
26,Rocket Mortgage Classic,2022,T-2nd,Finau,"$1,512,000",Riley,$0,"Young, Cam","$635,600","$2,147,600",
27,Wyndham Championship,2022,15th,Kisner,$0,Scott,"$14,016",Simpson,$0,"$14,016",
28,FedEx St. Jude Invitational,2022,T-8th,Finau,"$480,000",Hovland,"$152,813",Niemann,"$260,893","$893,706",
29,BMW Championship,2022,1st,Cantlay,"$2,700,000","Fitzpatrick, M","$38,700",Rahm,"$420,000","$3,158,700",
30,TOUR Championship,2022,T-13th,Burns,"$144,750",Finau,"$438,750","Smith, Cam","$198,750","$782,250",
