Week,Tournament,WRP,Starter #1,Earnings,Starter #2,Earnings,Starter #3,Earnings,Total Earnings,
1,AT&T Pebble Beach Pro-Am,13th,McNealy,$0,"Putnam, A",$0,"Stallings, S","$146,250","$146,250",
2,Waste Management Phoenix Open,10th,Homa,"$87,000",Schauffele,"$485,000","Thomas, J","$980,000","$1,552,000",
3,The Genesis Invitational,4th,Morikawa,"$700,000",Rahm,"$3,600,000",Scott,"$43,000","$4,343,000",
4,The Honda Classic,4th,Im,"$28,188","Lee, MW","$65,100",Lowry,"$288,120","$381,408",
5,Arnold Palmer Invitational,3rd,"Fitzpatrick, M","$325,000",McIlroy,"$1,780,000",Scheffler,"$800,000","$2,905,000",
6,THE PLAYERS Championship,2nd,"Day, J","$275,000",Fowler,"$447,917",Scheffler,"$4,500,000","$5,222,917",
7,Valspar Championship,T-3rd,Burns,"$293,625",Fleetwood,"$477,900",Rose,"$35,280","$806,805",
8,WGC Match Play Championship,19th,Cantlay,"$365,000",Hatton,"$67,500",Zalatoris,"$67,500","$500,000",
9,Valero Texas Open,T-3rd,Conners,"$1,602,000",Davis,$0,Fowler,"$206,925","$1,808,925",
10,The Masters,18th,Homa,"$66,600",McIlroy,$0,Spieth,"$744,000","$810,600",
11,RBC Heritage,12th,Cantlay,"$1,380,000","Clark, W","$140,000","Young, Cam","$49,133","$1,569,133",
12,Zurich Classic of New Orleans,20th,"Hojgaard, N","$18,318",Horschel,"$93,633",Theegala,"$24,596","$136,547",
13,Mexico Open,10th,Chappell*,"$62,755","Clark, W","$62,755",Finau,"$1,386,000","$1,511,510",
14,Wells Fargo Championship,14th,Dahmen,$0,Hovland,"$69,000","Young, Cam","$44,600","$113,600",
15,AT&T Byron Nelson,T-7th,"Day, J","$1,710,000",Hoge,"$30,115",Scott,"$277,875","$2,017,990",
16,PGA Championship,13th,"Johnson, D","$35,000","Koepka, B","$3,150,000","Thomas, J","$29,750","$3,214,750",
17,Charles Schwab Challenge,T-13th,Davis,$0,Finau,$0,Rose,"$178,350","$178,350",
18,The Memorial Tournament,6th,Hovland,"$3,600,000",Morikawa,$0,Rahm,"$275,500","$3,875,500",
19,RBC Canadian Open,6th,Conners,"$102,330","Fitzpatrick, M","$102,330",Hatton,"$477,000","$681,660",
20,U.S. Open,T-2nd,"Koepka, B","$284,167",Schauffele,"$435,018",Scheffler,"$1,413,430","$2,132,615",
21,Travelers Championship,T-14th,Fleetwood,$0,Morikawa,$0,Schauffele,"$245,800","$245,800",
22,Rocket Mortgage Classic,T-9th,Finau,$0,Fowler,"$1,584,000","Kim, Tom",$0,"$1,584,000",
23,John Deere Classic,T-2nd,Aberg,"$333,000",Hadwin,$0,McCarthy,"$218,036","$551,036",
24,Genesis Scottish Open,T-13th,"Fitzpatrick, M",$0,Fleetwood,"$261,990","Lee, MW","$52,811","$314,801",
25,The Open Championship,3rd,Hovland,"$232,875",McIlroy,"$551,250",Spieth,"$121,500","$905,625",
26,3M Open,T-13th,Aberg,"$16,614",Straka,$0,"Young, Cam",$0,"$16,614",
27,Wyndham Championship,T-18th,Matsuyama,$0,McCarthy,$0,Poston,"$223,060","$223,060",
28,FedEx St. Jude Invitational,17th,"Clark, W","$40,800","Day, J","$46,400",Rahm,"$88,000","$175,200",
29,BMW Championship,18th,Cantlay,"$332,000",Glover,"$229,000",Spieth,"$122,000","$683,000",
30,TOUR Championship,19th,Glover,"$295,000",Harman,"$209,000",Homa,"$505,000","$1,009,000",
