player_id,player_name,scoring_avg,putts_per_rnd,top10s,money,kft_sg_proxy,kft_year,fetched_at
24925,Jonathan Byrd,71.17,28.5,,7263.0,-0.232,2026,2026-02-22 22:58
25834,Daniel Summerhays,71.33,31.58,,18829.0,-0.328,2026,2026-02-22 22:58
26476,Chez Reavie,72.8,31.2,,3760.0,-1.21,2026,2026-02-22 22:58
27139,David Skinns,70.57,30.86,,37260.0,0.128,2026,2026-02-22 22:58
27330,Josh Teater,73.1,31.4,,3760.0,-1.39,2026,2026-02-22 22:58
27466,Spencer Levin,71.5,32.1,,14071.0,-0.43,2026,2026-02-22 22:58
27770,Camilo Villegas,69.25,28.63,,8550.0,0.92,2026,2026-02-22 22:58
27936,Martin Laird,71.5,32.0,,8130.0,-0.43,2026,2026-02-22 22:58
27942,Rob Oppenheim,71.3,29.2,,4938.0,-0.31,2026,2026-02-22 22:58
27958,Ryan Blaum,70.5,29.5,,7263.0,0.17,2026,2026-02-22 22:58
28420,Ryan Brehm,71.42,30.42,,8413.0,-0.382,2026,2026-02-22 22:58
28475,Jeff Overton,70.83,31.0,1.0,51507.0,-0.028,2026,2026-02-22 22:58
28679,Fabián Gómez,70.33,31.17,,9186.0,0.272,2026,2026-02-22 22:58
29268,Bronson Burgoon,67.0,30.25,,16000.0,2.27,2026,2026-02-22 22:58
29289,S.y. Noh,69.0,30.64,,27675.0,1.07,2026,2026-02-22 22:58
30852,Ryo Ishikawa,71.0,31.5,,8325.0,-0.13,2026,2026-02-22 22:58
30927,Brendon Todd,72.0,31.0,,4255.0,-0.73,2026,2026-02-22 22:58
32618,Rhein Gibson,71.1,31.3,,4245.0,-0.19,2026,2026-02-22 22:58
32640,Troy Merritt,71.67,30.67,,3960.0,-0.532,2026,2026-02-22 22:58
32791,K.h. Lee,70.67,29.33,,6250.0,0.068,2026,2026-02-22 22:58
33122,Russell Knox,70.64,30.64,,14623.0,0.086,2026,2026-02-22 22:58
33399,Adam Hadwin,69.0,32.63,1.0,94719.0,1.07,2026,2026-02-22 22:58
33408,Tyson Alexander,71.5,29.4,,4938.0,-0.43,2026,2026-02-22 22:58
33413,Ben Martin,69.64,31.5,1.0,54002.0,0.686,2026,2026-02-22 22:58
33486,Roger Sloan,69.36,29.86,1.0,100969.0,0.854,2026,2026-02-22 22:58
33597,Harry Higgs,69.9,30.0,,11100.0,0.53,2026,2026-02-22 22:58
34255,Joseph Bramlett,69.94,31.38,,29048.0,0.506,2026,2026-02-22 22:58
34314,Sebastian Cappelen,71.89,30.0,,18625.0,-0.664,2026,2026-02-22 22:58
34587,Chan Kim,69.0,30.2,1.0,35765.0,1.07,2026,2026-02-22 22:58
34643,Michael Johnson,68.86,30.07,1.0,64130.0,1.154,2026,2026-02-22 22:58
35421,Brandon Harkins,72.75,31.25,,4190.0,-1.18,2026,2026-02-22 22:58
35490,Wil Bateman,69.67,30.5,,17500.0,0.668,2026,2026-02-22 22:58
36391,Ricardo Celia,71.17,30.67,,4328.0,-0.232,2026,2026-02-22 22:58
36724,Augusto Núñez,72.75,31.25,,,-1.18,2026,2026-02-22 22:58
36735,Jorge Fernández Valdés,69.13,30.44,2.0,70155.0,0.992,2026,2026-02-22 22:58
36824,Paul Peterson,70.75,30.83,,16950.0,0.02,2026,2026-02-22 22:58
36871,Matt Nesmith,72.25,33.5,,,-0.88,2026,2026-02-22 22:58
36884,Ben Kohles,69.62,30.0,1.0,44029.0,0.698,2026,2026-02-22 22:58
37212,Paul Barjon,73.13,32.5,,,-1.408,2026,2026-02-22 22:58
37459,Ryan Sullivan,71.8,31.0,,3860.0,-0.61,2026,2026-02-22 22:58
39262,Alvaro Ortiz,70.93,30.79,,14170.0,-0.088,2026,2026-02-22 22:58
39327,Ben Silverman,71.27,31.18,,8103.0,-0.292,2026,2026-02-22 22:58
39436,Joshua Creel,70.75,32.5,,3960.0,0.02,2026,2026-02-22 22:58
39859,Cristobal Del Solar,69.9,30.9,1.0,27500.0,0.53,2026,2026-02-22 22:58
40058,Zac Blair,69.88,30.5,,17195.0,0.542,2026,2026-02-22 22:58
45478,Julian Suri,71.42,29.75,,10408.0,-0.382,2026,2026-02-22 22:58
45609,Tyler Duncan,70.8,30.6,1.0,28625.0,-0.01,2026,2026-02-22 22:58
45729,Drew Nesbitt,72.38,31.5,,,-0.958,2026,2026-02-22 22:58
46368,Stuart Macdonald,70.14,30.36,,25466.0,0.386,2026,2026-02-22 22:58
46435,Austin Cook,72.22,31.0,,4245.0,-0.862,2026,2026-02-22 22:58
46441,Robby Shelton,71.0,31.5,,21250.0,-0.13,2026,2026-02-22 22:58
46732,Rick Lamb,70.25,31.58,,18485.0,0.32,2026,2026-02-22 22:58
46823,Jeremy Gandon,69.67,30.17,1.0,51424.0,0.668,2026,2026-02-22 22:58
