tournament_id,year,player_id,player_name,position,total_score,to_par,fedex_points,earnings,rounds_played,r1_score,r2_score,r3_score,r4_score,r1_to_par,r2_to_par,r3_to_par,r4_to_par,tournament_name
R2015014,2015,34046,Jordan Spieth,1,270.0,-18.0,600.0,"$1,800,000.00",4,64.0,66.0,70.0,70.0,-8.0,-6.0,-2.0,-2.0,Masters Tournament
R2015014,2015,01810,Phil Mickelson,T2,274.0,-14.0,270.0,"$880,000.00",4,70.0,68.0,67.0,69.0,-2.0,-4.0,-5.0,-3.0,Masters Tournament
R2015014,2015,22405,Justin Rose,T2,274.0,-14.0,270.0,"$880,000.00",4,67.0,70.0,67.0,70.0,-5.0,-2.0,-5.0,-2.0,Masters Tournament
R2015014,2015,28237,Rory McIlroy,4,276.0,-12.0,150.0,"$480,000.00",4,71.0,71.0,68.0,66.0,-1.0,-1.0,-4.0,-6.0,Masters Tournament
R2015014,2015,32839,Hideki Matsuyama,5,277.0,-11.0,120.0,"$400,000.00",4,71.0,70.0,70.0,66.0,-1.0,-2.0,-2.0,-6.0,Masters Tournament
R2015014,2015,30925,Dustin Johnson,T6,279.0,-9.0,101.333,"$335,000.00",4,70.0,67.0,73.0,69.0,-2.0,-5.0,1.0,-3.0,Masters Tournament
R2015014,2015,24138,Ian Poulter,T6,279.0,-9.0,101.333,"$335,000.00",4,73.0,72.0,67.0,67.0,1.0,0.0,-5.0,-5.0,Masters Tournament
R2015014,2015,25364,Paul Casey,T6,279.0,-9.0,101.333,"$335,000.00",4,69.0,68.0,74.0,68.0,-3.0,-4.0,2.0,-4.0,Masters Tournament
R2015014,2015,24781,Hunter Mahan,T9,280.0,-8.0,82.333,"$270,000.00",4,75.0,70.0,68.0,67.0,3.0,-2.0,-4.0,-5.0,Masters Tournament
R2015014,2015,24024,Zach Johnson,T9,280.0,-8.0,82.333,"$270,000.00",4,72.0,72.0,68.0,68.0,0.0,0.0,-4.0,-4.0,Masters Tournament
R2015014,2015,12716,Charley Hoffman,T9,280.0,-8.0,82.333,"$270,000.00",4,67.0,68.0,71.0,74.0,-5.0,-4.0,-1.0,2.0,Masters Tournament
R2015014,2015,24924,Bill Haas,T12,282.0,-6.0,64.8,"$196,000.00",4,69.0,71.0,72.0,70.0,-3.0,-1.0,0.0,-2.0,Masters Tournament
R2015014,2015,25396,Kevin Na,T12,282.0,-6.0,64.8,"$196,000.00",4,74.0,66.0,70.0,72.0,2.0,-6.0,-2.0,0.0,Masters Tournament
R2015014,2015,26596,Ryan Moore,T12,282.0,-6.0,64.8,"$196,000.00",4,74.0,66.0,73.0,69.0,2.0,-6.0,1.0,-3.0,Masters Tournament
R2015014,2015,32102,Rickie Fowler,T12,282.0,-6.0,64.8,"$196,000.00",4,73.0,72.0,70.0,67.0,1.0,0.0,-2.0,-5.0,Masters Tournament
R2015014,2015,27214,Kevin Streelman,T12,282.0,-6.0,64.8,"$196,000.00",4,70.0,70.0,70.0,72.0,-2.0,-2.0,-2.0,0.0,Masters Tournament
R2015014,2015,08793,Tiger Woods,T17,283.0,-5.0,56.0,"$155,000.00",4,73.0,69.0,68.0,73.0,1.0,-3.0,-4.0,1.0,Masters Tournament
R2015014,2015,21209,Sergio Garcia,T17,283.0,-5.0,56.0,"$155,000.00",4,68.0,74.0,71.0,70.0,-4.0,2.0,-1.0,-2.0,Masters Tournament
R2015014,2015,21528,Henrik Stenson,T19,284.0,-4.0,52.0,"$135,000.00",4,73.0,73.0,70.0,68.0,1.0,1.0,-2.0,-4.0,Masters Tournament
R2015014,2015,26329,Louis Oosthuizen,T19,284.0,-4.0,52.0,"$135,000.00",4,72.0,69.0,71.0,72.0,0.0,-3.0,-1.0,0.0,Masters Tournament
R2015014,2015,34098,Russell Henley,21,285.0,-3.0,50.0,"$120,000.00",4,68.0,74.0,72.0,71.0,-4.0,2.0,0.0,-1.0,Masters Tournament
R2015014,2015,34360,Patrick Reed,T22,286.0,-2.0,46.5,"$92,833.00",4,70.0,72.0,74.0,70.0,-2.0,0.0,2.0,-2.0,Masters Tournament
R2015014,2015,33141,Keegan Bradley,T22,286.0,-2.0,46.5,"$92,833.00",4,71.0,72.0,75.0,68.0,-1.0,0.0,3.0,-4.0,Masters Tournament
R2015014,2015,01887,Mark O'Meara,T22,286.0,-2.0,46.5,"$92,833.00",4,73.0,68.0,77.0,68.0,1.0,-4.0,5.0,-4.0,Masters Tournament
R2015014,2015,06522,Ernie Els,T22,286.0,-2.0,46.5,"$92,833.00",4,67.0,72.0,75.0,72.0,-5.0,0.0,3.0,0.0,Masters Tournament
R2015014,2015,29454,Bernd Wiesberger,T22,286.0,-2.0,0.0,"$92,833.00",4,75.0,70.0,70.0,71.0,3.0,-2.0,-2.0,-1.0,Masters Tournament
