tournament_id,year,player_id,player_name,position,total_score,to_par,fedex_points,earnings,rounds_played,tournament_name
R2018060,2018,08793,Tiger Woods,1,269,-11,0.000,"$1,620,000.00",4,TOUR Championship
R2018060,2018,29420,Billy Horschel,2,271,-9,0.000,"$972,000.00",4,TOUR Championship
R2018060,2018,30925,Dustin Johnson,3,273,-7,0.000,"$621,000.00",4,TOUR Championship
R2018060,2018,29221,Webb Simpson,T4,274,-6,0.000,"$372,000.00",4,TOUR Championship
R2018060,2018,22405,Justin Rose,T4,274,-6,0.000,"$372,000.00",4,TOUR Championship
R2018060,2018,32839,Hideki Matsuyama,T4,274,-6,0.000,"$372,000.00",4,TOUR Championship
R2018060,2018,33448,Justin Thomas,T7,275,-5,0.000,"$279,900.00",4,TOUR Championship
R2018060,2018,48081,Xander Schauffele,T7,275,-5,0.000,"$279,900.00",4,TOUR Championship
R2018060,2018,28237,Rory McIlroy,T7,275,-5,0.000,"$279,900.00",4,TOUR Championship
R2018060,2018,32102,Rickie Fowler,T7,275,-5,0.000,"$279,900.00",4,TOUR Championship
R2018060,2018,31323,Gary Woodland,T11,276,-4,0.000,"$225,450.00",4,TOUR Championship
R2018060,2018,30911,Tommy Fleetwood,T11,276,-4,0.000,"$225,450.00",4,TOUR Championship
R2018060,2018,25364,Paul Casey,T11,276,-4,0.000,"$225,450.00",4,TOUR Championship
R2018060,2018,46970,Jon Rahm,T11,276,-4,0.000,"$225,450.00",4,TOUR Championship
R2018060,2018,49964,Aaron Wise,T15,277,-3,0.000,"$190,800.00",4,TOUR Championship
R2018060,2018,29725,Tony Finau,T15,277,-3,0.000,"$190,800.00",4,TOUR Championship
R2018060,2018,30110,Kyle Stanley,T15,277,-3,0.000,"$190,800.00",4,TOUR Championship
R2018060,2018,28089,Jason Day,18,278,-2,0.000,"$180,000.00",4,TOUR Championship
R2018060,2018,47959,Bryson DeChambeau,19,279,-1,0.000,"$176,400.00",4,TOUR Championship
R2018060,2018,35891,Cameron Smith,20,280,E,0.000,"$172,800.00",4,TOUR Championship
R2018060,2018,35450,Patrick Cantlay,T21,281,+1,0.000,"$163,800.00",4,TOUR Championship
R2018060,2018,26851,Marc Leishman,T21,281,+1,0.000,"$163,800.00",4,TOUR Championship
R2018060,2018,25198,Francesco Molinari,T21,281,+1,0.000,"$163,800.00",4,TOUR Championship
R2018060,2018,32757,Patton Kizzire,T21,281,+1,0.000,"$163,800.00",4,TOUR Championship
R2018060,2018,25396,Kevin Na,25,283,+3,0.000,"$154,800.00",4,TOUR Championship
R2018060,2018,36689,Brooks Koepka,T26,284,+4,0.000,"$150,300.00",4,TOUR Championship
R2018060,2018,33141,Keegan Bradley,T26,284,+4,0.000,"$150,300.00",4,TOUR Championship
