player_id,player_name,liv_scoring_avg,liv_events,liv_rounds,liv_earnings,liv_top10s,liv_sg_proxy,year,liv_best_year,fetched_at
10046,Bryson DeChambeau,67.917,3.0,12.0,0.0,1.0,0.834,2026,2025,2026-04-08 18:46
10049,Sam Horsfield,71.7,5.0,20.0,0.0,0.0,-0.443,2026,2024,2026-04-08 18:46
10063,Maximilian Rottluff,74.333,1.0,3.0,0.0,0.0,-1.839,2025,2025,2026-04-08 18:46
10343,Lucas Herbert,68.0,5.0,20.0,0.0,3.0,0.257,2026,2026,2026-04-08 18:46
10404,Sebastián Muñoz,68.15,5.0,20.0,0.0,2.0,0.566,2026,2024,2026-04-08 18:46
10422,Young-han Song,69.25,5.0,20.0,0.0,0.0,-0.39,2026,2026,2026-04-08 18:46
10424,Chieh-Po Lee,72.194,12.0,36.0,0.0,0.0,-0.769,2025,2025,2026-04-08 18:46
10687,John Catlin,71.5,1.0,4.0,0.0,0.0,-0.331,2026,2024,2026-04-08 18:46
10839,Adrian Meronk,69.25,5.0,20.0,0.0,0.0,-0.033,2026,2024,2026-04-08 18:46
1097,Charl Schwartzel,68.7,5.0,20.0,0.0,0.0,0.213,2026,2025,2026-04-08 18:46
11099,Joaquín Niemann,68.05,5.0,20.0,0.0,1.0,0.8,2026,2025,2026-04-08 18:46
11340,Victor Perez,69.1,5.0,20.0,0.0,0.0,-0.059,2026,2026,2026-04-08 18:46
1293,Louis Oosthuizen,68.65,5.0,20.0,0.0,1.0,0.38,2026,2024,2026-04-08 18:46
1367,Matt Jones,71.59,13.0,37.0,0.0,1.0,-0.467,2025,2024,2026-04-08 18:46
1441,Richard Bland,69.3,5.0,20.0,0.0,0.0,0.242,2026,2024,2026-04-08 18:46
1489,Wade Ormsby,70.333,3.0,12.0,0.0,0.0,-0.741,2026,2026,2026-04-08 18:46
158,Sergio García,68.85,5.0,20.0,0.0,1.0,0.461,2026,2024,2026-04-08 18:46
1674,Peter Uihlein,68.4,5.0,20.0,0.0,2.0,-0.076,2026,2026,2026-04-08 18:46
1745,Anthony Kim,68.75,5.0,20.0,0.0,1.0,-1.144,2026,2026,2026-04-08 18:46
208,Charles Howell III,68.7,5.0,20.0,0.0,1.0,0.104,2026,2025,2026-04-08 18:46
301,Graeme McDowell,69.0,5.0,20.0,0.0,1.0,-0.185,2026,2026,2026-04-08 18:46
308,Phil Mickelson,69.25,1.0,4.0,0.0,0.0,-0.334,2026,2025,2026-04-08 18:46
318,Kevin Na,71.889,12.0,36.0,0.0,0.0,-0.617,2025,2024,2026-04-08 18:46
3317,Jason Kokrak,68.7,5.0,20.0,0.0,0.0,-0.136,2026,2026,2026-04-08 18:46
3351,Marc Leishman,68.4,5.0,20.0,0.0,1.0,0.342,2026,2024,2026-04-08 18:46
3448,Dustin Johnson,68.45,5.0,20.0,0.0,1.0,0.235,2026,2024,2026-04-08 18:46
