player_id,player_name,liv_scoring_avg,liv_events,liv_rounds,liv_earnings,liv_top10s,liv_sg_proxy,year
10046,Bryson DeChambeau,68.125,2.0,8.0,0.0,1.0,-0.81,2026
10049,Sam Horsfield,71.625,2.0,8.0,0.0,0.0,-2.56,2026
10343,Lucas Herbert,67.875,2.0,8.0,0.0,2.0,-0.685,2026
10404,Sebastián Muñoz,67.875,2.0,8.0,0.0,2.0,-0.685,2026
10422,Young-han Song,70.125,2.0,8.0,0.0,0.0,-1.81,2026
10687,John Catlin,71.5,1.0,4.0,0.0,0.0,-2.498,2026
10839,Adrian Meronk,69.875,2.0,8.0,0.0,0.0,-1.685,2026
1097,Charl Schwartzel,69.125,2.0,8.0,0.0,0.0,-1.31,2026
11099,Joaquín Niemann,68.625,2.0,8.0,0.0,0.0,-1.06,2026
11340,Victor Perez,70.375,2.0,8.0,0.0,0.0,-1.935,2026
1293,Louis Oosthuizen,69.875,2.0,8.0,0.0,0.0,-1.685,2026
1441,Richard Bland,70.25,2.0,8.0,0.0,0.0,-1.873,2026
1489,Wade Ormsby,70.5,1.0,4.0,0.0,0.0,-1.998,2026
158,Sergio Garcia,69.875,2.0,8.0,0.0,0.0,-1.685,2026
1674,Peter Uihlein,67.25,2.0,8.0,0.0,2.0,-0.373,2026
1745,Anthony Kim,67.5,2.0,8.0,0.0,1.0,-0.498,2026
208,Charles Howell III,70.0,2.0,8.0,0.0,0.0,-1.748,2026
301,Graeme McDowell,68.875,2.0,8.0,0.0,0.0,-1.185,2026
308,Phil Mickelson,0.0,2.0,7.0,0.0,0.0,33.252,2026
3317,Jason Kokrak,68.875,2.0,8.0,0.0,0.0,-1.185,2026
3351,Marc Leishman,68.5,2.0,8.0,0.0,1.0,-0.998,2026
3448,Dustin Johnson,68.75,2.0,8.0,0.0,0.0,-1.123,2026
3596,Brendan Steele,70.875,2.0,8.0,0.0,0.0,-2.185,2026
3670,Martin Kaymer,35.375,2.0,7.0,0.0,0.0,15.565,2026
3950,Danny Lee,70.125,2.0,8.0,0.0,0.0,-1.81,2026
4036,Richard T. Lee,69.375,2.0,8.0,0.0,0.0,-1.435,2026
4348444,Tom McKibbin,69.75,2.0,8.0,0.0,0.0,-1.623,2026
4383,Branden Grace,68.0,2.0,8.0,0.0,2.0,-0.748,2026
4412121,Matthew Wolff,69.75,2.0,8.0,0.0,0.0,-1.623,2026
455,Lee Westwood,0.0,2.0,7.0,0.0,0.0,33.252,2026
4566423,Yosuke Asaji,69.0,2.0,8.0,0.0,0.0,-1.248,2026
4645,Cameron Tringale,71.5,2.0,8.0,0.0,0.0,-2.498,2026
4714133,Elvis Smylie,67.875,2.0,8.0,0.0,1.0,-0.685,2026
4837,Thomas Detry,68.625,2.0,8.0,0.0,1.0,-1.06,2026
4875232,Ben Schmidt,70.5,2.0,8.0,0.0,0.0,-1.998,2026
4895429,David Puig,69.25,2.0,8.0,0.0,1.0,-1.373,2026
4896418,Minkyu Kim,70.125,2.0,8.0,0.0,0.0,-1.81,2026
4989,Anirban Lahiri,70.25,2.0,8.0,0.0,0.0,-1.873,2026
5104245,Luis Masaveu,70.25,2.0,8.0,0.0,0.0,-1.873,2026
5110034,Caleb Surratt,69.375,2.0,8.0,0.0,0.0,-1.435,2026
5152205,Josele Ballester,69.625,2.0,8.0,0.0,0.0,-1.56,2026
5285,Byeong Hun An,68.625,2.0,8.0,0.0,1.0,-1.06,2026
5289812,Michael La Sasso,70.125,2.0,8.0,0.0,0.0,-1.81,2026
5532,Carlos Ortiz,69.5,2.0,8.0,0.0,0.0,-1.498,2026
5550,Laurie Canter,70.75,2.0,8.0,0.0,0.0,-2.123,2026
5553,Tyrrell Hatton,69.0,2.0,8.0,0.0,1.0,-1.248,2026
5830,Dean Burmester,69.375,2.0,8.0,0.0,1.0,-1.435,2026
619,Ian Poulter,69.875,2.0,8.0,0.0,0.0,-1.685,2026
6266,Miguel Tabuena,70.75,2.0,8.0,0.0,0.0,-2.123,2026
6789,Björn Hellgren,70.625,2.0,8.0,0.0,0.0,-2.06,2026
6991,Harold Varner III,70.125,2.0,8.0,0.0,0.0,-1.81,2026
7011,Ben Campbell,69.125,2.0,8.0,0.0,0.0,-1.31,2026
72,Paul Casey,70.5,2.0,8.0,0.0,0.0,-1.998,2026
780,Bubba Watson,70.5,2.0,8.0,0.0,0.0,-1.998,2026
9031,Thomas Pieters,68.375,2.0,8.0,0.0,1.0,-0.935,2026
9131,Cameron Smith,68.25,2.0,8.0,0.0,1.0,-0.873,2026
9261,Abraham Ancer,67.75,2.0,8.0,0.0,1.0,-0.623,2026
9513,Talor Gooch,68.5,2.0,8.0,0.0,0.0,-0.998,2026
9568,Ollie Schniederjans,71.5,1.0,4.0,0.0,0.0,-2.498,2026
9780,Jon Rahm,66.625,2.0,8.0,0.0,2.0,-0.06,2026
9963,Scott Vincent,68.875,2.0,8.0,0.0,0.0,-1.185,2026
