player_id,player_name,rank,stat_id,stat_name,stat_component,stat_value,tournament_id,tournament_name,year
48081,Xander Schauffele,1,02567,Strokes Gained: Total,Avg,.845,R2022060,TOUR Championship,2022
48081,Xander Schauffele,1,02567,Strokes Gained: Total,Total SG:OTT,3.382,R2022060,TOUR Championship,2022
48081,Xander Schauffele,1,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
35450,Patrick Cantlay,2,02567,Strokes Gained: Total,Avg,.754,R2022060,TOUR Championship,2022
35450,Patrick Cantlay,2,02567,Strokes Gained: Total,Total SG:OTT,3.018,R2022060,TOUR Championship,2022
35450,Patrick Cantlay,2,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
33448,Justin Thomas,3,02567,Strokes Gained: Total,Avg,.628,R2022060,TOUR Championship,2022
33448,Justin Thomas,3,02567,Strokes Gained: Total,Total SG:OTT,2.513,R2022060,TOUR Championship,2022
33448,Justin Thomas,3,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
39977,Max Homa,4,02567,Strokes Gained: Total,Avg,.580,R2022060,TOUR Championship,2022
39977,Max Homa,4,02567,Strokes Gained: Total,Total SG:OTT,2.319,R2022060,TOUR Championship,2022
39977,Max Homa,4,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
28237,Rory McIlroy,5,02567,Strokes Gained: Total,Avg,.557,R2022060,TOUR Championship,2022
28237,Rory McIlroy,5,02567,Strokes Gained: Total,Total SG:OTT,2.230,R2022060,TOUR Championship,2022
28237,Rory McIlroy,5,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
46046,Scottie Scheffler,6,02567,Strokes Gained: Total,Avg,.535,R2022060,TOUR Championship,2022
46046,Scottie Scheffler,6,02567,Strokes Gained: Total,Total SG:OTT,2.140,R2022060,TOUR Championship,2022
46046,Scottie Scheffler,6,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
39971,Sungjae Im,7,02567,Strokes Gained: Total,Avg,.516,R2022060,TOUR Championship,2022
39971,Sungjae Im,7,02567,Strokes Gained: Total,Total SG:OTT,2.065,R2022060,TOUR Championship,2022
39971,Sungjae Im,7,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
57366,Cameron Young,8,02567,Strokes Gained: Total,Avg,.462,R2022060,TOUR Championship,2022
57366,Cameron Young,8,02567,Strokes Gained: Total,Total SG:OTT,1.848,R2022060,TOUR Championship,2022
57366,Cameron Young,8,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
45486,Joaquin Niemann,9,02567,Strokes Gained: Total,Avg,.426,R2022060,TOUR Championship,2022
45486,Joaquin Niemann,9,02567,Strokes Gained: Total,Total SG:OTT,1.704,R2022060,TOUR Championship,2022
45486,Joaquin Niemann,9,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
40098,Matt Fitzpatrick,10,02567,Strokes Gained: Total,Avg,.272,R2022060,TOUR Championship,2022
40098,Matt Fitzpatrick,10,02567,Strokes Gained: Total,Total SG:OTT,1.089,R2022060,TOUR Championship,2022
40098,Matt Fitzpatrick,10,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
50525,Collin Morikawa,11,02567,Strokes Gained: Total,Avg,.225,R2022060,TOUR Championship,2022
50525,Collin Morikawa,11,02567,Strokes Gained: Total,Total SG:OTT,.901,R2022060,TOUR Championship,2022
50525,Collin Morikawa,11,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
29725,Tony Finau,12,02567,Strokes Gained: Total,Avg,.191,R2022060,TOUR Championship,2022
29725,Tony Finau,12,02567,Strokes Gained: Total,Total SG:OTT,.765,R2022060,TOUR Championship,2022
29725,Tony Finau,12,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
39997,Corey Conners,13,02567,Strokes Gained: Total,Avg,.021,R2022060,TOUR Championship,2022
39997,Corey Conners,13,02567,Strokes Gained: Total,Total SG:OTT,.086,R2022060,TOUR Championship,2022
39997,Corey Conners,13,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
34046,Jordan Spieth,14,02567,Strokes Gained: Total,Avg,.010,R2022060,TOUR Championship,2022
34046,Jordan Spieth,14,02567,Strokes Gained: Total,Total SG:OTT,.040,R2022060,TOUR Championship,2022
34046,Jordan Spieth,14,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
24502,Adam Scott,15,02567,Strokes Gained: Total,Avg,-.061,R2022060,TOUR Championship,2022
24502,Adam Scott,15,02567,Strokes Gained: Total,Total SG:OTT,-.242,R2022060,TOUR Championship,2022
24502,Adam Scott,15,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
46970,Jon Rahm,16,02567,Strokes Gained: Total,Avg,-.072,R2022060,TOUR Championship,2022
46970,Jon Rahm,16,02567,Strokes Gained: Total,Total SG:OTT,-.286,R2022060,TOUR Championship,2022
46970,Jon Rahm,16,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
35532,Tom Hoge,17,02567,Strokes Gained: Total,Avg,-.175,R2022060,TOUR Championship,2022
35532,Tom Hoge,17,02567,Strokes Gained: Total,Total SG:OTT,-.701,R2022060,TOUR Championship,2022
35532,Tom Hoge,17,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
49771,J.T. Poston,18,02567,Strokes Gained: Total,Avg,-.199,R2022060,TOUR Championship,2022
49771,J.T. Poston,18,02567,Strokes Gained: Total,Total SG:OTT,-.794,R2022060,TOUR Championship,2022
49771,J.T. Poston,18,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
49964,Aaron Wise,19,02567,Strokes Gained: Total,Avg,-.238,R2022060,TOUR Championship,2022
49964,Aaron Wise,19,02567,Strokes Gained: Total,Total SG:OTT,-.950,R2022060,TOUR Championship,2022
49964,Aaron Wise,19,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
46717,Viktor Hovland,20,02567,Strokes Gained: Total,Avg,-.243,R2022060,TOUR Championship,2022
46717,Viktor Hovland,20,02567,Strokes Gained: Total,Total SG:OTT,-.973,R2022060,TOUR Championship,2022
46717,Viktor Hovland,20,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
29420,Billy Horschel,21,02567,Strokes Gained: Total,Avg,-.296,R2022060,TOUR Championship,2022
29420,Billy Horschel,21,02567,Strokes Gained: Total,Total SG:OTT,-1.185,R2022060,TOUR Championship,2022
29420,Billy Horschel,21,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
35891,Cameron Smith,22,02567,Strokes Gained: Total,Avg,-.305,R2022060,TOUR Championship,2022
35891,Cameron Smith,22,02567,Strokes Gained: Total,Total SG:OTT,-1.218,R2022060,TOUR Championship,2022
35891,Cameron Smith,22,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
32839,Hideki Matsuyama,23,02567,Strokes Gained: Total,Avg,-.385,R2022060,TOUR Championship,2022
32839,Hideki Matsuyama,23,02567,Strokes Gained: Total,Total SG:OTT,-1.540,R2022060,TOUR Championship,2022
32839,Hideki Matsuyama,23,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
27644,Brian Harman,24,02567,Strokes Gained: Total,Avg,-.412,R2022060,TOUR Championship,2022
27644,Brian Harman,24,02567,Strokes Gained: Total,Total SG:OTT,-1.647,R2022060,TOUR Championship,2022
27644,Brian Harman,24,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
49960,Sepp Straka,25,02567,Strokes Gained: Total,Avg,-.477,R2022060,TOUR Championship,2022
49960,Sepp Straka,25,02567,Strokes Gained: Total,Total SG:OTT,-1.908,R2022060,TOUR Championship,2022
49960,Sepp Straka,25,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
30692,Scott Stallings,26,02567,Strokes Gained: Total,Avg,-.589,R2022060,TOUR Championship,2022
30692,Scott Stallings,26,02567,Strokes Gained: Total,Total SG:OTT,-2.354,R2022060,TOUR Championship,2022
30692,Scott Stallings,26,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
51634,Sahith Theegala,27,02567,Strokes Gained: Total,Avg,-.678,R2022060,TOUR Championship,2022
51634,Sahith Theegala,27,02567,Strokes Gained: Total,Total SG:OTT,-2.712,R2022060,TOUR Championship,2022
51634,Sahith Theegala,27,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
32791,K.H. Lee,28,02567,Strokes Gained: Total,Avg,-.878,R2022060,TOUR Championship,2022
32791,K.H. Lee,28,02567,Strokes Gained: Total,Total SG:OTT,-3.512,R2022060,TOUR Championship,2022
32791,K.H. Lee,28,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
47504,Sam Burns,29,02567,Strokes Gained: Total,Avg,-1.019,R2022060,TOUR Championship,2022
47504,Sam Burns,29,02567,Strokes Gained: Total,Total SG:OTT,-4.075,R2022060,TOUR Championship,2022
47504,Sam Burns,29,02567,Strokes Gained: Total,Measured Rounds,4,R2022060,TOUR Championship,2022
28237,Rory McIlroy,1,02567,Strokes Gained: Total,Avg,1.386,R2022028,BMW Championship,2022
28237,Rory McIlroy,1,02567,Strokes Gained: Total,Total SG:OTT,5.545,R2022028,BMW Championship,2022
28237,Rory McIlroy,1,02567,Strokes Gained: Total,Measured Rounds,4,R2022028,BMW Championship,2022
46970,Jon Rahm,2,02567,Strokes Gained: Total,Avg,1.169,R2022028,BMW Championship,2022
46970,Jon Rahm,2,02567,Strokes Gained: Total,Total SG:OTT,4.678,R2022028,BMW Championship,2022
