player_id,player_name,sg_total,sg_total_years,sg_total_latest,sg_ott,sg_ott_years,sg_ott_latest,sg_app,sg_app_years,sg_app_latest,sg_putt,sg_putt_years,sg_putt_latest,scoring_avg,scoring_avg_years,scoring_avg_latest,course_fit_score,course_fit_rank,dominant_skill,course_name,rough_difficulty,fw_width,course_yardage,course_par,tournament_id,tournament_name,generated_at
34409,David Lingmerth,-0.199,1.0,-0.199,1.574,1.0,1.574,0.985,1.0,0.985,-0.148,1.0,-0.148,67.785,1.0,67.785,0.993,1,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
27936,Martin Laird,-0.594,1.0,-0.594,0.299,1.0,0.299,1.402,1.0,1.402,0.8,1.0,0.8,69.094,1.0,69.094,0.773,2,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
23621,Rory Sabbatini,-0.442,1.0,-0.442,-0.105,1.0,-0.105,1.806,1.0,1.806,-0.959,1.0,-0.959,69.698,1.0,69.698,0.757,3,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
51349,Nico Echavarria,-0.849,1.0,-0.849,0.657,1.0,0.657,1.1,1.0,1.1,0.499,1.0,0.499,69.594,1.0,69.594,0.749,4,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
48117,Kurt Kitayama,0.095,1.0,0.095,1.77,1.0,1.77,0.066,1.0,0.066,1.369,1.0,1.369,66.698,1.0,66.698,0.692,5,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
35461,Beau Hossler,-0.785,3.0,-1.618,1.348,3.0,2.082,0.445,3.0,0.633,0.028,3.0,-0.218,69.839,3.0,70.121,0.673,6,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
31557,Jim Herman,-0.018,1.0,-0.018,0.676,1.0,0.676,0.938,1.0,0.938,0.116,1.0,0.116,68.285,1.0,68.285,0.668,7,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
34466,Peter Malnati,-0.285,1.0,-0.285,1.229,1.0,1.229,0.458,1.0,0.458,0.505,1.0,0.505,69.094,1.0,69.094,0.654,8,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
25632,Jimmy Walker,-1.105,1.0,-1.105,0.714,1.0,0.714,0.863,1.0,0.863,-0.009,1.0,-0.009,69.535,1.0,69.535,0.643,9,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
39327,Ben Silverman,0.295,1.0,0.295,1.049,1.0,1.049,0.628,1.0,0.628,-0.316,1.0,-0.316,69.344,1.0,69.344,0.641,10,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
52374,Brandon Wu,0.594,1.0,0.594,1.881,1.0,1.881,0.009,1.0,0.009,-0.772,1.0,-0.772,68.285,1.0,68.285,0.632,11,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
48887,Matt Wallace,-1.175,1.0,-1.175,1.977,1.0,1.977,-0.15,1.0,-0.15,0.31,1.0,0.31,69.035,1.0,69.035,0.629,12,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
54304,Karl Vilips,-0.308,1.0,-0.308,0.945,1.0,0.945,0.704,1.0,0.704,-0.711,1.0,-0.711,70.371,1.0,70.371,0.626,13,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
27644,Brian Harman,0.123,1.0,0.123,1.198,1.0,1.198,0.517,1.0,0.517,-0.959,1.0,-0.959,70.121,1.0,70.121,0.62,14,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
33674,Adrian Meronk,0.058,1.0,0.058,0.988,1.0,0.988,0.584,1.0,0.584,0.082,1.0,0.082,68.285,1.0,68.285,0.613,15,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
48119,Ben Taylor,-1.08,1.0,-1.08,0.416,1.0,0.416,0.826,1.0,0.826,2.3,1.0,2.3,67.535,1.0,67.535,0.601,16,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
47079,Harrison Endycott,-0.47,1.0,-0.47,1.549,1.0,1.549,0.13,1.0,0.13,0.003,1.0,0.003,68.785,1.0,68.785,0.598,17,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
58168,Davis Thompson,-0.292,1.0,-0.292,0.178,1.0,0.178,1.211,1.0,1.211,-0.691,1.0,-0.691,70.594,1.0,70.594,0.593,18,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
33204,Shane Lowry,0.313,4.0,0.073,1.45,4.0,1.386,0.148,4.0,0.314,0.235,4.0,-0.144,68.553,4.0,69.371,0.58,19,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
50493,Justin Suh,1.069,1.0,1.069,1.546,1.0,1.546,0.089,1.0,0.089,-0.242,1.0,-0.242,67.535,1.0,67.535,0.57,20,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
49960,Sepp Straka,0.671,3.0,0.633,1.391,3.0,1.279,0.16,3.0,0.316,-0.044,3.0,-0.599,68.393,3.0,69.371,0.555,21,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
35110,Brett Drewitt,-0.68,2.0,-0.683,1.096,2.0,1.622,0.357,2.0,0.045,-0.114,2.0,-0.021,69.339,2.0,69.035,0.54,22,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
45242,Kevin Yu,0.72,1.0,0.72,1.063,1.0,1.063,0.334,1.0,0.334,-0.21,1.0,-0.21,69.094,1.0,69.094,0.515,23,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
39067,MJ Daffue,0.643,1.0,0.643,0.947,1.0,0.947,0.45,1.0,0.45,-0.578,1.0,-0.578,68.535,1.0,68.535,0.515,23,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
27349,Alex Noren,0.116,2.0,0.033,1.412,2.0,1.433,0.02,2.0,0.035,0.457,2.0,0.405,68.745,2.0,69.094,0.515,23,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
51950,Max McGreevy,0.403,1.0,0.403,1.105,1.0,1.105,0.203,1.0,0.203,0.668,1.0,0.668,68.621,1.0,68.621,0.499,26,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
59095,Chris Gotterup,-0.627,1.0,-0.627,1.754,1.0,1.754,-0.259,1.0,-0.259,0.038,1.0,0.038,70.094,1.0,70.094,0.492,27,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
47679,Victor Perez,0.502,2.0,0.526,0.888,2.0,1.268,0.418,2.0,0.307,-0.31,2.0,-0.722,69.502,2.0,69.621,0.489,28,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
25493,Nick Taylor,0.043,1.0,0.043,1.435,1.0,1.435,-0.011,1.0,-0.011,-0.166,1.0,-0.166,68.698,1.0,68.698,0.488,29,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
29484,Peter Uihlein,-0.569,1.0,-0.569,0.855,1.0,0.855,0.462,1.0,0.462,-0.697,1.0,-0.697,69.948,1.0,69.948,0.485,30,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
57362,Austin Eckroat,0.885,1.0,0.885,1.459,1.0,1.459,-0.118,1.0,-0.118,0.93,1.0,0.93,67.844,1.0,67.844,0.484,31,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
49298,Kramer Hickok,0.383,1.0,0.383,1.201,1.0,1.201,0.147,1.0,0.147,-0.019,1.0,-0.019,68.285,1.0,68.285,0.484,31,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
46441,Robby Shelton,0.565,1.0,0.565,0.848,1.0,0.848,0.423,1.0,0.423,-0.374,1.0,-0.374,68.535,1.0,68.535,0.476,33,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
31323,Gary Woodland,0.408,1.0,0.408,0.53,1.0,0.53,0.577,1.0,0.577,0.785,1.0,0.785,67.698,1.0,67.698,0.475,34,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
31560,Brian Stuard,0.118,1.0,0.118,0.82,1.0,0.82,0.371,1.0,0.371,0.491,1.0,0.491,68.198,1.0,68.198,0.471,35,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
51977,Max Greyserman,-0.486,2.0,-0.252,0.562,2.0,0.866,0.548,2.0,0.484,0.481,2.0,0.531,69.895,2.0,69.371,0.462,36,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
39975,Michael Kim,0.716,1.0,0.716,0.594,1.0,0.594,0.534,1.0,0.534,0.284,1.0,0.284,68.871,1.0,68.871,0.46,37,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
40115,Adam Svensson,-0.011,2.0,-0.422,0.586,2.0,0.39,0.548,2.0,0.242,-0.214,2.0,0.253,69.089,2.0,69.535,0.447,38,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
27554,Scott Harrington,0.027,1.0,0.027,0.999,1.0,0.999,0.221,1.0,0.221,-0.035,1.0,-0.035,68.785,1.0,68.785,0.447,38,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
39324,J.J. Spaun,0.386,2.0,0.438,0.55,2.0,0.38,0.496,2.0,0.823,0.83,2.0,0.987,68.536,2.0,68.371,0.446,40,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
57364,Michael Thorbjornsen,0.162,1.0,0.162,0.989,1.0,0.989,0.259,1.0,0.259,-0.782,1.0,-0.782,70.371,1.0,70.371,0.436,41,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
56762,Will Gordon,-0.465,1.0,-0.465,0.896,1.0,0.896,0.264,1.0,0.264,0.017,1.0,0.017,69.285,1.0,69.285,0.433,42,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
51600,Jimmy Stanger,0.009,1.0,0.009,0.6,1.0,0.6,0.5,1.0,0.5,-0.202,1.0,-0.202,70.094,1.0,70.094,0.43,43,SG: Approach,PGA National Resort (The Champion),0.24,29.5,7020,70,R2026010,Cognizant Classic,2026-02-24 19:29
