player_name,current_pos,current_score,R1,R2,R3,R4,thru,today
"Fitzpatrick, Matt",1,-13,65.0,64.0,,,18,-7
"Winther, Jeff",2,-12,66.0,64.0,,,18,-7
"Gerard, Ryan",T4,-10,67.0,65.0,,,18,-6
"Kim, Michael",3,-11,63.0,68.0,,,18,-3
"Vaillant, Tom",T4,-10,67.0,65.0,,,18,-6
"Reitan, Kristoffer",10,-8,65.0,69.0,,,18,-2
"Hovland, Viktor",T11,-7,67.0,68.0,,,18,-3
"Fleetwood, Tommy",T17,-6,69.0,67.0,,,18,-4
"De Leo, Gregorio",T6,-9,65.0,68.0,,,18,-3
"Lawrence, Thriston",T6,-9,65.0,68.0,,,18,-3
"Hidalgo, Angel",T6,-9,67.0,66.0,,,18,-5
"Aberg, Ludvig",T30,-5,71.0,66.0,,,18,-5
"Siem, Marcel",T6,-9,69.0,64.0,,,18,-7
"Rozner, Antoine",T11,-7,67.0,68.0,,,18,-3
"Laporta, Francesco",T11,-7,68.0,67.0,,,18,-4
"Manassero, Matteo",T11,-7,65.0,70.0,,,18,-1
"Pieters, Thomas",T17,-6,69.0,67.0,,,18,-4
"Bairstow, Sam",T17,-6,65.0,71.0,,,18,0
"Dean, Joe",T17,-6,70.0,66.0,,,18,-5
"Guerrier, Julien",T17,-6,66.0,70.0,,,18,-1
"Ayora, Angel",T30,-5,70.0,67.0,,,18,-4
"Scrivener, Jason",T11,-7,65.0,70.0,,,18,-1
"Girrbach, Joel",T17,-6,69.0,67.0,,,18,-4
"Kimsey, Nathan",T30,-5,70.0,,,,17,-4
"Chacarra, Eugenio",T39,-4,70.0,68.0,,,18,-3
"Detry, Thomas",T39,-4,70.0,68.0,,,18,-3
"Celli, Filippo",T17,-6,72.0,64.0,,,18,-7
"Zhou, Yanhan",T17,-6,66.0,70.0,,,18,-1
"Ferguson, Ewen",T39,-4,68.0,70.0,,,18,-1
"Elvira Mijares, Ignacio",T30,-5,68.0,69.0,,,18,-2
"Stone, Brandon",T30,-5,66.0,71.0,,,18,0
