tournament_id,card_id,title,subtitle,card_label,content_card_type,sort_order,bet_count,odds_american,odds_decimal,selection_count,selection_labels,selection_ids,selection_labels_json,selection_ids_json,market_ids_json,selection_event_ids_json,selection_event_names_json,selection_event_names,background_image_url,end_date,fetched_at
R2026027,2018a110-cb04-4129-900d-1a8510d023af,2025 Repeat,Rose & Spaun competed in a playoff in the 2025 FedEx St. Jude Championship,SGP,PreLive,470,135.0,2200,23.0,2,Justin Rose to Finish Top 10 | J.J. Spaun to Finish Top 10,0QA358914239#2240862491_13L41404Q118450Q2-1723698264 | 0QA358914239#2240862508_13L41404Q1320684Q2-1701585659,"[""Justin Rose to Finish Top 10"", ""J.J. Spaun to Finish Top 10""]","[""0QA358914239#2240862491_13L41404Q118450Q2-1723698264"", ""0QA358914239#2240862508_13L41404Q1320684Q2-1701585659""]","[""358914239"", ""358914239""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/bb38ad27-ce81-45a3-a831-20c4ba623d24.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,1cfa04a5-fc42-4f96-ba5c-5387a2067cb8,Stars Of Europe,"Select McIlroy, Fleetwood, Fitzpatrick & Aberg to show out in the FedEx Cup playoffs!",SGP,PreLive,480,120.0,1400,15.0,4,Rory McIlroy to Finish Top 10 | Tommy Fleetwood to Finish Top 10 | Matt Fitzpatrick to Finish Top 20 | Ludvig Aberg to Finish Top 20,0QA358914239#2240862503_13L41404Q141899Q2-348003388 | 0QA358914239#2240862485_13L41404Q1118101Q2-833625473 | 0QA358914240#2240862572_13L41404Q1804539Q2-109802054 | 0QA358914240#2240862555_13L41404Q1559089Q2-1066266889,"[""Rory McIlroy to Finish Top 10"", ""Tommy Fleetwood to Finish Top 10"", ""Matt Fitzpatrick to Finish Top 20"", ""Ludvig Aberg to Finish Top 20""]","[""0QA358914239#2240862503_13L41404Q141899Q2-348003388"", ""0QA358914239#2240862485_13L41404Q1118101Q2-833625473"", ""0QA358914240#2240862572_13L41404Q1804539Q2-109802054"", ""0QA358914240#2240862555_13L41404Q1559089Q2-1066266889""]","[""358914239"", ""358914239"", ""358914240"", ""358914240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/49532ada-262d-4f5b-b4c2-2bd048edd155.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,21f5a745-ee0e-442c-8a29-453f3170ff37,Southwind Stack,2025 Results: Rose (1st) Spaun (2nd) Fleetwood/Scheffler (T-3rd) Young (5th),SGP,PreLive,485,201.0,1800,19.0,5,Justin Rose to Finish Top 20 | J.J. Spaun to Finish Top 20 | Tommy Fleetwood to Finish Top 20 | Scottie Scheffler to Finish Top 20 | Cameron Young to Finish Top 20,0QA358914240#2240862548_13L41404Q118450Q2530247685 | 0QA358914240#2240862592_13L41404Q1320684Q2-285003608 | 0QA358914240#2240862553_13L41404Q1118101Q21978779059 | 0QA358914240#2240862559_13L41404Q1350842Q21002122475 | 0QA358914240#2240862528_13L41404Q1202156Q2-1602534688,"[""Justin Rose to Finish Top 20"", ""J.J. Spaun to Finish Top 20"", ""Tommy Fleetwood to Finish Top 20"", ""Scottie Scheffler to Finish Top 20"", ""Cameron Young to Finish Top 20""]","[""0QA358914240#2240862548_13L41404Q118450Q2530247685"", ""0QA358914240#2240862592_13L41404Q1320684Q2-285003608"", ""0QA358914240#2240862553_13L41404Q1118101Q21978779059"", ""0QA358914240#2240862559_13L41404Q1350842Q21002122475"", ""0QA358914240#2240862528_13L41404Q1202156Q2-1602534688""]","[""358914240"", ""358914240"", ""358914240"", ""358914240"", ""358914240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/d8181d2d-a9ed-436b-a747-781172e772b6.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,9452d3e7-28f6-431d-bcdb-c763090ea185,Fairway Finders,All of these golfers rank Top 10 in driving accuracy on the PGA Tour!,SGP,PreLive,487,,380,4.8,3,R. Henley Over 9.5 R1 Fairways Hit | A. Rai Over 9.5 R1 Fairways Hit | C. Morikawa Over 9.5 R1 Fairways Hit,0QA359419697#2243012770_13L41404Q11078746459Q20 | 0QA359419622#2243012575_13L41404Q11078746459Q20 | 0QA359419585#2243012479_13L41404Q11078746459Q20,"[""R. Henley Over 9.5 R1 Fairways Hit"", ""A. Rai Over 9.5 R1 Fairways Hit"", ""C. Morikawa Over 9.5 R1 Fairways Hit""]","[""0QA359419697#2243012770_13L41404Q11078746459Q20"", ""0QA359419622#2243012575_13L41404Q11078746459Q20"", ""0QA359419585#2243012479_13L41404Q11078746459Q20""]","[""359419697"", ""359419622"", ""359419585""]","[""34512435"", ""34512455"", ""34512458""]",[],,https://gaming.draftkings.com/en/api/merchandising/images/v1/images/19ea0190-6999-4691-aaa2-c41ebff139a7.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,0f18a1f6-0195-4a36-b1d0-e6443fba1641,Winner's Circle,Take these golfers who have multiple wins this season to finish Top 20,SGP,PreLive,490,242.0,1200,13.0,4,Matt Fitzpatrick to Finish Top 20 | Chris Gotterup to Finish Top 20 | Cameron Young to Finish Top 20 | Wyndham Clark to Finish Top 20,0QA358914240#2240862572_13L41404Q1804539Q2-109802054 | 0QA358914240#2240862583_13L41404Q11592957Q2281394474 | 0QA358914240#2240862528_13L41404Q1202156Q2-1602534688 | 0QA358914240#2240862569_13L41404Q1444400Q2-734146507,"[""Matt Fitzpatrick to Finish Top 20"", ""Chris Gotterup to Finish Top 20"", ""Cameron Young to Finish Top 20"", ""Wyndham Clark to Finish Top 20""]","[""0QA358914240#2240862572_13L41404Q1804539Q2-109802054"", ""0QA358914240#2240862583_13L41404Q11592957Q2281394474"", ""0QA358914240#2240862528_13L41404Q1202156Q2-1602534688"", ""0QA358914240#2240862569_13L41404Q1444400Q2-734146507""]","[""358914240"", ""358914240"", ""358914240"", ""358914240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/ec1439a7-9e41-4507-a2a6-55d20d2863d8.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,fe86ecd6-f18e-4efb-b160-8c5ea9dce442,Going Low,Each rank Top 10 in scoring average this season! ,SGP,PreLive,492,,675,7.75,4,S. Scheffler Under 67.5 Round 1 Score | J. Knapp Under 69.5 Round 1 Score | C. Morikawa Under 68.5 Round 1 Score | T. Kim Under 68.5 Round 1 Score,0QA359411179#2242987082_13L41404Q1-2025070710Q20 | 0QA359411680#2242988669_13L41404Q1422132179Q20 | 0QA359410634#2242986330_13L41404Q1-1087151722Q20 | 0QA359410782#2242986451_13L41404Q1-1087151722Q20,"[""S. Scheffler Under 67.5 Round 1 Score"", ""J. Knapp Under 69.5 Round 1 Score"", ""C. Morikawa Under 68.5 Round 1 Score"", ""T. Kim Under 68.5 Round 1 Score""]","[""0QA359411179#2242987082_13L41404Q1-2025070710Q20"", ""0QA359411680#2242988669_13L41404Q1422132179Q20"", ""0QA359410634#2242986330_13L41404Q1-1087151722Q20"", ""0QA359410782#2242986451_13L41404Q1-1087151722Q20""]","[""359411179"", ""359411680"", ""359410634"", ""359410782""]","[""34512430"", ""34512446"", ""34512458"", ""34512429""]",[],,https://gaming.draftkings.com/en/api/merchandising/images/v1/images/a9081ae9-9ed0-429e-8fe4-5e80bb844c2c.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,050c1112-6ade-4232-8ed8-fa3f25483118,Super Swings,These golfers each rank Top 10 in the World Golf Rankings,SGP,PreLive,495,396.0,650,7.5,5,Scottie Scheffler to Finish Top 20 | Rory McIlroy to Finish Top 20 | Cameron Young to Finish Top 20 | Matt Fitzpatrick to Finish Top 20 | Tommy Fleetwood to Finish Top 20,0QA358914240#2240862559_13L41404Q1350842Q21002122475 | 0QA358914240#2240862534_13L41404Q141899Q2534333610 | 0QA358914240#2240862528_13L41404Q1202156Q2-1602534688 | 0QA358914240#2240862572_13L41404Q1804539Q2-109802054 | 0QA358914240#2240862553_13L41404Q1118101Q21978779059,"[""Scottie Scheffler to Finish Top 20"", ""Rory McIlroy to Finish Top 20"", ""Cameron Young to Finish Top 20"", ""Matt Fitzpatrick to Finish Top 20"", ""Tommy Fleetwood to Finish Top 20""]","[""0QA358914240#2240862559_13L41404Q1350842Q21002122475"", ""0QA358914240#2240862534_13L41404Q141899Q2534333610"", ""0QA358914240#2240862528_13L41404Q1202156Q2-1602534688"", ""0QA358914240#2240862572_13L41404Q1804539Q2-109802054"", ""0QA358914240#2240862553_13L41404Q1118101Q21978779059""]","[""358914240"", ""358914240"", ""358914240"", ""358914240"", ""358914240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/2b601d05-c618-4188-be03-1878afe355dc.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,cf4b6a6f-f165-4bc7-9bc8-ef55b8fb3bcb,Fore Play's Golf Parlay,The Barstool Sports podcast members                       each pick a golfer this weekend!,SGP,PreLive,497,,1100,12.0,3,Si Woo Kim to Finish Top 20 | Tommy Fleetwood to Finish Top 20 | Sepp Straka to Finish Top 20,0QA358914240#2240862566_13L41404Q1124719Q2-1007643654 | 0QA358914240#2240862553_13L41404Q1118101Q21978779059 | 0QA358914240#2240862556_13L41404Q1349774Q2-551703223,"[""Si Woo Kim to Finish Top 20"", ""Tommy Fleetwood to Finish Top 20"", ""Sepp Straka to Finish Top 20""]","[""0QA358914240#2240862566_13L41404Q1124719Q2-1007643654"", ""0QA358914240#2240862553_13L41404Q1118101Q21978779059"", ""0QA358914240#2240862556_13L41404Q1349774Q2-551703223""]","[""358914240"", ""358914240"", ""358914240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/3088ad3f-579b-4f7b-b1ac-e91bbb0314bb.jpg,2026-08-17T01:55:00Z,2026-08-12T20:34:19Z
R2026027,a2e59d33-030a-4988-afdb-23fe26a3519d,Leaderboard Ladder,From Top 5 to Top 40 back these stars to finish near the top!,SGPx,PreLive,498,181.0,890,9.9,5,Scottie Scheffler to Finish Top 5 | Rory McIlroy to Finish Top 10 | Tommy Fleetwood to Finish Top 20 | Cameron Young to Finish Top 30 | Ludvig Aberg to Finish Top 40,0QA358914238#2240862434_13L41404Q1350842Q2240220298 | 0QA358914239#2240862503_13L41404Q141899Q2-348003388 | 0QA358914240#2240862553_13L41404Q1118101Q21978779059 | 0QA358785237#2242258536_13L41404Q1202156Q2-1 | 0QA358785240#2242258327_13L41404Q1559089Q2-1,"[""Scottie Scheffler to Finish Top 5"", ""Rory McIlroy to Finish Top 10"", ""Tommy Fleetwood to Finish Top 20"", ""Cameron Young to Finish Top 30"", ""Ludvig Aberg to Finish Top 40""]","[""0QA358914238#2240862434_13L41404Q1350842Q2240220298"", ""0QA358914239#2240862503_13L41404Q141899Q2-348003388"", ""0QA358914240#2240862553_13L41404Q1118101Q21978779059"", ""0QA358785237#2242258536_13L41404Q1202156Q2-1"", ""0QA358785240#2242258327_13L41404Q1559089Q2-1""]","[""358914238"", ""358914239"", ""358914240"", ""358785237"", ""358785240""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/f814d987-491f-484e-933f-1a3f65bdcc6a.png,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
R2026027,7fa6377a-333f-4ace-9fbe-e723ea7d3a3a,Playoff Performers,Back the golfers with the most FedEx Cup Points to finish Top 10 this weekend,SGP,PreLive,500,568.0,900,10.0,3,Scottie Scheffler to Finish Top 10 | Matt Fitzpatrick to Finish Top 10 | Cameron Young to Finish Top 10,0QA358914239#2240862512_13L41404Q1350842Q2796064903 | 0QA358914239#2240862465_13L41404Q1804539Q2-650875627 | 0QA358914239#2240862517_13L41404Q1202156Q2-1127038129,"[""Scottie Scheffler to Finish Top 10"", ""Matt Fitzpatrick to Finish Top 10"", ""Cameron Young to Finish Top 10""]","[""0QA358914239#2240862512_13L41404Q1350842Q2796064903"", ""0QA358914239#2240862465_13L41404Q1804539Q2-650875627"", ""0QA358914239#2240862517_13L41404Q1202156Q2-1127038129""]","[""358914239"", ""358914239"", ""358914239""]","[""a866005d-aa06-4edd-6293-08def5f49ccf""]","[""Top 10 (Including Ties)""]",Top 10 (Including Ties),https://gaming.draftkings.com/en/api/merchandising/images/v1/images/af3b937c-d9b3-4fec-b402-09914cc862fd.jpg,2026-08-16T16:00:00Z,2026-08-12T20:34:19Z
