rank,player_name,odds_kalshi,win_prob,implied_prob_consensus,odds_consensus,odds_best,odds_worst,num_books,odds_spread,value_spread_pct,event_name,source,market_ticker,volume,liquidity,yes_ask,yes_bid
1,Akshay Bhatia,440,0.185,0.185,440,440,440,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-ABHA,1541715,38463673,19,18
2,Ryo Hisatsune,589,0.145,0.145,589,589,589,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-RHIS,1828943,28094548,15,14
3,Sam Burns,700,0.125,0.125,700,700,700,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-SBUR,598287,27642372,13,12
4,Rickie Fowler,700,0.125,0.125,700,700,700,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-RFOW,562397,28649638,13,12
5,Sepp Straka,1438,0.065,0.065,1438,1438,1438,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-SSTR,632721,21646282,7,6
6,Min Woo Lee,2122,0.045,0.045,2122,2122,2122,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-MLEE,513948,19107097,5,4
7,Rory McIlroy,2122,0.045,0.045,2122,2122,2122,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-RMCI,2239489,22743514,5,4
8,Xander Schauffele,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-XSCH,375042,19358975,4,3
9,Jacob Bridgeman,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-JBRI,199804,18808966,4,3
10,Jake Knapp,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-JKNA,920251,25835254,4,3
11,Hideki Matsuyama,3900,0.025,0.025,3900,3900,3900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-HMAT,678280,9102508,3,2
12,Matt Fitzpatrick,3900,0.025,0.025,3900,3900,3900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-MFIT,394895,14408443,3,2
13,Scottie Scheffler,3900,0.025,0.025,3900,3900,3900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-SSCH,3567374,11413180,3,2
14,Keegan Bradley,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-KBRA,606072,2538915,2,1
15,Russell Henley,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-RHEN,616259,7194976,2,1
16,Chris Gotterup,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-CGOT,2353545,7187582,2,1
17,Nick Taylor,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-NTAY,799791,4000154,2,1
18,Tommy Fleetwood,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-TFLE,871451,7015915,2,1
19,Jordan Spieth,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-JSPI,1379930,33810177,2,1
20,Tom Hoge,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-THOG,307427,7140893,2,1
21,Matti Schmid,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-MSCH,841,-257672,1,0
22,Brian Campbell,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-BCAM,9138,2567387,1,0
23,Kurt Kitayama,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-KKIT,7432,467786,1,0
24,Aldrich Potgieter,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-APOT,7242,2373983,1,0
25,Tony Finau,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-TFIN,600661,2467019,1,0
26,Nicolas Echavarria,9900,0.01,0.01,9900,9900,9900,1,0,0,KXPGATOUR-ATPBP26,kalshi,KXPGATOUR-ATPBP26-NECH,1037,3173764,1,0
