rank,player_name,odds_kalshi,win_prob,implied_prob_consensus,odds_consensus,odds_best,odds_worst,num_books,odds_spread,value_spread_pct,event_name,source,market_ticker,volume,liquidity,yes_ask,yes_bid
1,Scottie Scheffler,387,0.205,0.205,387,387,387,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-SSCH,137695,22506255,21,20
2,Rory McIlroy,1150,0.08,0.08,1150,1150,1150,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-RMCI,48007,9688562,9,7
3,Bryson DeChambeau,1718,0.055,0.055,1718,1718,1718,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-BDEC,100160,7564370,6,5
4,Jon Rahm,2122,0.045,0.045,2122,2122,2122,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-JRAH,15439,8042732,5,4
5,Tommy Fleetwood,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-TFLE,16923,6166657,4,3
6,Xander Schauffele,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-XSCH,68482,5863800,4,3
7,Justin Rose,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-JROS,127675,5925323,4,3
8,Ludvig Aberg,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-LABE,35889,5872689,4,3
9,Patrick Reed,2757,0.035,0.035,2757,2757,2757,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-PREE,185907,5079967,4,3
10,Hideki Matsuyama,3233,0.03,0.03,3233,3233,3233,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-HMAT,22639,5678847,4,2
11,Chris Gotterup,3900,0.025,0.025,3900,3900,3900,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-CGOT,182128,6723880,3,2
12,Viktor Hovland,3900,0.025,0.025,3900,3900,3900,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-VHOV,22753,5040776,3,2
13,Joaquin Niemann,4900,0.02,0.02,4900,4900,4900,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-JNIE,2626,2920152,2,0
14,Si Woo Kim,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-SWOO,19670,5187644,2,1
15,Tyrrell Hatton,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-THAT,94,3169490,2,1
16,Ben Griffin,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-BGRI,5526,3856547,2,1
17,Patrick Cantlay,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-PCAN,1458,2335980,2,1
18,Shane Lowry,6566,0.015,0.015,6566,6566,6566,1,0,0,KXPGATOUR-MAST26,kalshi,KXPGATOUR-MAST26-SLOW,3943,3302528,2,1
