player_name,dg_id,implied_prob,odds_american,book,n_books
"Bauchou, Zach",19846,0.0005,+200000,bet365,1
"Blair, Zac",17639,0.0002,+500000,bet365,1
"Blanchet, Chandler",24956,0.0002,+500000,bet365,1
"Bridgeman, Jacob",29433,0.05259333333333333,+1806,pinnacle,3
"Brown, Blades",32152,0.0004,+250000,bet365,1
"Byrd, Jonathan",6931,0.0002,+500000,bet365,1
"Castillo, Ricky",27819,0.058542000000000004,+1633,pinnacle,3
"Champ, Cameron",23542,0.0002,+500000,bet365,1
"Chatfield, Davis",30620,0.0002,+500000,bet365,1
"Cole, Eric",21756,0.07267533333333333,+1205,pinnacle,3
"Conners, Corey",17576,0.0002,+500000,bet365,1
"Coody, Pierceson",28309,0.0002,+500000,bet365,1
"Crowe, Trace",27780,0.0002,+500000,bet365,1
"Davis, Cam",17786,0.0002,+500000,bet365,1
"Dou, Zecheng",16757,0.005218,+19854,pinnacle,3
"Duncan, Tyler",18187,0.0004,+250000,bet365,1
"Dunlap, Nick",28270,0.0002,+500000,bet365,1
"Eckroat, Austin",26653,0.0002,+500000,bet365,1
"Fisk, Steven",26657,0.000999,+100000,bet365,1
"Garnett, Brice",11451,0.0002,+500000,bet365,1
"Ghim, Doug",24550,0.0002,+500000,bet365,1
"Glover, Lucas",7399,0.0002,+500000,bet365,1
"Gordon, Will",26660,0.0002,+500000,bet365,1
"Greyserman, Max",23465,0.03168466666666667,+3051,betcris,3
"Hadwin, Adam",13965,0.0002,+500000,bet365,1
"Higgs, Harry",14140,0.0002,+500000,bet365,1
"Hoey, Rico",23504,0.0002,+500000,bet365,1
"Horschel, Billy",11276,0.0002,+500000,bet365,1
"Hughes, Mackenzie",15556,0.006512333333333333,+15000,bet365,3
"Jaeger, Stephan",16394,0.0002,+500000,bet365,1
"James, Ben",29827,0.010466666666666666,+9979,pinnacle,3
"Kanaya, Takumi",19729,0.0002,+500000,bet365,1
"Keefer, Johnny",32457,0.007365666666666666,+13122,pinnacle,3
"Kim, Michael",17543,0.000666,+150000,bet365,1
"Kirk, Chris",12423,0.002494,+40000,bet365,1
"Kizzire, Patton",13470,0.0002,+500000,bet365,1
"Kohles, Ben",16395,0.34886066666666665,+185,betcris,3
"Koivun, Jackson",32319,0.03322133333333333,+2890,pinnacle,3
"Lebioda, Hank",21943,0.0002,+500000,bet365,1
"Li, Haotong",15310,0.012768666666666666,+8054,betcris,3
"Lower, Justin",17723,0.0002,+500000,bet365,1
"Malnati, Peter",14926,0.0002,+500000,bet365,1
"Martin, Ben",14007,0.0002,+500000,bet365,1
"Merritt, Troy",13367,0.0002,+500000,bet365,1
"Mouw, William",29770,0.0002,+500000,bet365,1
"Novak, Andrew",23475,0.001664,+60000,bet365,1
"Nyholm, Pontus",25475,0.0002,+500000,bet365,1
"Parry, John",13764,0.002849,+35000,bet365,1
"Paul, Jeremy",22087,0.0002,+500000,bet365,1
"Penge, Marco",22465,0.021076333333333332,+5047,pinnacle,3
"Peterson, Paul",16341,0.0002,+500000,bet365,1
"Phillips, Chandler",27164,0.0002,+500000,bet365,1
"Poston, J.T.",21554,0.0002,+500000,bet365,1
"Power, Seamus",10104,0.009038666666666667,+12056,betcris,3
"Putnam, Andrew",14704,0.0002,+500000,bet365,1
"Ramey, Chad",19840,0.001996,+50000,bet365,1
"Roy, Kevin",18424,0.0002,+500000,bet365,1
"Salinda, Isaiah",27183,0.0002,+500000,bet365,1
"Sargent, Gordon",30814,0.002494,+40000,bet365,1
"Schenk, Adam",19477,0.0002,+500000,bet365,1
"Shipley, Neal",32055,0.4493853333333333,+125,betcris,3
"Silverman, Ben",17381,0.0002,+500000,bet365,1
"Simpson, Webb",11049,0.0002,+500000,bet365,1
"Skinns, David",10873,0.0002,+500000,bet365,1
"Smotherman, Austin",22985,0.0004,+250000,bet365,1
"Springer, Hayden",21995,0.0002,+500000,bet365,1
"Suber, Jackson",29279,0.004227333333333334,+22670,pinnacle,3
"Svensson, Adam",13997,0.0002,+500000,bet365,1
"Taylor, Nick",13126,0.0002,+500000,bet365,1
"Thompson, Michael",12946,0.0002,+500000,bet365,1
"VanDerLaan, John",25319,0.003489,+27500,bet365,2
"Vilips, Karl",24304,0.0002,+500000,bet365,1
"Watts, Tyler",34445,0.0002,+500000,bet365,1
"Whaley, Vince",25908,0.0002,+500000,bet365,1
"Wu, Dylan",25002,0.0002,+500000,bet365,1
"Yu, Kevin",17881,0.0038780000000000004,+22500,bet365,2
