rank,player_name,odds_polymarket,win_prob,implied_prob_consensus,odds_consensus,odds_best,odds_worst,num_books,odds_spread,value_spread_pct,event_name,source,market_id,volume,liquidity
1,Akshay Bhatia,423,0.191,0.191,423,423,423,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360346,4620.751103,2702.02685
2,Sam Burns,564,0.1505,0.1505,564,564,564,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360349,7401.919706,2766.98217
3,Ryo Hisatsune,566,0.15,0.15,566,566,566,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360376,7003.138849,6716.94885
4,Rickie Fowler,706,0.124,0.124,706,706,706,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360363,3486.040916,2414.04343
5,Jordan Spieth,765,0.1155,0.1155,765,765,765,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360414,574.249195,249.76685
6,Sepp Straka,1328,0.07,0.07,1328,1328,1328,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360416,7640.759006,2449.67503
7,Min Woo Lee,1751,0.054,0.054,1751,1751,1751,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360388,29138.210778,2744.25984
8,Xander Schauffele,1983,0.048,0.048,1983,1983,1983,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360409,1552.28,2391.26463
9,Matt Fitzpatrick,2050,0.0465,0.0465,2050,2050,2050,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360361,2119.274481,2482.77225
10,Rory McIlroy,2369,0.0405,0.0405,2369,2369,2369,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360395,32238.323994,21832.04443
11,Keegan Bradley,2431,0.0395,0.0395,2431,2431,2431,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360347,3257.468822,2368.67413
12,Nick Taylor,2639,0.0365,0.0365,2639,2639,2639,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360417,1964.58,2944.85546
13,Jacob Bridgeman,2716,0.0355,0.0355,2716,2716,2716,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360348,3146.550362,1314.35779
14,Scottie Scheffler,3233,0.03,0.03,3233,3233,3233,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360410,8488.49924,3855.18761
15,Jake Knapp,3981,0.0245,0.0245,3981,3981,3981,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360387,1765.759183,2943.60037
16,Tom Hoge,4247,0.023,0.023,4247,4247,4247,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360378,1770.398234,3334.88038
17,Christopher Gotterup,4551,0.0215,0.0215,4551,4551,4551,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360367,22857.376505,3966.20271
18,Hideki Matsuyama,5455,0.018,0.018,5455,5455,5455,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360391,3399.571024,3570.2133
19,Russell Henley,5960,0.0165,0.0165,5960,5960,5960,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360373,10357.516263,3676.88193
20,Tommy Fleetwood,6351,0.0155,0.0155,6351,6351,6351,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360362,5228.675786,3629.91825
21,Tony Finau,12400,0.008,0.008,12400,12400,12400,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360359,1621.307776,3256.56509
22,Viktor Hovland,15284,0.0065,0.0065,15284,15284,15284,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360380,6681.2065,1590.31981
23,Patrick Rodgers,18081,0.0055,0.0055,18081,18081,18081,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360407,4493.153067,2693.78874
24,Patrick Cantlay,18081,0.0055,0.0055,18081,18081,18081,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360351,5867.82,5152.85868
25,Cameron Young,18081,0.0055,0.0055,18081,18081,18081,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360421,1233.692475,2663.99453
26,Max McGreevy,19900,0.005,0.005,19900,19900,19900,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360394,896.862461,826.27029
27,Robert MacIntyre,19900,0.005,0.005,19900,19900,19900,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360390,3675.44,603.7457
28,Shane Lowry,19900,0.005,0.005,19900,19900,19900,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360389,1716.42,3485.60161
29,Si Woo Kim,19900,0.005,0.005,19900,19900,19900,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360384,5956.710888,2862.50215
30,Alexander Noren,22122,0.0045,0.0045,22122,22122,22122,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360399,1383.07,980.8017
31,Michael Thorbjornsen,22122,0.0045,0.0045,22122,22122,22122,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360418,4115.72925,2718.21245
32,Ludvig Aberg,24899,0.004,0.004,24899,24899,24899,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360344,7569.504611,1215.45493
33,Sahith Theegala,28471,0.0035,0.0035,28471,28471,28471,1,0,0,PGA Tour: AT&T Pebble Beach Pro-Am Winner,polymarket,1360424,629.48,515.57978
