rank,player_name,odds_polymarket,win_prob,implied_prob_consensus,odds_consensus,odds_best,odds_worst,num_books,odds_spread,value_spread_pct,event_name,source,market_id,volume,liquidity
1,Scottie Scheffler,250,0.285,0.285,250,250,250,1,0,0,The Masters - Winner ,polymarket,568629,16372.320281,7174.0733
2,Rory McIlroy,1011,0.09,0.09,1011,1011,1011,1,0,0,The Masters - Winner ,polymarket,568630,12761.782625,18704.4107
3,Bryson Dechambeau,1718,0.055,0.055,1718,1718,1718,1,0,0,The Masters - Winner ,polymarket,568631,10969.66396,23147.436
4,Jon Rahm,1734,0.0545,0.0545,1734,1734,1734,1,0,0,The Masters - Winner ,polymarket,568632,11570.377159,17470.35928
5,Tommy Fleetwood,1769,0.0535,0.0535,1769,1769,1769,1,0,0,The Masters - Winner ,polymarket,568646,12000.339078,17788.41675
6,Ludvig Aberg,1900,0.05,0.05,1900,1900,1900,1,0,0,The Masters - Winner ,polymarket,568635,10087.912759,19466.6655
7,Min Woo Lee,2147,0.0445,0.0445,2147,2147,2147,1,0,0,The Masters - Winner ,polymarket,568655,10503.547659,4864.19113
8,Xander Schauffele,2431,0.0395,0.0395,2431,2431,2431,1,0,0,The Masters - Winner ,polymarket,568634,11220.360808,19077.86116
9,Viktor Hovland,2677,0.036,0.036,2677,2677,2677,1,0,0,The Masters - Winner ,polymarket,568637,11279.2661,18881.40659
10,Justin Rose,2841,0.034,0.034,2841,2841,2841,1,0,0,The Masters - Winner ,polymarket,568652,11630.917845,4733.75624
11,Collin Morikawa,3536,0.0275,0.0275,3536,3536,3536,1,0,0,The Masters - Winner ,polymarket,568633,8143.32313,5019.82896
12,Patrick Reed,3821,0.0255,0.0255,3821,3821,3821,1,0,0,The Masters - Winner ,polymarket,568648,16228.708316,3373.53833
13,Jason Day,4247,0.023,0.023,4247,4247,4247,1,0,0,The Masters - Winner ,polymarket,568653,11021.926022,5162.95556
14,Hideki Matsuyama,4778,0.0205,0.0205,4778,4778,4778,1,0,0,The Masters - Winner ,polymarket,568639,74299.263543,3519.23161
15,Joaquin Niemann,4900,0.02,0.02,4900,4900,4900,1,0,0,The Masters - Winner ,polymarket,568642,15290.086828,5189.78547
16,Adam Scott,5305,0.0185,0.0185,5305,5305,5305,1,0,0,The Masters - Winner ,polymarket,568669,9283.931967,3720.19901
17,Patrick Cantlay,5305,0.0185,0.0185,5305,5305,5305,1,0,0,The Masters - Winner ,polymarket,568641,9089.133742,3632.48381
18,Tyrrell Hatton,5455,0.018,0.018,5455,5455,5455,1,0,0,The Masters - Winner ,polymarket,568643,9139.014766,6009.04108
19,Jordan Spieth,5455,0.018,0.018,5455,5455,5455,1,0,0,The Masters - Winner ,polymarket,568640,10481.958317,3334.99394
20,Robert MacIntyre,5960,0.0165,0.0165,5960,5960,5960,1,0,0,The Masters - Winner ,polymarket,568650,9035.010041,5152.84035
21,Cameron Young,6150,0.016,0.016,6150,6150,6150,1,0,0,The Masters - Winner ,polymarket,568668,19047.087957,3861.28455
22,Brooks Koepka,7042,0.014,0.014,7042,7042,7042,1,0,0,The Masters - Winner ,polymarket,568638,42432.463358,18918.69335
23,Russell Henley,7042,0.014,0.014,7042,7042,7042,1,0,0,The Masters - Winner ,polymarket,568657,9626.332144,4694.2278
24,Justin Thomas,7592,0.013,0.013,7592,7592,7592,1,0,0,The Masters - Winner ,polymarket,568636,9574.792314,6073.72352
25,Matt Fitzpatrick,7900,0.0125,0.0125,7900,7900,7900,1,0,0,The Masters - Winner ,polymarket,568666,9833.596954,4237.87071
26,Akshay Bhatia,8595,0.0115,0.0115,8595,8595,8595,1,0,0,The Masters - Winner ,polymarket,568656,11407.668133,5270.73695
27,Corey Conners,9900,0.01,0.01,9900,9900,9900,1,0,0,The Masters - Winner ,polymarket,568651,8872.938539,7223.01241
28,Sam Burns,9900,0.01,0.01,9900,9900,9900,1,0,0,The Masters - Winner ,polymarket,568665,16304.281021,6659.26228
29,Brian Harman,9900,0.01,0.01,9900,9900,9900,1,0,0,The Masters - Winner ,polymarket,568680,12308.661206,3903.18438
30,Max Homa,12400,0.008,0.008,12400,12400,12400,1,0,0,The Masters - Winner ,polymarket,568654,29712.550052,6104.01538
31,Tom Kim,12400,0.008,0.008,12400,12400,12400,1,0,0,The Masters - Winner ,polymarket,568663,65974.662748,4566.0041
32,Wyndham Clark,13233,0.0075,0.0075,13233,13233,13233,1,0,0,The Masters - Winner ,polymarket,568658,13795.423774,5399.19606
33,Shane Lowry,15284,0.0065,0.0065,15284,15284,15284,1,0,0,The Masters - Winner ,polymarket,568647,7782.048915,3920.45472
34,Rasmus Hojgaard,15284,0.0065,0.0065,15284,15284,15284,1,0,0,The Masters - Winner ,polymarket,568681,9116.474471,3965.98006
35,Sahith Theegala,15284,0.0065,0.0065,15284,15284,15284,1,0,0,The Masters - Winner ,polymarket,568662,85840.551765,3583.6939
36,Will Zalatoris,15284,0.0065,0.0065,15284,15284,15284,1,0,0,The Masters - Winner ,polymarket,568645,8357.018744,3591.32441
37,Tony Finau,16566,0.006,0.006,16566,16566,16566,1,0,0,The Masters - Winner ,polymarket,568660,24107.753502,5200.99009
38,Cameron Smith,18081,0.0055,0.0055,18081,18081,18081,1,0,0,The Masters - Winner ,polymarket,568644,8025.022023,5136.55099
39,Sergio Garcia,18081,0.0055,0.0055,18081,18081,18081,1,0,0,The Masters - Winner ,polymarket,568670,38924.501946,3834.28978
40,Phil Mickelson,19900,0.005,0.005,19900,19900,19900,1,0,0,The Masters - Winner ,polymarket,568674,104941.061717,5530.88209
41,Tiger Woods,22122,0.0045,0.0045,22122,22122,22122,1,0,0,The Masters - Winner ,polymarket,568675,94572.426836,8927.09077
42,Sepp Straka,22122,0.0045,0.0045,22122,22122,22122,1,0,0,The Masters - Winner ,polymarket,568659,14540.663525,4023.97632
43,Billy Horschel,22122,0.0045,0.0045,22122,22122,22122,1,0,0,The Masters - Winner ,polymarket,568673,21407.342259,4562.05429
44,Keegan Bradley,22122,0.0045,0.0045,22122,22122,22122,1,0,0,The Masters - Winner ,polymarket,568664,11916.261363,4481.93683
45,Nicolai Hojgaard,24899,0.004,0.004,24899,24899,24899,1,0,0,The Masters - Winner ,polymarket,568676,61640.830113,5040.45021
46,Denny McCarthy,24899,0.004,0.004,24899,24899,24899,1,0,0,The Masters - Winner ,polymarket,568677,41181.357426,4707.10891
47,Maverick McNealy,24899,0.004,0.004,24899,24899,24899,1,0,0,The Masters - Winner ,polymarket,568672,29573.6119,4668.54747
48,Bubba Watson,28471,0.0035,0.0035,28471,28471,28471,1,0,0,The Masters - Winner ,polymarket,568684,26875.530828,4348.53301
49,Aaron Rai,28471,0.0035,0.0035,28471,28471,28471,1,0,0,The Masters - Winner ,polymarket,568671,65042.796895,5498.0298
50,Dustin Johnson,33233,0.003,0.003,33233,33233,33233,1,0,0,The Masters - Winner ,polymarket,568661,38021.209243,4586.61873
51,Thomas Detry,33233,0.003,0.003,33233,33233,33233,1,0,0,The Masters - Winner ,polymarket,568678,31494.780132,4501.78608
52,Byeong Hun An,33233,0.003,0.003,33233,33233,33233,1,0,0,The Masters - Winner ,polymarket,568682,21874.056982,5549.06792
53,Sungjae Im,33233,0.003,0.003,33233,33233,33233,1,0,0,The Masters - Winner ,polymarket,568649,17328.66986,5298.71481
54,Davis Thompson,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568667,25150.451166,4560.11459
55,Zach Johnson,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568686,61340.3931,5823.45758
56,Taylor Pendrith,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568679,8134.342664,4881.78071
57,Fred Couples,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568687,6686.1695,3178.07324
58,Charl Schwartzel,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568685,31641.240332,3832.97153
59,Danny Willett,39900,0.0025,0.0025,39900,39900,39900,1,0,0,The Masters - Winner ,polymarket,568683,13156.203633,4745.45794
