market,player_name,odds,book,line_source,event_name,market_name,selection_id,fetched_at,player_a,player_b,odds_a,odds_b,line,over_odds,under_odds,round_num
winner,Akshay Bhatia,860,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608972_13L88807Q1638827Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Ben Griffin,450000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608967_13L88807Q1598628Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Brian Harman,46000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608964_13L88807Q1120036Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Collin Morikawa,295,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608959_13L88807Q1383347Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Hideki Matsuyama,3300,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608951_13L88807Q1122583Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Jacob Bridgeman,360,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608948_13L88807Q11556575Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Jake Knapp,2000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608947_13L88807Q1261697Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Jordan Spieth,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608943_13L88807Q1118743Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Keegan Bradley,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608941_13L88807Q196893Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Matt Fitzpatrick,225000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608933_13L88807Q1804539Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Maverick McNealy,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608930_13L88807Q1180072Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Max Greyserman,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608929_13L88807Q1441217Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Min Woo Lee,4300,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608925_13L88807Q1301616Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Nicolas Echavarria,1800,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608923_13L88807Q1598613Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Patrick Cantlay,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608922_13L88807Q1118740Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Rickie Fowler,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608919_13L88807Q176139Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Ryo Hisatsune,500000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608912_13L88807Q1381547Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Sam Burns,305,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608911_13L88807Q1260739Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Scottie Scheffler,400,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608908_13L88807Q1350842Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Sepp Straka,6900,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608907_13L88807Q1349774Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Shane Lowry,100000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608906_13L88807Q181619Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Tom Hoge,47500,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608900_13L88807Q1124705Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Tommy Fleetwood,8200,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608899_13L88807Q1118101Q2-1,2026-02-15T20:07:12Z,,,,,,,,
winner,Xander Schauffele,450000,DRAFTKINGS,draftkings_api,AT&T Pebble Beach Pro Am 2026,Tournament Lines | Tournament Winner | Winner | Outright Winner,0QA310082258#495608895_13L88807Q1263245Q2-1,2026-02-15T20:07:12Z,,,,,,,,
