recommendation_id,run_id,recommended_at,tournament_id,recommendation_rank,bet_type,market,book,player_name,selection_label,card_id,title,selection_count,priced_legs,unpriced_legs,selection_labels,selection_labels_json,odds_american,book_prob,model_prob,edge_pts,ev_per_1,confidence,status,stake_units,outcome_status,outcome_win,pnl_per_1,roi_pct,closing_odds_american,closing_implied_prob,clv_pts,graded_at
9abc3d43683f7242,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,1,single,top10,DRAFTKINGS,Kensei Hirata,Kensei Hirata Top 10,,,1,1,0,,"[""Kensei Hirata Top 10""]",1600,0.0588235294117647,0.1023263013175422,4.350277190577749,0.7395471223982173,0.7999999999999999,priced,1.0,pending,,,,,,,
4abc7473122b9031,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,2,single,top10,DRAFTKINGS,Adam Schenk,Adam Schenk Top 10,,,1,1,0,,"[""Adam Schenk Top 10""]",1475,0.0634920634920634,0.1067582596632357,4.326619617117229,0.6814425896959622,0.83,priced,1.0,pending,,,,,,,
747a45d325b49b9a,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,3,single,top10,DRAFTKINGS,Lanto Griffin,Lanto Griffin Top 10,,,1,1,0,,"[""Lanto Griffin Top 10""]",1900,0.05,0.085517753334266,3.5517753334266002,0.7103550666853202,0.7999999999999999,priced,1.0,pending,,,,,,,
8cb7861f6d03e3a3,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,4,single,top10,DRAFTKINGS,Frankie Capan III,Frankie Capan III Top 10,,,1,1,0,,"[""Frankie Capan III Top 10""]",3700,0.0263157894736842,0.0610014562632889,3.4685666789604706,1.318055338004978,0.7999999999999999,priced,1.0,pending,,,,,,,
10d2ccb8904418ee,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,5,single,top5,DRAFTKINGS,Adam Schenk,Adam Schenk Top 5,,,1,1,0,,"[""Adam Schenk Top 5""]",3500,0.0277777777777777,0.0604597429615106,3.2681965183732897,1.1765507466143816,0.77,priced,1.0,pending,,,,,,,
b2207f798e3b51d9,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,6,single,top5,DRAFTKINGS,Kensei Hirata,Kensei Hirata Top 5,,,1,1,0,,"[""Kensei Hirata Top 5""]",4000,0.024390243902439,0.0561230979132029,3.1732854010763893,1.3010470144413189,0.74,priced,1.0,pending,,,,,,,
298258f35fad76c7,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,7,single,top5,DRAFTKINGS,Danny Walker,Danny Walker Top 5,,,1,1,0,,"[""Danny Walker Top 5""]",4500,0.0217391304347826,0.0453265959538663,2.35874655190837,1.0850234138778498,0.74,priced,1.0,pending,,,,,,,
ba38849e9413c7b8,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,8,single,top10,DRAFTKINGS,Justin Hicks,Justin Hicks Top 10,,,1,1,0,,"[""Justin Hicks Top 10""]",8600,0.0114942528735632,0.0332548891818475,2.17606363082843,1.8931753588207325,0.7499999999999999,priced,1.0,pending,,,,,,,
46ec8b9222d3d9d0,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,9,single,top5,DRAFTKINGS,Joe Highsmith,Joe Highsmith Top 5,,,1,1,0,,"[""Joe Highsmith Top 5""]",3900,0.025,0.0461476342365694,2.11476342365694,0.8459053694627761,0.77,priced,1.0,pending,,,,,,,
dc244af223a66ccf,2026-02-24T15:00:08Z,2026-02-24T15:00:08Z,R2026010,10,single,top5,DRAFTKINGS,Neal Shipley,Neal Shipley Top 5,,,1,1,0,,"[""Neal Shipley Top 5""]",2400,0.04,0.0583888584639006,1.83888584639006,0.4597214615975149,0.74,priced,1.0,pending,,,,,,,
