recommendation_id,run_id,recommended_at,tournament_id,tournament_phase,recommendation_rank,bet_type,market,book,player_name,selection_label,card_id,title,selection_count,priced_legs,unpriced_legs,selection_labels,selection_labels_json,odds_american,book_prob,model_prob,raw_model_prob,edge_pts,ev_per_1,confidence,corroboration_score,corroborated,leg_prob_summary,weakest_leg,weakest_leg_prob,reasoning,status,stake_units,kelly_fraction,outcome_status,outcome_win,pnl_per_1,roi_pct,closing_odds_american,closing_implied_prob,clv_pts,graded_at
2ab9a129f3f79d3b,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,1,single,make_cut,BET365,Harris English,Harris English to Make Cut,,,1,1,0,,"[""Harris English to Make Cut""]",-227,0.6941896024464832,0.722992,0.722992,2.8802397553516768,0.041490678414096704,0.95,2,True,,,,Model 72.3% make cut vs book 69.4% → +2.9pp | PUTT +0.70 SG/rnd #4/145 | 2 independent markets agree,priced,1.0,0.025,pending,,,,,,,
b0eb6c40007678da,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,2,single,top20,BET365,Harris English,Harris English Top 20,,,1,1,0,,"[""Harris English Top 20""]",220,0.3125,0.3367,0.3367,2.42,0.07743999999999995,0.95,2,True,,,,Model 33.7% top-20 vs book 31.2% → +2.4pp | PUTT +0.70 SG/rnd #4/145 | 2 independent markets agree,priced,1.0,0.0176,pending,,,,,,,
cfc713b67573bfaf,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,3,single,top10,FANDUEL,Ben Griffin,Ben Griffin Top 10,,,1,1,0,,"[""Ben Griffin Top 10""]",380,0.20833333333333334,0.228833,0.228833,2.0499666666666667,0.0983984,0.92,2,True,,,,Model 22.9% top-10 vs book 20.8% → +2.0pp | ARG +0.56 SG/rnd #5/145 | 2 top-10s in 4 course starts | 2 independent markets agree,priced,1.0,0.0129,pending,,,,,,,
765cf9c6658b8fc1,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,4,single,top20,FANDUEL,Doug Ghim,Doug Ghim Top 20,,,1,1,0,,"[""Doug Ghim Top 20""]",230,0.30303030303030304,0.321543,0.321543,1.8512696969696985,0.06109190000000009,0.9400000000000001,2,True,,,,Model 32.2% top-20 vs book 30.3% → +1.9pp | OTT +0.38 SG/rnd #18/145 | 2 independent markets agree,priced,1.0,0.0133,pending,,,,,,,
1c44a924f44c8fd1,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,5,single,top20,FANDUEL,Ben Griffin,Ben Griffin Top 20,,,1,1,0,,"[""Ben Griffin Top 20""]",175,0.36363636363636365,0.380228,0.380228,1.6591636363636364,0.045627000000000084,0.9400000000000001,2,True,,,,Model 38.0% top-20 vs book 36.4% → +1.7pp | ARG +0.56 SG/rnd #5/145 | 2 top-10s in 4 course starts | 2 independent markets agree,priced,1.0,0.013,pending,,,,,,,
7d38925c8a5efe03,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,6,single,top10,FANDUEL,Doug Ghim,Doug Ghim Top 10,,,1,1,0,,"[""Doug Ghim Top 10""]",500,0.16666666666666666,0.182815,0.182815,1.6148333333333347,0.09689000000000014,0.88,2,True,,,,Model 18.3% top-10 vs book 16.7% → +1.6pp | OTT +0.38 SG/rnd #18/145 | 2 independent markets agree,priced,1.0,0.0097,pending,,,,,,,
7c9e3d8ef9bab789,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,7,single,make_cut,BET365,Nick Taylor,Nick Taylor to Make Cut,,,1,1,0,,"[""Nick Taylor to Make Cut""]",-149,0.5983935742971888,0.642857,0.642857,4.446342570281125,0.07430465100671135,0.91,1,False,,,,Model 64.3% make cut vs book 59.8% → +4.4pp | ARG +0.50 SG/rnd #7/145 | 2 top-10s in 7 course starts,priced,1.0,0.025,pending,,,,,,,
30aaa33a0a824f61,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,8,single,make_cut,BET365,Ben Kohles,Ben Kohles to Make Cut,,,1,1,0,,"[""Ben Kohles to Make Cut""]",-189,0.6539792387543253,0.685535,0.685535,3.155576124567472,0.048251931216931165,0.91,1,False,,,,Model 68.6% make cut vs book 65.4% → +3.2pp | APP +0.53 SG/rnd #13/145,priced,1.0,0.025,pending,,,,,,,
dbb07683e5c1c4e1,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,9,single,make_cut,BET365,Mac Meissner,Mac Meissner to Make Cut,,,1,1,0,,"[""Mac Meissner to Make Cut""]",-200,0.6666666666666666,0.691358,0.691358,2.46913333333334,0.03703699999999999,0.91,1,False,,,,Model 69.1% make cut vs book 66.7% → +2.5pp | APP +0.55 SG/rnd #12/145 | Top-10 in 2 starts here,priced,1.0,0.025,pending,,,,,,,
3b804d0aa4793ea6,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,10,single,make_cut,BET365,Jordan Smith,Jordan Smith to Make Cut,,,1,1,0,,"[""Jordan Smith to Make Cut""]",-189,0.6539792387543253,0.675325,0.675325,2.1345761245674666,0.032639814814814816,0.85,1,False,,,,Model 67.5% make cut vs book 65.4% → +2.1pp | OTT +0.41 SG/rnd #17/145 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,
0d13214bfffea9ce,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,11,single,top20,FANDUEL,Ryo Hisatsune,Ryo Hisatsune Top 20,,,1,1,0,,"[""Ryo Hisatsune Top 20""]",300,0.25,0.268097,0.268097,1.8096999999999974,0.0723879999999999,0.89,1,False,,,,Model 26.8% top-20 vs book 25.0% → +1.8pp | OTT +0.50 SG/rnd #10/145 | Top-10 in 2 starts here,priced,1.0,0.0121,pending,,,,,,,
595ded7d2c5f9d61,2026-08-04T12:09:05Z,2026-08-04T12:09:05Z,R2026013,pre,12,single,top20,POINTSBET,Hideki Matsuyama,Hideki Matsuyama Top 20,,,1,1,0,,"[""Hideki Matsuyama Top 20""]",160,0.3846153846153846,0.401606,0.401606,1.6990615384615437,0.04417559999999998,0.89,1,False,,,,Model 40.2% top-20 vs book 38.5% → +1.7pp | APP +0.58 SG/rnd #11/145 | Top-10 in 6 starts here,priced,1.0,0.0138,pending,,,,,,,
