recommendation_id,run_id,recommended_at,tournament_id,tournament_phase,recommendation_rank,bet_type,market,book,player_name,selection_label,card_id,title,selection_count,priced_legs,unpriced_legs,selection_labels,selection_labels_json,odds_american,book_prob,model_prob,raw_model_prob,edge_pts,ev_per_1,confidence,corroboration_score,corroborated,group_members,leg_prob_summary,weakest_leg,weakest_leg_prob,reasoning,status,stake_units,kelly_fraction,outcome_status,outcome_win,pnl_per_1,roi_pct,closing_odds_american,closing_implied_prob,clv_pts,graded_at
27cfb35b49fb2042,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,1,content_card,content_card,DRAFTKINGS,,Unstoppable,d6de6e09-eb8e-40ad-9f60-3c103bcfd552,Unstoppable,1,1,0,Scottie Scheffler to Win Wire to Wire,"[""Scottie Scheffler to Win Wire to Wire""]",1900,0.05,0.1191922126062584,,6.919221260625839,1.3838442521251677,1.0,0,False,,Scottie Scheffler to Win Wire to Wire:12%,Scottie Scheffler to Win Wire to Wire,0.1191922126062584,Model 11.9% vs book 5.0% → +6.9pp edge,priced,1.0,0.025,pending,,,,,,,
2ea7efe263a78205,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,2,single,h2h_r1,POINTSBET,"Taylor, Nick","Taylor, Nick to beat Echavarria, Nico (R1)",,,1,1,0,,"[""Taylor, Nick to beat Echavarria, Nico (R1)""]",-125,0.5555555555555556,0.601594,,4.603844444444438,0.08286919999999998,0.7,1,False,"Taylor, Nick (-125) | Echavarria, Nico (+125)",,,,"Model 60.2% h2h r1 vs book 55.6% → +4.6pp | APP +0.40 SG/rnd #10/72 | vs Taylor, Nick (-125) | Echavarria, Nico (+125)",priced,1.0,0.025,pending,,,,,,,
4ecce96242645d14,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,3,single,h2h_r1,BET365,"Noren, Alex","Noren, Alex to beat Hoge, Tom (R1)",,,1,1,0,,"[""Noren, Alex to beat Hoge, Tom (R1)""]",-138,0.5917667238421955,0.636364,,4.4597276157804515,0.09749733333333355,0.7,1,False,"Noren, Alex (-138) | Hoge, Tom (+150)",,,,"Model 63.6% h2h r1 vs book 59.2% → +4.5pp | APP +0.50 SG/rnd #8/72 | vs Noren, Alex (-138) | Hoge, Tom (+150)",priced,1.0,0.025,pending,,,,,,,
5ca05fc5340592fe,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,4,single,h2h_r1,DRAFTKINGS,"Spieth, Jordan","Spieth, Jordan to beat Rose, Justin (R1)",,,1,1,0,,"[""Spieth, Jordan to beat Rose, Justin (R1)""]",-120,0.5101214574898786,0.54955,,3.94285425101214,0.00750833333333345,0.7,1,False,"Rose, Justin (-110) | Spieth, Jordan (-120)",,,,"Model 55.0% h2h r1 vs book 51.0% → +3.9pp | PUTT +0.48 SG/rnd #21/72 | Top-10 in 6 starts here | vs Rose, Justin (-110) | Spieth, Jordan (-120)",priced,1.0,0.0045,pending,,,,,,,
ab8cd212cf8a4c3c,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,5,single,h2h_r1,DRAFTKINGS,"Smalley, Alex","Smalley, Alex to beat Gotterup, Chris (R1)",,,1,1,0,,"[""Smalley, Alex to beat Gotterup, Chris (R1)""]",-110,0.48987854251012153,0.528302,,3.842345748987852,0.00857654545454567,0.7,1,False,"Smalley, Alex (-110) | Gotterup, Chris (-120)",,,,"Model 52.8% h2h r1 vs book 49.0% → +3.8pp | ARG +0.66 SG/rnd #27/72 | No course history — model relies on SG profile | vs Smalley, Alex (-110) | Gotterup, Chris (-120)",priced,1.0,0.0047,pending,,,,,,,
bba812f00aa1ac8e,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,6,single,h2h_r1,POINTSBET,"Coody, Pierceson","Coody, Pierceson to beat Campbell, Brian (R1)",,,1,1,0,,"[""Coody, Pierceson to beat Campbell, Brian (R1)""]",-160,0.6242774566473989,0.662162,,3.7884543352601163,0.07601325000000014,0.7,1,False,"Campbell, Brian (+170) | Coody, Pierceson (-160)",,,,"Model 66.2% h2h r1 vs book 62.4% → +3.8pp | ARG +1.02 SG/rnd #5/72 | No course history — model relies on SG profile | vs Campbell, Brian (+170) | Coody, Pierceson (-160)",priced,1.0,0.025,pending,,,,,,,
135bc0c826a6bf4d,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,7,single,h2h_r1,BET365,"Lowry, Shane","Lowry, Shane to beat Im, Sungjae (R1)",,,1,1,0,,"[""Lowry, Shane to beat Im, Sungjae (R1)""]",100,0.5121951219512195,0.54955,,3.735487804878046,0.09909999999999997,0.7,1,False,"Lowry, Shane (+100) | Im, Sungjae (+110)",,,,"Model 55.0% h2h r1 vs book 51.2% → +3.7pp | ARG +0.82 SG/rnd #16/72 | Top-10 in 4 starts here | vs Lowry, Shane (+100) | Im, Sungjae (+110)",priced,1.0,0.025,pending,,,,,,,
e610f72597bd4698,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,8,single,h2h_r1,DRAFTKINGS,"Spaun, J.J.","Spaun, J.J. to beat Young, Cameron (R1)",,,1,1,0,,"[""Spaun, J.J. to beat Young, Cameron (R1)""]",120,0.42723631508678234,0.462963,,3.5726684913217674,0.018518600000000163,0.7,1,False,"Spaun, J.J. (+120) | Young, Cameron (-156)",,,,"Model 46.3% h2h r1 vs book 42.7% → +3.6pp | ARG +0.71 SG/rnd #21/72 | Hot form (10/10 hot-hand) | vs Spaun, J.J. (+120) | Young, Cameron (-156)",priced,1.0,0.0077,pending,,,,,,,
abab7e3d0fc16c92,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,9,single,h2h_r1,BET365,"Stevens, Sam","Stevens, Sam to beat Horschel, Billy (R1)",,,1,1,0,,"[""Stevens, Sam to beat Horschel, Billy (R1)""]",-120,0.5564516129032258,0.591837,,3.538538709677419,0.0850344999999999,0.7,1,False,"Horschel, Billy (+130) | Stevens, Sam (-120)",,,,"Model 59.2% h2h r1 vs book 55.6% → +3.5pp | ARG +1.06 SG/rnd #10/72 | No course history — model relies on SG profile | vs Horschel, Billy (+130) | Stevens, Sam (-120)",priced,1.0,0.025,pending,,,,,,,
ece949b74619ad6d,2026-06-03T01:04:58Z,2026-06-03T01:04:58Z,R2026023,pre,10,single,make_cut,POINTSBET,Alex Noren,Alex Noren to Make Cut,,,1,1,0,,"[""Alex Noren to Make Cut""]",-325,0.7647058823529411,0.7921,0.7921,2.73941176470589,0.03582307692307696,0.91,1,False,,,,,Model 79.2% make cut vs book 76.5% → +2.7pp | APP +0.50 SG/rnd #8/72,priced,1.0,0.025,pending,,,,,,,
