recommendation_id,run_id,recommended_at,tournament_id,tournament_phase,recommendation_rank,bet_type,market,book,player_name,selection_label,card_id,title,selection_count,priced_legs,unpriced_legs,selection_labels_json,odds_american,book_prob,model_prob,raw_model_prob,edge_pts,ev_per_1,confidence,corroboration_score,corroborated,group_members,reasoning,status,stake_units,kelly_fraction,outcome_status,outcome_win,pnl_per_1,roi_pct,closing_odds_american,closing_implied_prob,clv_pts,graded_at,intel_warning
8a5e37cf5a4bb4e1,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,1,single,make_cut,DRAFTKINGS,Christiaan Bezuidenhout,Christiaan Bezuidenhout to Make Cut,,,1,1,0,"[""Christiaan Bezuidenhout to Make Cut""]",-240,0.6722689075630253,0.8126591788394653,0.859455935931612,14.039027127644,0.15126717002257584,0.73,1,False,,Model 81.3% make cut vs book 67.2% → +14.0pp | PUTT +0.51 SG/rnd #4/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
ee6a2324ef1a4087,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,2,single,make_cut,POINTSBET,Kevin Streelman,Kevin Streelman to Make Cut,,,1,1,0,"[""Kevin Streelman to Make Cut""]",100,0.47619047619047616,0.6158874237889411,0.6624530729884295,13.969694759846496,0.23177484757788225,0.73,1,False,,Model 61.6% make cut vs book 47.6% → +14.0pp | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
d3eff3b87327b807,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,3,single,make_cut,DRAFTKINGS,A.J. Ewart,A.J. Ewart to Make Cut,,,1,1,0,"[""A.J. Ewart to Make Cut""]",-150,0.5714285714285714,0.6941090232494151,0.7350025071896963,12.268045182084375,0.15684837208235858,0.73,1,False,,Model 69.4% make cut vs book 57.1% → +12.3pp | PUTT +0.15 SG/rnd #26/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
112c7a3f14daea57,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,4,single,make_cut,POINTSBET,David Skinns,David Skinns to Make Cut,,,1,1,0,"[""David Skinns to Make Cut""]",-125,0.5291005291005291,0.6477499060091501,0.6872996983120238,11.8649376908621,0.1659498308164702,0.77,1,False,,Model 64.8% make cut vs book 52.9% → +11.9pp | APP +0.27 SG/rnd #15/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
2767508b30adaee9,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,5,single,make_cut,POINTSBET,Brendan Valdes,Brendan Valdes to Make Cut,,,1,1,0,"[""Brendan Valdes to Make Cut""]",150,0.38095238095238093,0.49906744849774454,0.5384391376795324,11.81150675453636,0.2476686212443613,0.77,1,False,,Model 49.9% make cut vs book 38.1% → +11.8pp | OTT +0.39 SG/rnd #10/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
5ed1f513ca81a3ae,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,6,single,make_cut,BETONLINE,Jacob Bridgeman,Jacob Bridgeman to Make Cut,,,1,1,0,"[""Jacob Bridgeman to Make Cut""]",-400,0.7619047619047619,0.8797922430414371,0.9190880700869954,11.788748113667523,0.09974030380179633,0.79,1,False,,Model 88.0% make cut vs book 76.2% → +11.8pp | PUTT +0.56 SG/rnd #3/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
4568fd282ecb0bb0,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,7,single,make_cut,DRAFTKINGS,Lanto Griffin,Lanto Griffin to Make Cut,,,1,1,0,"[""Lanto Griffin to Make Cut""]",-125,0.5291005291005291,0.6421076130984287,0.6797766410977286,11.300708399789961,0.1557937035771717,0.77,1,False,,Model 64.2% make cut vs book 52.9% → +11.3pp | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
e8f3f051f56e4be0,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,8,single,make_cut,DRAFTKINGS,Ricky Castillo,Ricky Castillo to Make Cut,,,1,1,0,"[""Ricky Castillo to Make Cut""]",-225,0.6593406593406593,0.7719636694690118,0.8095046728451294,11.262301012835252,0.1150586336774615,0.77,1,False,,Model 77.2% make cut vs book 65.9% → +11.3pp | ARG +0.16 SG/rnd #27/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
c4bc3b2600158548,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,9,single,make_cut,BET365,Ben Kohles,Ben Kohles to Make Cut,,,1,1,0,"[""Ben Kohles to Make Cut""]",-227,0.6611329547109364,0.7718451909593478,0.8087492697088182,11.071223624841142,0.11186509887095464,0.77,1,False,,Model 77.2% make cut vs book 66.1% → +11.1pp | APP +0.85 SG/rnd #1/132 | No course history — model relies on SG profile,priced,1.0,0.025,pending,,,,,,,,
1cd8a9773c6eace7,2026-09-17T20:25:36Z,2026-09-17T20:25:36Z,R2026557,r1,10,single,h2h_r1,BETONLINE,"Bridgeman, Jacob","Bridgeman, Jacob to beat Thompson, Davis (R1)",,,1,1,0,"[""Bridgeman, Jacob to beat Thompson, Davis (R1)""]",-110,0.5,0.534884,,3.4884000000000026,0.021142181818181838,0.7,1,False,"Thompson, Davis (-110) | Bridgeman, Jacob (-110)","Model 53.5% h2h r1 vs book 50.0% → +3.5pp | PUTT +0.56 SG/rnd #3/132 | No course history — model relies on SG profile | vs Thompson, Davis (-110) | Bridgeman, Jacob (-110)",priced,1.0,0.0116,pending,,,,,,,,
