player_name,name_key,polymarket_odds,polymarket_prob,kalshi_odds,kalshi_prob,best_odds,avg_prob,odds_diff,rank
Scottie Scheffler,scottie scheffler,316.0,0.24,387.0,0.205,387.0,0.22249999999999998,71.0,1
Rory McIlroy,rory mcilroy,900.0,0.1,1150.0,0.08,1150.0,0.09,250.0,2
Jon Rahm,jon rahm,1359.0,0.0685,2122.0,0.045,2122.0,0.05675,763.0,3
Bryson Dechambeau,bryson dechambeau,1718.0,0.055,1718.0,0.055,1718.0,0.055,0.0,4
Tommy Fleetwood,tommy fleetwood,1786.0,0.053,2757.0,0.035,2757.0,0.044,971.0,5
Ludvig Aberg,ludvig aberg,1900.0,0.05,2757.0,0.035,2757.0,0.0425,857.0,6
Xander Schauffele,xander schauffele,2225.0,0.043,2757.0,0.035,2757.0,0.039,532.0,7
Justin Rose,justin rose,2677.0,0.036,2757.0,0.035,2757.0,0.035500000000000004,80.0,8
Viktor Hovland,viktor hovland,2464.0,0.039,3900.0,0.025,3900.0,0.032,1436.0,9
Patrick Reed,patrick reed,3471.0,0.028,2757.0,0.035,3471.0,0.0315,714.0,10
Hideki Matsuyama,hideki matsuyama,4661.0,0.021,3233.0,0.03,4661.0,0.025500000000000002,1428.0,11
Chris Gotterup,chris gotterup,,,3900.0,0.025,3900.0,0.025,3900.0,12
Collin Morikawa,collin morikawa,3471.0,0.028,6566.0,0.015,6566.0,0.0215,3095.0,13
Joaquin Niemann,joaquin niemann,4900.0,0.02,4900.0,0.02,4900.0,0.02,0.0,14
Jason Day,jason day,3673.0,0.0265,9900.0,0.01,9900.0,0.01825,6227.0,15
Patrick Cantlay,patrick cantlay,5614.0,0.0175,6566.0,0.015,6566.0,0.01625,952.0,16
Jordan Spieth,jordan spieth,5782.0,0.017,6566.0,0.015,6566.0,0.016,784.0,17
Cameron Young,cameron young,5960.0,0.0165,6566.0,0.015,6566.0,0.01575,606.0,18
Robert MacIntyre,robert macintyre,5960.0,0.0165,6566.0,0.015,6566.0,0.01575,606.0,19
Tyrrell Hatton,tyrrell hatton,6150.0,0.016,6566.0,0.015,6566.0,0.0155,416.0,20
Ben Griffin,ben griffin,,,6566.0,0.015,6566.0,0.015,6566.0,21
Si Woo Kim,si woo kim,,,6566.0,0.015,6566.0,0.015,6566.0,22
Russell Henley,russell henley,7042.0,0.014,6566.0,0.015,7042.0,0.014499999999999999,476.0,23
Brooks Koepka,brooks koepka,7042.0,0.014,6566.0,0.015,7042.0,0.014499999999999999,476.0,24
Justin Thomas,justin thomas,7307.0,0.0135,6566.0,0.015,7307.0,0.014249999999999999,741.0,25
Matt Fitzpatrick,matt fitzpatrick,7900.0,0.0125,6566.0,0.015,7900.0,0.01375,1334.0,26
Adam Scott,adam scott,5960.0,0.0165,9900.0,0.01,9900.0,0.013250000000000001,3940.0,27
Akshay Bhatia,akshay bhatia,8595.0,0.0115,9900.0,0.01,9900.0,0.01075,1305.0,28
Shane Lowry,shane lowry,15284.0,0.0065,6566.0,0.015,15284.0,0.01075,8718.0,29
Min Woo Lee,min woo lee,8990.0,0.011,9900.0,0.01,9900.0,0.010499999999999999,910.0,30
Sam Stevens,sam stevens,,,9900.0,0.01,9900.0,0.01,9900.0,31
Mike Weir,mike weir,,,9900.0,0.01,9900.0,0.01,9900.0,32
Mason Howell,mason howell,,,9900.0,0.01,9900.0,0.01,9900.0,33
Max Greyserman,max greyserman,,,9900.0,0.01,9900.0,0.01,9900.0,34
Michael Brennan,michael brennan,,,9900.0,0.01,9900.0,0.01,9900.0,35
Michael Kim,michael kim,,,9900.0,0.01,9900.0,0.01,9900.0,36
Andrew Novak,andrew novak,,,9900.0,0.01,9900.0,0.01,9900.0,37
Nick Taylor,nick taylor,,,9900.0,0.01,9900.0,0.01,9900.0,38
Sam Burns,sam burns,9900.0,0.01,9900.0,0.01,9900.0,0.01,0.0,39
Rasmus Neergaard-Petersen,rasmus neergaard petersen,,,9900.0,0.01,9900.0,0.01,9900.0,40
Aldrich Potgieter,aldrich potgieter,,,9900.0,0.01,9900.0,0.01,9900.0,41
Ryan Fox,ryan fox,,,9900.0,0.01,9900.0,0.01,9900.0,42
Ryan Gerard,ryan gerard,,,9900.0,0.01,9900.0,0.01,9900.0,43
Sami Valimaki,sami valimaki,,,9900.0,0.01,9900.0,0.01,9900.0,44
Alex Noren,alex noren,,,9900.0,0.01,9900.0,0.01,9900.0,45
Carlos Ortiz,carlos ortiz,,,9900.0,0.01,9900.0,0.01,9900.0,46
Kurt Kitayama,kurt kitayama,,,9900.0,0.01,9900.0,0.01,9900.0,47
Jacob Bridgeman,jacob bridgeman,,,9900.0,0.01,9900.0,0.01,9900.0,48
Corey Conners,corey conners,9900.0,0.01,9900.0,0.01,9900.0,0.01,0.0,49
Vijay Singh,vijay singh,,,9900.0,0.01,9900.0,0.01,9900.0,50
Davis Riley,davis riley,,,9900.0,0.01,9900.0,0.01,9900.0,51
Ethan Fang,ethan fang,,,9900.0,0.01,9900.0,0.01,9900.0,52
Tom McKibbin,tom mckibbin,,,9900.0,0.01,9900.0,0.01,9900.0,53
Hao-Tong Li,hao tong li,,,9900.0,0.01,9900.0,0.01,9900.0,54
Harry English,harry english,,,9900.0,0.01,9900.0,0.01,9900.0,55
Kristoffer Reitan,kristoffer reitan,,,9900.0,0.01,9900.0,0.01,9900.0,56
Harry Hall,harry hall,,,9900.0,0.01,9900.0,0.01,9900.0,57
Marco Penge,marco penge,,,9900.0,0.01,9900.0,0.01,9900.0,58
Brian Harman,brian harman,9900.0,0.01,9900.0,0.01,9900.0,0.01,0.0,59
J.J. Spaun,jj spaun,,,9900.0,0.01,9900.0,0.01,9900.0,60
Angel Cabrera,angel cabrera,,,9900.0,0.01,9900.0,0.01,9900.0,61
Brian Campbell,brian campbell,,,9900.0,0.01,9900.0,0.01,9900.0,62
John Keefer,john keefer,,,9900.0,0.01,9900.0,0.01,9900.0,63
Jose Maria Olazabal,jose maria olazabal,,,9900.0,0.01,9900.0,0.01,9900.0,64
Tom Kim,tom kim,12400.0,0.008,9900.0,0.01,12400.0,0.009000000000000001,2500.0,65
Max Homa,max homa,12400.0,0.008,9900.0,0.01,12400.0,0.009000000000000001,2500.0,66
Wyndham Clark,wyndham clark,13233.0,0.0075,9900.0,0.01,13233.0,0.00875,3333.0,67
Sahith Theegala,sahith theegala,15284.0,0.0065,9900.0,0.01,15284.0,0.00825,5384.0,68
Rasmus Hojgaard,rasmus hojgaard,15284.0,0.0065,9900.0,0.01,15284.0,0.00825,5384.0,69
Will Zalatoris,will zalatoris,16566.0,0.006,9900.0,0.01,16566.0,0.008,6666.0,70
Tony Finau,tony finau,16566.0,0.006,9900.0,0.01,16566.0,0.008,6666.0,71
Sergio Garcia,sergio garcia,18081.0,0.0055,9900.0,0.01,18081.0,0.00775,8181.0,72
Phil Mickelson,phil mickelson,19900.0,0.005,9900.0,0.01,19900.0,0.0075,10000.0,73
Cameron Smith,cameron smith,19900.0,0.005,9900.0,0.01,19900.0,0.0075,10000.0,74
Tiger Woods,tiger woods,22122.0,0.0045,9900.0,0.01,22122.0,0.0072499999999999995,12222.0,75
Maverick McNealy,maverick mcnealy,22122.0,0.0045,9900.0,0.01,22122.0,0.0072499999999999995,12222.0,76
Keegan Bradley,keegan bradley,22122.0,0.0045,9900.0,0.01,22122.0,0.0072499999999999995,12222.0,77
Sepp Straka,sepp straka,22122.0,0.0045,9900.0,0.01,22122.0,0.0072499999999999995,12222.0,78
Aaron Rai,aaron rai,28471.0,0.0035,9900.0,0.01,28471.0,0.00675,18571.0,79
