rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,39997,Corey Conners,Canada,CAN,First appearance since the tournament launched in 2019 but the Canadian will feel at home among the northern locals. Amid a quiet season relative to expectations but he logged top 25s in three of his last four starts.,3M Open,graphql,2026-07-22T23:02:25.488510+00:00
14,54628,Lee Hodges,United States of America,USA,"Inconsistency is shrouding his firepower. The 54-hole co-leader of the John Deere Classic settled for a share of third. While he sandwiched it with missed cuts, he’s back where he broke through for his PGA TOUR title in 2023.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
13,66701,Jackson Koivun,United States of America,USA,"Proving to be a quick study, after missing the cut in his professional debut at the John Deere Classic, he got on the board with a fulfilling T10 at the ISCO Championship with a steady performance that showcased his short game.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
12,39971,Sungjae Im,South Korea,KOR,"When he’s on, TPC Twin Cities can be a personal playground for the patented scorer, as it was in his first two appearances (T15, 2019; T2, 2022). His form has sagged gradually but he’s fresh off a T14 at The Open Championship.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
11,39546,Keith Mitchell,United States of America,USA,"Ball-striker. Scorer. The fixture at TPC Twin Cities has been rewarded for his loyalty with a pair of fifth-place finishes (2021, 2023), so he knows his skill set plays here. Two top fives in his last seven starts upon arrival.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
10,49964,Aaron Wise,United States of America,USA,"The 30-year-old hasn’t pegged it in four consecutive weeks since his run to the TOUR Championship in 2022, but there’s merit to keeping his rally rolling. He’s gone T39-T3-T15 with nine sub-70s in July using a variety of weapons.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
9,36884,Ben Kohles,United States of America,USA,Chased his T3 at the John Deere Classic with a T15 at the ISCO Championship. They anchored a stretch of 10 consecutive weeks on the road that also included a win on the Korn Ferry Tour. Top 25s the last two years at the 3M Open.,3M Open,graphql,2026-07-22T23:02:25.488510+00:00
8,48867,Matti Schmid,Germany,GER,"The upshot for being the first man on the outside looking into the field at Royal Birkdale is a week of rest and prep for his fourth appearance at TPC Twin Cities (3-for-3, two top 20s). Top 25s in previous two starts worldwide.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
7,31646,Emiliano Grillo,Argentina,ARG,"Sat out the last two Additional Events following the birth of his son on July 6. Returns to a place that he loves almost as much in TPC Twin Cities, where he’s 5-for-6 with a pair of podium finishes; scoring average = 68.05.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
6,57869,Ben James,United States of America,USA,"So much for a learning curve. After a T4 at Corales Puntacana, the reigning No. 1 in PGA TOUR University is now 5-for-5 with three top 25s as a professional. Appeared in 2024 3M Open (MC) on a sponsor exemption.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
5,31323,Gary Woodland,United States of America,USA,"Since his inspiring win at the Texas Children’s Houston Open, he’s added three top 10s and a T17. The force off the tee has two top 20s in four tries at TPC Twin Cities with a scoring average of 68.25 in his last eight rounds.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
4,25900,Lucas Glover,United States of America,USA,"All he’s done lately is hold at least a share of the lead after each of the first three rounds at the John Deere Classic and ISCO Championship. While he didn’t slam the door en route to a respective T3 and T5, he’s locked in.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
3,55182,Tom Kim,South Korea,KOR,"Failed to piggyback his win at the Genesis Scottish Open with a missed cut at Royal Birkdale, but that’s the way it’s gone for the 24-year-old of late, and that’s OK. Confidence is recharged, and he’s 2-for-2 at TPC Twin Cities.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
2,48117,Kurt Kitayama,United States of America,USA,"Paid off a course-record-tying 60 in his third round last year with a victory. While timely and lucrative, he placed T6 in his debut in 2024 and his scoring average in his other seven rounds here is 67.43, so he’s a thoroughbred.",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
1,46046,Scottie Scheffler,United States of America,USA,"Who let  this  guy play?! Hey, if winning was that easy, he’d have more than one victory in 2026 back in his season debut. Since, he’s “settled” for four seconds, two thirds and three T4s. The tournament trend favors others, too!",3M Open,graphql,2026-07-22T23:02:25.488510+00:00
